CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
KCTD14,98,GTPBP2,13,0.208
IFI30,133,ADH1B,82,0.406
IFI30,133,GTPBP2,13,0.277
RAC2,124,AP1B1,76,0.175
RAC2,124,AP2B1,87,0.175
RAC2,124,EXOC5,12,0.15
RAC2,124,GNAI1,28,0.351
RAC2,124,MAPK14,79,0.246
RAC2,124,MIB1,105,0.152
RAC2,124,PDE6D,64,0.681
STRN,110,GNAI1,28,0.213
TLR5,66,DICER1,8,0.163
STYXL1,22,MAPK14,79,0.243
UCHL1,63,KIF20A,48,0.281
TXNIP,40,GTPBP2,13,0.154
TXNIP,40,PARP3,69,0.179
DUSP1,29,MAPK14,79,0.9
TRIM13,27,DICER1,8,0.171
NEDD1,108,KIF20A,48,0.177
DDX55,9,BOP1,113,0.523
DDX55,9,CEBPZ,123,0.368
DDX55,9,MIB1,105,0.169
DDX55,9,PABPC1L,134,0.179
DDX55,9,DICER1,8,0.169
DDX55,9,METTL7A,114,0.153
ASAP3,83,AP1B1,76,0.167
ASAP3,83,AP2B1,87,0.167
AHNAK,137,KIF20A,48,0.27
DNMBP,55,ARL14,44,0.167
DNMBP,55,MIB1,105,0.171
