CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
TXNIP,60,GTPBP2,17,0.154
TRIM13,66,DICER1,10,0.171
DUSP1,62,MAPK14,133,0.9
ANKS4B,122,CUL3,135,0.157
FUT4,31,UPB1,41,0.153
DNMBP,108,ARL14,64,0.167
DNMBP,108,SYNPO2,103,0.198
STYXL1,52,MAPK14,133,0.243
DDX55,11,SUMO4,119,0.161
DDX55,11,DICER1,10,0.169
RAC2,87,AP2B1,61,0.175
RAC2,87,EXOC5,9,0.15
RAC2,87,GNAI1,70,0.351
RAC2,87,GNAT3,101,0.706
RAC2,87,MAPK14,133,0.246
RAC2,87,PDE6D,88,0.681
RAC2,87,SYNPO2,103,0.177
KCTD14,42,GTPBP2,17,0.208
PLOD2,132,VASN,99,0.261
