Index,attribute,MCFS_score,MCFS_score_scaled,MCFS_rank,Boruta_score,Boruta_score_scaled,Boruta_rank,Mean_score,Mean_rank
1195,AURKC,0.08608945,1,1,7.05102282226229,0.973503520164257,2,0.986751760082128,1
13746,SMC1B,0.080832265,0.938933458164735,2,7.25320820183842,1,1,0.969466729082368,2
10252,OSBPL1A,0.07331548,0.8516197977801,4,6.9701803697123,0.962909082434124,4,0.907264440107112,3
2865,CLIC2,0.043926757,0.510245529504486,19,6.9800083394463,0.964197042040447,3,0.737221285772467,4
8678,MOCS1,0.036904886,0.428680703616994,31,6.76490918745572,0.936008206846962,6,0.682344455231978,5
5010,FCGR3A,0.03039379,0.353048950829631,46,6.78316506261962,0.938400647038128,5,0.645724798933879,6
7098,KBTBD12,0.046092253,0.535399552442256,16,5.18270012835974,0.728659037890458,10,0.632029295166357,7
2063,CBX5,0.038102746,0.442594835952605,27,5.82503429162438,0.812837202703516,7,0.627716019328061,8
4638,EXOC5,0.039847277,0.462859003048573,23,5.00207417014283,0.704987929377372,12,0.583923466212972,9
3860,DICER1,0.030452425,0.353730044738351,44,5.6100566094422,0.784664286179994,8,0.569197165459173,10
3714,DDX55,0.027505966,0.319504492129988,53,5.46513664113861,0.765672462804819,9,0.542588477467403,11
16008,UNC93A,0.07686786,0.892883622790017,3,0.648077093962401,0.134394763957823,39,0.51363919337392,12
13046,SEPSECS,0.022502128,0.261380784753533,80,5.17042736809448,0.727050687447023,11,0.494215736100278,13
6414,HOXC4,0.069867656,0.811570476986437,5,0.387054619037293,0.100187657796002,91,0.455879067391219,14
6736,IL13RA2,0.067824885,0.787842006192396,6,0.322098728173636,0.0916751607198547,129,0.439758583456125,15
2548,CENPK,0.020927673,0.243092190738819,89,4.31707614674621,0.615218647580129,15,0.429155419159474,16
6072,GTPBP2,0.015773311,0.183220022894791,137,4.69053053738545,0.664160004031753,13,0.423690013463272,17
9327,NEURL3,0.0616643,0.716281727900457,7,0.526719420330944,0.118490789303327,49,0.417386258601892,18
1665,C1QC,0.016640812,0.193296762843763,127,4.44996432903508,0.632633700289713,14,0.412965231566738,19
9653,NSFL1C,0.021361005,0.248125699490472,87,3.85549773498576,0.554728600745562,17,0.401427150118017,20
12483,RNF34,0.015385341,0.178713431204404,141,4.04589329720711,0.579680020011332,16,0.379196725607868,21
12540,RPGRIP1,0.059027705,0.685655501341918,8,0.130308461919228,0.0665409648983998,801,0.376098233120159,22
5672,GLRA1,0.057205226,0.664485903905763,10,0.258051907524773,0.0832817976813218,191,0.373883850793542,23
11121,PNLIPRP3,0.058496613,0.679486429521852,9,0.0476667382144944,0.0557107319195163,1972,0.367598580720684,24
5340,FXYD2,0.05508381,0.639843906541394,11,0.160091521266637,0.0704440474709367,487,0.355143977006165,25
11980,RAD9B,0.052928865,0.61481244217497,12,0.262113969505284,0.0838141326285064,186,0.349313287401738,26
5757,GNPDA2,0.017880654,0.207698550751573,118,3.33147215677867,0.486054826234832,19,0.346876688493202,27
7195,KCNS2,0.048612107,0.56466973595487,13,0.198142155541562,0.075430599247907,318,0.320050167601388,28
3205,CREBL2,0.013924885,0.161749029643005,175,3.24967598351303,0.475335402999989,20,0.318542216321497,29
3777,DENND2D,0.03947546,0.458540041782123,25,0.979052534369334,0.177769235946122,24,0.318154638864122,30
5329,FUT4,0.009471252,0.11001640735305,320,3.61306186176921,0.522957276629002,18,0.316486841991026,31
2306,CD2AP,0.04770551,0.554138863705135,14,0.0953334764289888,0.0619574782004976,933,0.308048170952816,32
11510,PRLR,0.04529091,0.526091292254742,17,0.286217649930736,0.0869729301820144,156,0.306532111218378,33
9770,NXPH1,0.046612777,0.541445868221948,15,0.16280815554438,0.0708000635464423,472,0.306122965884195,34
9840,OMG,0.041883703,0.486513771431923,22,0.502784740728303,0.115354139379401,53,0.300933955405662,35
9539,NOX5,0.04454728,0.517453416185142,18,0.143000214643483,0.0682042244814788,530,0.29282882033331,36
