CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
SUMO4,88,BAZ1B,51,0.169
SUMO4,88,DHX15,124,0.179
SUMO4,88,SMC1B,2,0.244
FOXG1,94,SGK2,60,0.183
TRIM13,86,DICER1,44,0.171
AQP2,75,GNAT3,85,0.155
IL13RA2,6,HIP1R,45,0.189
GNAI1,91,PDE6D,99,0.213
GNAI1,91,SGK2,60,0.179
GNAI1,91,MAP3K7,79,0.158
GNAI1,91,GNAT3,85,0.303
TXNIP,55,GTPBP2,137,0.154
TXNIP,55,NOP14,130,0.27
CASP1,78,CUL3,140,0.27
CASP1,78,DICER1,44,0.213
NBAS,107,STX18,108,0.873
DDX55,53,DICER1,44,0.169
DDX55,53,DHX15,124,0.527
DDX55,53,NOP14,130,0.152
UCK2,58,CDHR2,92,0.171
UCK2,58,DCHS2,35,0.171
UCK2,58,EXOC5,23,0.15
UCK2,58,NOP14,130,0.26
E2F3,123,BAZ1B,51,0.167
NEURL3,7,DLK1,28,0.151
CBX5,27,AURKC,1,0.213
CBX5,27,SMC1B,2,0.171
CBX5,27,DICER1,44,0.26
ANKS4B,90,CUL3,140,0.157
OSBPL1A,4,NOP14,130,0.169
DRD1,82,GNAT3,85,0.15
RAC2,83,EXOC5,23,0.15
RAC2,83,GNAT3,85,0.706
RAC2,83,PDE6D,99,0.681
RAC2,83,SYNPO2,104,0.177
CENPK,89,SMC1B,2,0.165
CENPK,89,MAP3K7,79,0.157
EXOC3L4,74,EXOC5,23,0.347
DNMBP,126,SYNPO2,104,0.198
NSFL1C,87,AURKC,1,0.247
NSFL1C,87,CUL3,140,0.289
NSFL1C,87,DHX15,124,0.243
ARL14,57,PDE6D,99,0.217
ARL14,57,GNAT3,85,0.167
KCTD14,29,GTPBP2,137,0.208
