CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
TXNIP,55,GTPBP2,137,0.154
TXNIP,55,NOP14,130,0.27
DNMBP,126,ARL14,57,0.167
DNMBP,126,SYNPO2,104,0.198
KCTD14,29,GTPBP2,137,0.208
ANKS4B,90,CUL3,140,0.157
TRIM13,86,DICER1,44,0.171
RAC2,83,AP2B1,48,0.175
RAC2,83,EXOC5,23,0.15
RAC2,83,GNAI1,91,0.351
RAC2,83,GNAT3,85,0.706
RAC2,83,PDE6D,99,0.681
RAC2,83,SYNPO2,104,0.177
OSBPL1A,4,NOP14,130,0.169
DDX55,53,SUMO4,88,0.161
DDX55,53,DICER1,44,0.169
DDX55,53,DHX15,124,0.527
DDX55,53,NOP14,130,0.152
