Index,position,attribute,projections,classifiers,nodes,RI
1195,1,AURKC,81,0.491358,0.491358,0.08608945
13746,2,SMC1B,105,0.7657143,0.7790476,0.080832265
16008,3,UNC93A,88,0.70681816,0.7227273,0.07686786
10252,4,OSBPL1A,106,0.71320754,0.72075474,0.07331548
6414,5,HOXC4,109,0.63486236,0.653211,0.069867656
6736,6,IL13RA2,88,0.7340909,0.73636365,0.067824885
9327,7,NEURL3,99,0.6888889,0.6909091,0.0616643
12540,8,RPGRIP1,102,0.6392157,0.6431373,0.059027705
11121,9,PNLIPRP3,99,0.6848485,0.68686867,0.058496613
5672,10,GLRA1,99,0.5737374,0.5737374,0.057205226
5340,11,FXYD2,95,0.61473686,0.61473686,0.05508381
11980,12,RAD9B,97,0.55463916,0.5628866,0.052928865
7195,13,KCNS2,120,0.555,0.55833334,0.048612107
2306,14,CD2AP,104,0.5403846,0.5423077,0.04770551
9770,15,NXPH1,97,0.5216495,0.5216495,0.046612777
7098,16,KBTBD12,105,0.5466667,0.5561905,0.046092253
11510,17,PRLR,103,0.50291264,0.5145631,0.04529091
9539,18,NOX5,100,0.378,0.378,0.04454728
2865,19,CLIC2,102,0.48235294,0.48431373,0.043926757
4383,20,ELAVL2,114,0.55789477,0.55789477,0.04273122
16014,21,UPB1,95,0.39578947,0.39578947,0.042344294
9840,22,OMG,83,0.4795181,0.5180723,0.041883703
4638,23,EXOC5,101,0.45742574,0.45940593,0.039847277
14530,24,TAF7L,107,0.37383178,0.37383178,0.039837793
3777,25,DENND2D,97,0.4742268,0.47628865,0.03947546
12918,26,SCN5A,87,0.24827586,0.24827586,0.03902754
2063,27,CBX5,100,0.458,0.464,0.038102746
3900,28,DLK1,85,0.48,0.48,0.03801668
7208,29,KCTD14,99,0.45252526,0.46464646,0.03743475
17159,30,ZNF787,97,0.44123712,0.4515464,0.037325934
8678,31,MOCS1,105,0.47809523,0.48380953,0.036904886
6750,32,IL17REL,79,0.4607595,0.4658228,0.036424037
991,33,ARX,96,0.47916666,0.48125,0.035278358
11740,34,PTGES3,119,0.44033614,0.44705883,0.035159733
3630,35,DCHS2,82,0.3804878,0.38292682,0.03443295
10234,36,ORAI2,112,0.49821427,0.49821427,0.033685368
675,37,ANO9,87,0.45057473,0.45517242,0.033519916
9477,38,NMI,97,0.40412372,0.40412372,0.033107076
14109,39,SRBD1,120,0.41166666,0.41833332,0.03295107
5535,40,GDF5,93,0.4623656,0.4623656,0.032247193
3791,41,DERA,121,0.353719,0.3586777,0.03162061
779,42,APOL3,113,0.38407078,0.41061947,0.030998966
2333,43,CD52,116,0.38965517,0.39482757,0.030766109
3860,44,DICER1,93,0.36344087,0.3655914,0.030452425
6282,45,HIP1R,91,0.389011,0.3956044,0.030436259
5010,46,FCGR3A,112,0.37321427,0.39285713,0.03039379
5632,47,GJC2,111,0.45405406,0.45405406,0.029337345
712,48,AP2B1,100,0.372,0.374,0.029226867
4754,49,FAM151A,87,0.3954023,0.3954023,0.027858688
8294,50,MAPKAPK5,85,0.32470587,0.33411765,0.02775086
1286,51,BAZ1B,99,0.34747475,0.34747475,0.02764786
6867,52,INSL4,95,0.42526317,0.42736843,0.027624438
3714,53,DDX55,87,0.35402298,0.3632184,0.027505966
2903,54,CLSTN3,109,0.33211008,0.3376147,0.027155375
15809,55,TXNIP,96,0.33125,0.33333334,0.026985101
6417,56,HOXC8,108,0.33703703,0.34444445,0.026728611
911,57,ARL14,111,0.43243244,0.43423423,0.026445368
15934,58,UCK2,87,0.3218391,0.3218391,0.025887685
12209,59,RELB,96,0.33541667,0.33958334,0.02548375
13165,60,SGK2,104,0.3423077,0.35192308,0.025333272
12152,61,RBP5,84,0.33571428,0.3547619,0.025216736
10890,62,PIK3IP1,107,0.3140187,0.32523364,0.02518271
16001,63,UNC5A,90,0.37555555,0.37555555,0.02510898
4957,64,FBXO16,103,0.30873787,0.31262136,0.025079504
11351,65,PPP1R3B,108,0.29444444,0.34444445,0.024920061
6995,66,ITGB1BP2,102,0.3529412,0.35490197,0.024802778
14307,67,STOX1,107,0.30654207,0.33271027,0.024541553
4141,68,DUSP1,103,0.28349516,0.28349516,0.024298813
2225,69,CCNC,92,0.33043477,0.3326087,0.024200132
12353,70,RIMBP2,101,0.26930693,0.27128714,0.024082374
1605,71,C14orf39,98,0.30816326,0.3102041,0.023882473
7119,72,KCNB2,106,0.29245284,0.2962264,0.023731414
11672,73,PSMB8,89,0.29213482,0.2988764,0.023683937
4636,74,EXOC3L4,115,0.39130434,0.39130434,0.02363345
798,75,AQP2,89,0.31235954,0.31235954,0.02340349
17192,76,ZNF843,101,0.26138613,0.26138613,0.023261154
6989,77,ITGAL,94,0.29787233,0.29787233,0.023193555
2010,78,CASP1,101,0.2891089,0.31287128,0.0230816
8258,79,MAP3K7,86,0.3,0.30232558,0.02292481
13046,80,SEPSECS,107,0.30280373,0.30280373,0.022502128
5110,81,FIBCD1,110,0.33272728,0.33454546,0.02226252
4092,82,DRD1,97,0.31752577,0.3216495,0.022034107
11958,83,RAC2,126,0.2936508,0.3015873,0.021916969
5383,84,GABRA2,98,0.1734694,0.1734694,0.02190982
5728,85,GNAT3,94,0.18723404,0.18723404,0.021778721
15487,86,TRIM13,96,0.38125,0.38333333,0.021568531
9653,87,NSFL1C,91,0.2879121,0.2879121,0.021361005
14380,88,SUMO4,85,0.35058823,0.35058823,0.021335363
2548,89,CENPK,90,0.29555556,0.29555556,0.020927673
661,90,ANKS4B,77,0.32987013,0.32987013,0.020802204
5719,91,GNAI1,85,0.31294116,0.32,0.020680591
2431,92,CDHR2,95,0.31789473,0.32,0.020680584
13418,93,SLC23A1,94,0.34893617,0.34893617,0.020620892
5225,94,FOXG1,114,0.2614035,0.2614035,0.02060085
7584,95,KRTAP5_1,104,0.2846154,0.29038462,0.020494243
1655,96,C19orf57,110,0.26363635,0.26545453,0.020438684
16140,97,VASN,91,0.2967033,0.30769232,0.020398233
8033,98,LRRTM1,112,0.30535713,0.30535713,0.02037164
10622,99,PDE6D,116,0.23965517,0.24310344,0.020313537
2938,100,CNGA1,96,0.29583332,0.30416667,0.0202208
9788,101,OAZ3,105,0.28,0.2838095,0.020046994
6959,102,ISL1,83,0.28674698,0.28674698,0.019781917
6411,103,HOXC11,114,0.32456142,0.32982457,0.019707786
14453,104,SYNPO2,94,0.27234042,0.27234042,0.01951109
13453,105,SLC25A34,100,0.286,0.286,0.019439882
7262,106,KIAA0513,101,0.26930693,0.27128714,0.019297702
9163,107,NBAS,97,0.25979382,0.25979382,0.019152915
14329,108,STX18,101,0.26534653,0.28118813,0.019127626
1589,109,C12orf45,101,0.2752475,0.2851485,0.019093178
12718,110,RTL1,113,0.2938053,0.2938053,0.019029373
13323,111,SLAMF7,104,0.25192308,0.25192308,0.019023333
2944,112,CNIH2,99,0.2868687,0.2888889,0.018968683
7014,113,ITM2A,103,0.23495145,0.24271844,0.018835593
16488,114,YPEL1,101,0.27128714,0.27722773,0.018500438
4979,115,FBXO43,103,0.28737864,0.28737864,0.018441912
6412,116,HOXC12,83,0.23373494,0.23373494,0.018091524
4106,117,DSCAML1,105,0.2838095,0.2895238,0.018076811
5757,118,GNPDA2,112,0.2375,0.25178573,0.017880654
8993,119,MYBPC2,103,0.2854369,0.28737864,0.017614923
13968,120,SPARCL1,96,0.24166666,0.24791667,0.017232556
8590,121,MITD1,88,0.21818182,0.22045454,0.017213026
13066,122,SERPINA4,112,0.25714287,0.25714287,0.017177649
4199,123,E2F3,96,0.25416666,0.25416666,0.016867394
3840,124,DHX15,92,0.24130435,0.24782608,0.016765283
8121,125,LYSMD2,102,0.24313726,0.24313726,0.016751215
4014,126,DNMBP,89,0.24269663,0.24494383,0.01667224
1665,127,C1QC,98,0.23061225,0.23061225,0.016640812
11600,128,PRSS1,106,0.28113207,0.28113207,0.016610797
13491,129,SLC29A2,103,0.25825244,0.25825244,0.016503276
9517,130,NOP14,92,0.21086957,0.22173913,0.01641371
1215,131,B2M,90,0.22888888,0.25111112,0.016368916
16725,132,ZNF133,104,0.25192308,0.25192308,0.016234366
6418,133,HOXC9,102,0.25882354,0.2627451,0.016133482
16083,134,USP37,107,0.22803739,0.22990654,0.016127544
3880,135,DKK1,91,0.25494507,0.26373628,0.01585347
16663,136,ZFR2,91,0.2725275,0.2747253,0.015817711
6072,137,GTPBP2,105,0.26666668,0.2704762,0.015773311
12431,138,RNF133,101,0.25544554,0.25544554,0.015696188
7355,139,KLF16,110,0.21272728,0.21636364,0.015607777
3412,140,CUL3,97,0.20206186,0.2041237,0.015489909
12483,141,RNF34,97,0.21237114,0.21443298,0.015385341
6399,142,HOXA9,101,0.18019801,0.18019801,0.015384546
16330,143,WDR75,112,0.24821429,0.25178573,0.015377261
2379,144,CDC37,97,0.21443298,0.21649484,0.015374375
9544,145,NPAS2,96,0.21666667,0.22083333,0.015335948
14953,146,TLL2,100,0.212,0.212,0.015326142
2354,147,CD86,106,0.20566037,0.20566037,0.015322201
1785,148,C4orf48,111,0.22522523,0.23063064,0.015125015
8279,149,MAPK14,109,0.22385322,0.22752294,0.015089354
2838,150,CLEC17A,83,0.2746988,0.2746988,0.015025836
4722,151,FAM111A,98,0.21836735,0.21836735,0.0149066225
4906,152,FARSB,94,0.20425531,0.20425531,0.014903924
14562,153,TAS2R10,87,0.2321839,0.23678161,0.014847522
4841,154,FAM47E_STBD1,108,0.2537037,0.2537037,0.0148369735
12673,155,RRH,84,0.2452381,0.2452381,0.014791235
515,156,ALOX12B,124,0.23548387,0.23548387,0.0146599505
14512,157,TAF11,113,0.24247788,0.24247788,0.014645068
11070,158,PLOD2,99,0.2060606,0.21212122,0.014610167
14608,159,TBC1D22B,82,0.24146341,0.24146341,0.014569868
6241,160,HESX1,108,0.26296297,0.26296297,0.014511539
5742,161,GNG3,97,0.22268042,0.22268042,0.014423042
2660,162,CHD7,115,0.27304348,0.2747826,0.014397895
8938,163,MTRNR2L1,100,0.204,0.204,0.014397108
11906,164,RAB33A,81,0.28148147,0.28395063,0.014368228
12469,165,RNF213,106,0.24339622,0.24716981,0.014292489
12243,166,RFFL,97,0.21443298,0.21443298,0.014272421
14708,167,TCP11,87,0.22988506,0.22988506,0.014214084
8504,168,METTL7A,95,0.21052632,0.21473685,0.0142109115
516,169,ALOX15,97,0.2783505,0.2783505,0.014208352
2726,170,CHRNE,100,0.242,0.25,0.014137521
1204,171,AVPR2,77,0.24155845,0.24155845,0.0140439775
11550,172,PRPF4B,124,0.22258064,0.22580644,0.014015755
11910,173,RAB36,121,0.2016529,0.20330578,0.013992084
13905,174,SOWAHD,102,0.2627451,0.2647059,0.013951944
3205,175,CREBL2,105,0.19428572,0.19809523,0.013924885
4574,176,ERVMER34_1,108,0.22407408,0.22777778,0.013918003
6496,177,HSF2BP,92,0.25869566,0.26086956,0.013901263
8271,178,MAP7D2,104,0.25,0.25192308,0.013881611
6748,179,IL17RD,94,0.20425531,0.20638297,0.013837335
12432,180,RNF135,111,0.18738739,0.1963964,0.013828561
10915,181,PIPOX,102,0.24705882,0.24705882,0.013766827
15530,182,TRIM55,88,0.25,0.25227273,0.013766179
5478,183,GATA4,93,0.16129032,0.16129032,0.0136730885
14122,184,SRGAP1,100,0.206,0.208,0.013668168
14500,185,TACC3,99,0.18787879,0.18787879,0.013545448
1739,186,C2CD4A,97,0.20206186,0.20824742,0.013542639
12584,187,RPL39,110,0.20727272,0.20727272,0.0135227125
5104,188,FHL1,105,0.17142858,0.1752381,0.013518619
9361,189,NFKBIE,89,0.20449439,0.20449439,0.013496677
5332,190,FUT7,109,0.24220183,0.24220183,0.013393226
5700,191,GMDS,94,0.20212767,0.20425531,0.013390235
4440,192,EN2,93,0.17419355,0.17419355,0.013369013
4130,193,DTX3,95,0.1936842,0.1936842,0.013235772
11624,194,PRTFDC1,106,0.20566037,0.20754717,0.0132148415
2322,195,CD3D,117,0.1948718,0.2034188,0.013188354
2597,196,CERS5,97,0.17938145,0.17938145,0.013141638
5172,197,FMO2,98,0.25510204,0.25918368,0.01300552
16973,198,ZNF548,103,0.20194174,0.2038835,0.013004853
8320,199,MAT1A,95,0.23578948,0.23578948,0.0129990075
12311,200,RHBDL1,117,0.23760684,0.23931624,0.012992468
16286,201,WDPCP,103,0.18834952,0.19417475,0.012970944
16165,202,VEGFA,116,0.19482759,0.19827586,0.012947641
11943,203,RAB9B,106,0.24339622,0.24339622,0.012946322
8457,204,MEGF10,114,0.21754386,0.21754386,0.012940097
4528,205,EPS8L3,108,0.21851853,0.21851853,0.0129398005
8516,206,MFAP4,98,0.18163265,0.18163265,0.012886079
15588,207,TRPC5,89,0.2247191,0.2247191,0.012878383
1201,208,AVPI1,89,0.19550562,0.1977528,0.012857739
11975,209,RAD52,110,0.21272728,0.21636364,0.012801874
6401,210,HOXB13,91,0.21758242,0.22197802,0.012791397
2467,211,CDKL3,82,0.21219513,0.2195122,0.012746521
15292,212,TNFSF11,90,0.25555557,0.26222223,0.012704103
5401,213,GAD1,109,0.24036697,0.24587156,0.012698651
15247,214,TMSB15B,102,0.25882354,0.26078433,0.012620621
1329,215,BCL2L14,108,0.21111111,0.21111111,0.012603242
7294,216,KIF18A,113,0.17699115,0.17699115,0.012575912
6296,217,HKDC1,108,0.2074074,0.20925926,0.012532869
3185,218,CR1L,107,0.18130842,0.18317758,0.012462053
6962,219,ISLR2,113,0.23539823,0.23539823,0.012313648
10466,220,PAXIP1,113,0.17345133,0.17522123,0.012266662
14023,221,SPIB,100,0.192,0.202,0.012087106
1571,222,C11orf53,96,0.20416667,0.20416667,0.011991244
5511,223,GCK,115,0.15304348,0.15304348,0.011914872
6145,224,HAVCR1,94,0.20425531,0.2106383,0.011888303
1636,225,C17orf78,94,0.18297872,0.18297872,0.011848446
1943,226,CAMK2B,101,0.18415841,0.18613862,0.011844053
12617,227,RPS14,111,0.17117117,0.17477478,0.0118303485
3198,228,CREB3,121,0.18842976,0.18842976,0.01182602
12850,229,SAV1,113,0.2141593,0.2141593,0.011802768
9588,230,NPY,95,0.10526316,0.10526316,0.01179937
7138,231,KCNH3,91,0.2,0.2,0.011726284
6415,232,HOXC5,111,0.12612613,0.12612613,0.011680667
9001,233,MYCN,114,0.18245614,0.18947369,0.0116344765
2275,234,CD14,97,0.15670103,0.15876289,0.011619168
14309,235,STRA6,110,0.18363637,0.18363637,0.011608743
12707,236,RSPO4,103,0.22524272,0.22718446,0.01154666
10944,237,PKHD1,122,0.16721311,0.17377049,0.011491612
13619,238,SLC4A8,89,0.15505618,0.15955056,0.011486754
