activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.831,0.865,0.797,0.837,0.667,0.831,0.577,0.65,0.544,0.487,0.18,0.597,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(25,)",0.01,0.865,0.865,0.867,0.865,0.733,0.866,0.577,0.625,0.556,0.477,0.167,0.59,0.538,0.625,0.5,0.455,0.116,0.562
relu,"(25,)",0.001,0.878,0.865,0.89,0.877,0.76,0.878,0.538,0.425,0.589,0.363,0.013,0.507,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(25,)",0.0001,0.872,0.906,0.839,0.878,0.749,0.872,0.423,0.225,0.511,0.194,-0.248,0.368,0.423,0.25,0.5,0.211,-0.234,0.375
relu,"(50,)",0.1,0.898,0.878,0.919,0.896,0.799,0.899,0.569,0.475,0.611,0.403,0.08,0.543,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(50,)",0.01,0.879,0.892,0.866,0.881,0.761,0.879,0.569,0.425,0.633,0.374,0.054,0.529,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(50,)",0.001,0.892,0.865,0.919,0.889,0.787,0.892,0.577,0.375,0.667,0.352,0.04,0.521,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(50,)",0.0001,0.906,0.906,0.906,0.907,0.814,0.906,0.585,0.175,0.767,0.204,-0.067,0.471,0.577,0.125,0.778,0.154,-0.114,0.451
relu,"(75,)",0.1,0.851,0.852,0.853,0.856,0.717,0.853,0.577,0.525,0.6,0.421,0.117,0.562,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(75,)",0.01,0.845,0.906,0.783,0.854,0.696,0.844,0.554,0.525,0.567,0.413,0.084,0.546,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(75,)",0.001,0.818,0.892,0.743,0.83,0.644,0.818,0.638,0.575,0.667,0.495,0.227,0.621,0.654,0.625,0.667,0.526,0.272,0.646
relu,"(75,)",0.0001,0.878,0.892,0.863,0.882,0.759,0.878,0.669,0.675,0.667,0.557,0.318,0.671,0.692,0.625,0.722,0.556,0.329,0.674
relu,"(100,)",0.1,0.878,0.85,0.906,0.874,0.758,0.878,0.569,0.325,0.678,0.315,0.002,0.501,0.538,0.375,0.611,0.333,-0.013,0.493
relu,"(100,)",0.01,0.872,0.892,0.853,0.875,0.75,0.873,0.546,0.35,0.633,0.321,-0.016,0.492,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(100,)",0.001,0.871,0.864,0.877,0.871,0.743,0.87,0.646,0.425,0.744,0.427,0.172,0.585,0.654,0.375,0.778,0.4,0.159,0.576
relu,"(100,)",0.0001,0.898,0.879,0.918,0.896,0.801,0.899,0.738,0.45,0.867,0.51,0.346,0.658,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(125,)",0.1,0.871,0.851,0.892,0.868,0.746,0.872,0.585,0.375,0.678,0.35,0.052,0.526,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(125,)",0.01,0.857,0.864,0.85,0.86,0.716,0.857,0.577,0.425,0.644,0.383,0.069,0.535,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(125,)",0.001,0.851,0.878,0.822,0.856,0.708,0.85,0.662,0.375,0.789,0.406,0.174,0.582,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(125,)",0.0001,0.891,0.892,0.891,0.892,0.786,0.892,0.708,0.45,0.822,0.486,0.288,0.636,0.654,0.375,0.778,0.4,0.159,0.576
relu,"(150,)",0.1,0.905,0.865,0.946,0.901,0.815,0.905,0.523,0.375,0.589,0.328,-0.033,0.482,0.423,0.25,0.5,0.211,-0.234,0.375
relu,"(150,)",0.01,0.865,0.891,0.838,0.869,0.733,0.865,0.523,0.45,0.556,0.362,0.004,0.503,0.538,0.625,0.5,0.455,0.116,0.562
relu,"(150,)",0.001,0.912,0.865,0.96,0.907,0.83,0.912,0.569,0.4,0.644,0.362,0.042,0.522,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(150,)",0.0001,0.933,0.866,1.0,0.927,0.874,0.933,0.685,0.325,0.844,0.385,0.194,0.585,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(175,)",0.1,0.845,0.878,0.81,0.851,0.7,0.844,0.562,0.5,0.589,0.409,0.082,0.544,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(175,)",0.01,0.885,0.879,0.893,0.884,0.776,0.886,0.569,0.525,0.589,0.426,0.106,0.557,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(175,)",0.001,0.872,0.852,0.892,0.869,0.748,0.872,0.592,0.4,0.678,0.375,0.077,0.539,0.577,0.375,0.667,0.353,0.04,0.521
relu,"(175,)",0.0001,0.885,0.892,0.878,0.887,0.773,0.885,0.623,0.5,0.678,0.45,0.17,0.589,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(200,)",0.1,0.751,0.906,0.595,0.785,0.526,0.75,0.546,0.475,0.578,0.391,0.049,0.526,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(200,)",0.01,0.804,0.892,0.716,0.82,0.619,0.804,0.546,0.55,0.544,0.427,0.087,0.547,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(200,)",0.001,0.844,0.892,0.795,0.853,0.692,0.844,0.585,0.55,0.6,0.448,0.139,0.575,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(200,)",0.0001,0.865,0.919,0.81,0.873,0.74,0.865,0.538,0.675,0.478,0.474,0.142,0.576,0.615,0.75,0.556,0.545,0.283,0.653
relu,"(225,)",0.1,0.804,0.906,0.703,0.822,0.622,0.804,0.538,0.475,0.567,0.385,0.038,0.521,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(225,)",0.01,0.831,0.892,0.77,0.841,0.67,0.831,0.569,0.55,0.578,0.437,0.118,0.564,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(225,)",0.001,0.871,0.892,0.85,0.874,0.747,0.871,0.554,0.425,0.611,0.368,0.034,0.518,0.538,0.375,0.611,0.333,-0.013,0.493
relu,"(225,)",0.0001,0.865,0.892,0.837,0.87,0.734,0.865,0.446,0.425,0.456,0.32,-0.11,0.44,0.423,0.375,0.444,0.286,-0.167,0.41
relu,"(250,)",0.1,0.777,0.919,0.633,0.807,0.576,0.776,0.538,0.5,0.556,0.398,0.051,0.528,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(250,)",0.01,0.817,0.905,0.727,0.834,0.653,0.816,0.531,0.475,0.556,0.382,0.028,0.515,0.462,0.375,0.5,0.3,-0.116,0.438
relu,"(250,)",0.001,0.851,0.919,0.781,0.862,0.716,0.85,0.577,0.5,0.611,0.421,0.104,0.556,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(250,)",0.0001,0.872,0.906,0.837,0.878,0.749,0.871,0.585,0.475,0.633,0.41,0.101,0.554,0.577,0.5,0.611,0.421,0.104,0.556
relu,"(275,)",0.1,0.777,0.879,0.674,0.799,0.569,0.777,0.554,0.55,0.556,0.428,0.097,0.553,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(275,)",0.01,0.824,0.906,0.743,0.841,0.665,0.824,0.5,0.375,0.556,0.318,-0.063,0.465,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(275,)",0.001,0.831,0.906,0.755,0.845,0.673,0.83,0.623,0.45,0.7,0.427,0.151,0.575,0.615,0.375,0.722,0.375,0.097,0.549
relu,"(275,)",0.0001,0.865,0.919,0.81,0.873,0.739,0.864,0.523,0.525,0.522,0.404,0.044,0.524,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(300,)",0.1,0.764,0.932,0.596,0.799,0.564,0.764,0.585,0.5,0.622,0.425,0.117,0.561,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(300,)",0.01,0.825,0.906,0.744,0.84,0.662,0.825,0.554,0.5,0.578,0.406,0.073,0.539,0.538,0.375,0.611,0.333,-0.013,0.493
relu,"(300,)",0.001,0.831,0.892,0.769,0.842,0.669,0.83,0.608,0.625,0.6,0.495,0.208,0.612,0.577,0.625,0.556,0.476,0.167,0.59
relu,"(300,)",0.0001,0.851,0.919,0.782,0.862,0.71,0.85,0.485,0.55,0.456,0.397,0.005,0.503,0.5,0.5,0.5,0.381,0.0,0.5
