
activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.898,0.932,0.865,0.901,0.807,0.899,0.785,0.775,0.789,0.688,0.535,0.782,0.731,0.625,0.778,0.588,0.391,0.701
relu,"(25,)",0.01,0.919,0.919,0.919,0.918,0.843,0.919,0.815,0.7,0.867,0.703,0.57,0.783,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(25,)",0.001,0.939,0.919,0.96,0.937,0.883,0.94,0.846,0.675,0.922,0.72,0.623,0.799,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(25,)",0.0001,0.932,0.919,0.947,0.93,0.869,0.933,0.885,0.775,0.933,0.805,0.725,0.854,0.885,0.75,0.944,0.8,0.723,0.847
relu,"(50,)",0.1,0.878,0.905,0.85,0.88,0.76,0.878,0.792,0.85,0.767,0.718,0.579,0.808,0.769,0.875,0.722,0.7,0.553,0.799
relu,"(50,)",0.01,0.919,0.919,0.919,0.918,0.841,0.919,0.815,0.775,0.833,0.72,0.587,0.804,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(50,)",0.001,0.933,0.946,0.92,0.934,0.868,0.933,0.815,0.575,0.922,0.661,0.55,0.749,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(50,)",0.0001,0.919,0.946,0.893,0.922,0.842,0.92,0.808,0.575,0.911,0.646,0.529,0.743,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(75,)",0.1,0.906,0.946,0.866,0.911,0.818,0.906,0.792,0.775,0.8,0.695,0.55,0.788,0.846,0.875,0.833,0.778,0.672,0.854
relu,"(75,)",0.01,0.912,0.919,0.906,0.912,0.828,0.912,0.815,0.625,0.9,0.673,0.553,0.762,0.808,0.5,0.944,0.615,0.52,0.722
relu,"(75,)",0.001,0.906,0.919,0.892,0.906,0.813,0.906,0.846,0.725,0.9,0.742,0.633,0.812,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(75,)",0.0001,0.906,0.919,0.892,0.906,0.813,0.906,0.838,0.75,0.878,0.741,0.625,0.814,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(100,)",0.1,0.878,0.892,0.865,0.873,0.774,0.879,0.746,0.55,0.833,0.558,0.39,0.692,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(100,)",0.01,0.912,0.919,0.906,0.912,0.828,0.912,0.815,0.825,0.811,0.735,0.609,0.818,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(100,)",0.001,0.919,0.932,0.906,0.92,0.842,0.919,0.869,0.825,0.889,0.798,0.708,0.857,0.846,0.875,0.833,0.778,0.672,0.854
relu,"(100,)",0.0001,0.926,0.919,0.932,0.925,0.852,0.926,0.862,0.9,0.844,0.801,0.709,0.872,0.846,0.875,0.833,0.778,0.672,0.854
relu,"(125,)",0.1,0.905,0.932,0.878,0.907,0.819,0.905,0.792,0.825,0.778,0.708,0.567,0.801,0.808,0.875,0.778,0.737,0.61,0.826
relu,"(125,)",0.01,0.905,0.932,0.878,0.907,0.819,0.905,0.846,0.8,0.867,0.763,0.652,0.833,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(125,)",0.001,0.906,0.932,0.879,0.907,0.813,0.906,0.862,0.775,0.9,0.775,0.675,0.838,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(125,)",0.0001,0.912,0.932,0.892,0.913,0.826,0.912,0.846,0.75,0.889,0.749,0.641,0.819,0.846,0.75,0.889,0.75,0.639,0.819
relu,"(150,)",0.1,0.899,0.946,0.85,0.906,0.805,0.898,0.746,0.775,0.733,0.651,0.477,0.754,0.808,0.875,0.778,0.737,0.61,0.826
relu,"(150,)",0.01,0.892,0.919,0.865,0.894,0.788,0.892,0.846,0.8,0.867,0.765,0.656,0.833,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(150,)",0.001,0.906,0.919,0.891,0.906,0.814,0.905,0.908,0.775,0.967,0.835,0.783,0.871,0.923,0.75,1.0,0.857,0.822,0.875
relu,"(150,)",0.0001,0.912,0.919,0.905,0.912,0.827,0.912,0.908,0.775,0.967,0.835,0.783,0.871,0.923,0.75,1.0,0.857,0.822,0.875
relu,"(175,)",0.1,0.919,0.932,0.906,0.918,0.841,0.919,0.731,0.675,0.756,0.598,0.408,0.715,0.769,0.875,0.722,0.7,0.553,0.799
relu,"(175,)",0.01,0.892,0.932,0.851,0.895,0.792,0.892,0.815,0.775,0.833,0.723,0.592,0.804,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(175,)",0.001,0.912,0.919,0.906,0.912,0.828,0.912,0.862,0.7,0.933,0.756,0.667,0.817,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(175,)",0.0001,0.912,0.919,0.907,0.912,0.829,0.913,0.854,0.7,0.922,0.742,0.647,0.811,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(200,)",0.1,0.878,0.906,0.852,0.88,0.77,0.879,0.738,0.725,0.744,0.627,0.448,0.735,0.731,0.75,0.722,0.632,0.441,0.736
relu,"(200,)",0.01,0.899,0.919,0.878,0.9,0.804,0.899,0.838,0.8,0.856,0.755,0.639,0.828,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(200,)",0.001,0.919,0.906,0.933,0.917,0.845,0.92,0.854,0.575,0.978,0.707,0.65,0.776,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(200,)",0.0001,0.926,0.906,0.947,0.923,0.857,0.926,0.854,0.55,0.989,0.697,0.655,0.769,0.846,0.5,1.0,0.667,0.64,0.75
relu,"(225,)",0.1,0.898,0.919,0.878,0.9,0.805,0.899,0.746,0.8,0.722,0.658,0.488,0.761,0.769,0.75,0.778,0.667,0.501,0.764
relu,"(225,)",0.01,0.899,0.919,0.879,0.901,0.804,0.899,0.838,0.775,0.867,0.753,0.64,0.821,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(225,)",0.001,0.939,0.932,0.946,0.938,0.88,0.939,0.854,0.625,0.956,0.727,0.649,0.79,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(225,)",0.0001,0.932,0.932,0.932,0.932,0.866,0.932,0.869,0.675,0.956,0.763,0.689,0.815,0.846,0.625,0.944,0.714,0.624,0.785
relu,"(250,)",0.1,0.892,0.932,0.851,0.896,0.797,0.892,0.754,0.775,0.744,0.659,0.489,0.76,0.731,0.75,0.722,0.632,0.441,0.736
relu,"(250,)",0.01,0.899,0.919,0.878,0.9,0.803,0.899,0.846,0.775,0.878,0.758,0.649,0.826,0.808,0.75,0.833,0.706,0.566,0.792
relu,"(250,)",0.001,0.933,0.919,0.947,0.931,0.871,0.933,0.9,0.725,0.978,0.813,0.759,0.851,0.923,0.75,1.0,0.857,0.822,0.875
relu,"(250,)",0.0001,0.946,0.932,0.96,0.945,0.896,0.946,0.915,0.75,0.989,0.843,0.802,0.869,0.923,0.75,1.0,0.857,0.822,0.875
relu,"(275,)",0.1,0.885,0.959,0.811,0.894,0.785,0.885,0.754,0.775,0.744,0.654,0.49,0.76,0.769,0.875,0.722,0.7,0.553,0.799
relu,"(275,)",0.01,0.885,0.919,0.851,0.888,0.777,0.885,0.792,0.75,0.811,0.691,0.542,0.781,0.731,0.75,0.722,0.632,0.441,0.736
relu,"(275,)",0.001,0.906,0.919,0.892,0.906,0.815,0.906,0.854,0.775,0.889,0.771,0.669,0.832,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(275,)",0.0001,0.906,0.932,0.879,0.907,0.813,0.906,0.846,0.825,0.856,0.771,0.665,0.84,0.808,0.625,0.889,0.667,0.535,0.757
relu,"(300,)",0.1,0.844,0.918,0.769,0.856,0.705,0.843,0.769,0.825,0.744,0.691,0.537,0.785,0.769,0.75,0.778,0.667,0.501,0.764
