n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.872,0.837,0.906,0.867,0.746,0.871,0.723,0.3,0.911,0.401,0.275,0.606,0.769,0.375,0.944,0.5,0.409,0.66
200,None,0.5,0.858,0.837,0.878,0.854,0.718,0.858,0.708,0.275,0.9,0.361,0.223,0.588,0.769,0.375,0.944,0.5,0.409,0.66
200,None,0.75,0.865,0.823,0.905,0.857,0.738,0.864,0.723,0.325,0.9,0.417,0.281,0.612,0.769,0.375,0.944,0.5,0.409,0.66
200,None,None,0.851,0.823,0.878,0.844,0.707,0.85,0.723,0.325,0.9,0.418,0.276,0.612,0.769,0.375,0.944,0.5,0.409,0.66
400,None,0.25,0.878,0.837,0.918,0.872,0.76,0.878,0.723,0.3,0.911,0.4,0.27,0.606,0.731,0.25,0.944,0.364,0.281,0.597
400,None,0.5,0.858,0.837,0.878,0.854,0.718,0.858,0.715,0.3,0.9,0.39,0.249,0.6,0.731,0.25,0.944,0.364,0.281,0.597
400,None,0.75,0.878,0.823,0.932,0.87,0.764,0.878,0.731,0.325,0.911,0.421,0.291,0.618,0.769,0.375,0.944,0.5,0.409,0.66
400,None,None,0.858,0.837,0.878,0.855,0.718,0.858,0.708,0.3,0.889,0.387,0.234,0.594,0.769,0.375,0.944,0.5,0.409,0.66
600,None,0.25,0.871,0.824,0.918,0.864,0.748,0.871,0.723,0.3,0.911,0.395,0.265,0.606,0.731,0.25,0.944,0.364,0.281,0.597
600,None,0.5,0.872,0.85,0.891,0.868,0.745,0.871,0.731,0.325,0.911,0.426,0.296,0.618,0.731,0.25,0.944,0.364,0.281,0.597
600,None,0.75,0.872,0.824,0.919,0.864,0.747,0.871,0.731,0.3,0.922,0.406,0.291,0.611,0.731,0.25,0.944,0.364,0.281,0.597
600,None,None,0.872,0.85,0.891,0.868,0.745,0.871,0.715,0.3,0.9,0.392,0.25,0.6,0.731,0.25,0.944,0.364,0.281,0.597
800,None,0.25,0.885,0.824,0.947,0.877,0.778,0.885,0.723,0.3,0.911,0.395,0.265,0.606,0.731,0.25,0.944,0.364,0.281,0.597
800,None,0.5,0.865,0.824,0.906,0.858,0.733,0.865,0.723,0.3,0.911,0.395,0.265,0.606,0.731,0.25,0.944,0.364,0.281,0.597
800,None,0.75,0.872,0.824,0.919,0.864,0.747,0.871,0.731,0.325,0.911,0.426,0.296,0.618,0.731,0.25,0.944,0.364,0.281,0.597
800,None,None,0.878,0.85,0.906,0.874,0.759,0.878,0.715,0.3,0.9,0.392,0.25,0.6,0.731,0.25,0.944,0.364,0.281,0.597
1000,None,0.25,0.872,0.824,0.919,0.864,0.747,0.871,0.738,0.325,0.922,0.433,0.316,0.624,0.731,0.25,0.944,0.364,0.281,0.597
1000,None,0.5,0.872,0.824,0.919,0.864,0.748,0.871,0.738,0.325,0.922,0.433,0.316,0.624,0.731,0.25,0.944,0.364,0.281,0.597
1000,None,0.75,0.878,0.837,0.919,0.872,0.76,0.878,0.731,0.325,0.911,0.426,0.296,0.618,0.731,0.25,0.944,0.364,0.281,0.597
1000,None,None,0.865,0.824,0.906,0.858,0.733,0.865,0.715,0.3,0.9,0.392,0.25,0.6,0.731,0.25,0.944,0.364,0.281,0.597
