n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.926,0.906,0.947,0.923,0.862,0.926,0.877,0.8,0.911,0.799,0.713,0.856,0.923,0.875,0.944,0.875,0.819,0.91
200,None,0.5,0.899,0.866,0.933,0.896,0.808,0.9,0.869,0.85,0.878,0.8,0.706,0.864,0.885,0.875,0.889,0.824,0.741,0.882
200,None,0.75,0.892,0.892,0.893,0.893,0.791,0.893,0.854,0.775,0.889,0.763,0.659,0.832,0.885,0.875,0.889,0.824,0.741,0.882
200,None,None,0.879,0.879,0.88,0.88,0.77,0.88,0.846,0.825,0.856,0.766,0.657,0.84,0.885,0.875,0.889,0.824,0.741,0.882
400,None,0.25,0.933,0.906,0.96,0.93,0.872,0.933,0.9,0.875,0.911,0.844,0.772,0.893,0.885,0.875,0.889,0.824,0.741,0.882
400,None,0.5,0.926,0.892,0.96,0.922,0.86,0.926,0.869,0.825,0.889,0.795,0.702,0.857,0.885,0.875,0.889,0.824,0.741,0.882
400,None,0.75,0.906,0.892,0.92,0.904,0.824,0.906,0.869,0.825,0.889,0.792,0.7,0.857,0.885,0.875,0.889,0.824,0.741,0.882
400,None,None,0.899,0.892,0.907,0.899,0.812,0.9,0.854,0.8,0.878,0.769,0.665,0.839,0.885,0.875,0.889,0.824,0.741,0.882
600,None,0.25,0.926,0.906,0.947,0.925,0.861,0.926,0.9,0.875,0.911,0.844,0.772,0.893,0.885,0.875,0.889,0.824,0.741,0.882
600,None,0.5,0.913,0.879,0.947,0.909,0.834,0.913,0.862,0.825,0.878,0.785,0.686,0.851,0.885,0.875,0.889,0.824,0.741,0.882
600,None,0.75,0.906,0.892,0.92,0.904,0.824,0.906,0.862,0.8,0.889,0.777,0.679,0.844,0.885,0.875,0.889,0.824,0.741,0.882
600,None,None,0.886,0.866,0.907,0.883,0.78,0.886,0.854,0.8,0.878,0.769,0.665,0.839,0.885,0.875,0.889,0.824,0.741,0.882
800,None,0.25,0.919,0.892,0.947,0.916,0.848,0.92,0.9,0.875,0.911,0.844,0.772,0.893,0.885,0.875,0.889,0.824,0.741,0.882
800,None,0.5,0.913,0.892,0.933,0.91,0.837,0.913,0.869,0.825,0.889,0.794,0.7,0.857,0.885,0.875,0.889,0.824,0.741,0.882
800,None,0.75,0.906,0.892,0.92,0.904,0.824,0.906,0.869,0.825,0.889,0.792,0.7,0.857,0.885,0.875,0.889,0.824,0.741,0.882
800,None,None,0.879,0.866,0.893,0.877,0.764,0.88,0.846,0.775,0.878,0.754,0.644,0.826,0.885,0.875,0.889,0.824,0.741,0.882
1000,None,0.25,0.926,0.906,0.947,0.924,0.859,0.926,0.9,0.875,0.911,0.844,0.772,0.893,0.885,0.875,0.889,0.824,0.741,0.882
1000,None,0.5,0.926,0.892,0.96,0.922,0.861,0.926,0.869,0.825,0.889,0.793,0.704,0.857,0.885,0.875,0.889,0.824,0.741,0.882
1000,None,0.75,0.893,0.879,0.907,0.892,0.799,0.893,0.862,0.825,0.878,0.783,0.686,0.851,0.885,0.875,0.889,0.824,0.741,0.882
1000,None,None,0.872,0.866,0.88,0.872,0.752,0.873,0.846,0.775,0.878,0.754,0.644,0.826,0.885,0.875,0.889,0.824,0.741,0.882
