Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.9,1.1,-0.0,0.851,0.768,0.932,0.833,0.722,0.85,0.769,0.35,0.956,0.329,0.296,0.653,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-1.5,1.7,0.2,0.858,0.756,0.959,0.839,0.735,0.858,0.954,0.875,0.989,0.922,0.892,0.932,0.962,0.875,1.0,0.933,0.91,0.938
RBF,1,0.001,-1.7,1.8,-0.1,0.824,0.701,0.946,0.795,0.672,0.823,0.877,0.875,0.878,0.814,0.727,0.876,0.885,0.875,0.889,0.824,0.741,0.882
RBF,1,0.0001,-0.9,0.8,-0.0,0.64,0.507,0.787,0.51,0.339,0.647,0.7,0.575,0.756,0.526,0.407,0.665,0.808,0.5,0.944,0.615,0.52,0.722
RBF,1,1e-05,-1.0,1.0,-0.0,0.64,0.507,0.787,0.51,0.339,0.647,0.692,0.55,0.756,0.482,0.347,0.653,0.769,0.375,0.944,0.5,0.409,0.66
RBF,5,0.1,-0.8,1.1,-0.0,0.892,0.835,0.947,0.879,0.802,0.891,0.777,0.35,0.967,0.34,0.312,0.658,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-2.0,2.3,0.3,0.871,0.795,0.946,0.855,0.757,0.87,0.885,0.625,1.0,0.763,0.731,0.812,0.846,0.5,1.0,0.667,0.64,0.75
RBF,5,0.001,-2.3,2.9,-0.4,0.858,0.879,0.837,0.861,0.719,0.858,0.8,0.875,0.767,0.734,0.604,0.821,0.769,0.875,0.722,0.7,0.553,0.799
RBF,5,0.0001,-1.6,1.6,-0.2,0.824,0.73,0.918,0.805,0.662,0.824,0.854,0.875,0.844,0.787,0.686,0.86,0.846,0.875,0.833,0.778,0.672,0.854
RBF,5,1e-05,-0.9,0.9,-0.0,0.64,0.507,0.787,0.51,0.339,0.647,0.692,0.55,0.756,0.482,0.347,0.653,0.769,0.375,0.944,0.5,0.409,0.66
RBF,10,0.1,-0.8,1.1,-0.0,0.892,0.835,0.947,0.879,0.802,0.891,0.777,0.35,0.967,0.34,0.312,0.658,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-2.2,2.2,0.2,0.884,0.863,0.906,0.878,0.778,0.884,0.854,0.525,1.0,0.665,0.652,0.762,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.001,-2.4,3.3,-0.5,0.858,0.906,0.81,0.864,0.728,0.858,0.769,0.925,0.7,0.712,0.58,0.812,0.846,0.875,0.833,0.778,0.672,0.854
RBF,10,0.0001,-1.9,2.2,0.0,0.817,0.661,0.972,0.777,0.671,0.817,0.854,0.775,0.889,0.763,0.659,0.832,0.846,0.75,0.889,0.75,0.639,0.819
RBF,10,1e-05,-0.9,0.7,-0.0,0.64,0.507,0.787,0.51,0.339,0.647,0.7,0.575,0.756,0.526,0.407,0.665,0.769,0.375,0.944,0.5,0.409,0.66
