Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.0,0.5,-0.0,0.554,0.108,1.0,0.187,0.212,0.554,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-0.1,0.9,0.0,0.601,0.202,1.0,0.332,0.332,0.601,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.001,-0.2,1.0,-0.1,0.81,0.618,1.0,0.752,0.671,0.809,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.0001,-0.8,1.1,-0.2,0.933,0.866,1.0,0.927,0.874,0.933,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,1e-05,-1.3,1.0,0.1,0.817,0.663,0.973,0.781,0.671,0.818,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-0.0,0.5,-0.0,0.561,0.121,1.0,0.207,0.225,0.56,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-0.0,0.9,-0.0,0.601,0.202,1.0,0.332,0.332,0.601,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.001,-0.1,1.0,-0.1,0.857,0.714,1.0,0.829,0.748,0.857,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.0001,-0.7,1.1,-0.1,0.933,0.866,1.0,0.927,0.874,0.933,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,1e-05,-1.1,1.1,0.1,0.933,0.866,1.0,0.927,0.874,0.933,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.1,-0.0,0.5,-0.0,0.561,0.121,1.0,0.207,0.225,0.56,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-0.0,0.9,-0.0,0.601,0.202,1.0,0.332,0.332,0.601,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.001,-0.1,1.0,-0.1,0.857,0.714,1.0,0.829,0.748,0.857,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.0001,-0.7,1.1,-0.1,0.933,0.866,1.0,0.927,0.874,0.933,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,1e-05,-1.1,1.3,0.1,0.953,0.906,1.0,0.95,0.91,0.953,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
