Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.4,1.2,0.1,0.906,0.851,0.96,0.901,0.818,0.906,0.877,0.675,0.967,0.771,0.705,0.821,0.846,0.625,0.944,0.714,0.624,0.785
RBF,1,0.01,-1.7,2.0,0.1,0.885,0.77,1.0,0.87,0.792,0.885,0.854,0.75,0.9,0.76,0.656,0.825,0.846,0.75,0.889,0.75,0.639,0.819
RBF,1,0.001,-1.2,1.2,-0.2,0.845,0.77,0.92,0.833,0.7,0.845,0.823,0.675,0.889,0.698,0.576,0.782,0.808,0.625,0.889,0.667,0.535,0.757
RBF,1,0.0001,-1.0,1.0,-0.0,0.586,0.387,0.8,0.394,0.251,0.593,0.677,0.4,0.8,0.392,0.303,0.6,0.808,0.375,1.0,0.545,0.542,0.688
RBF,1,1e-05,-1.0,1.0,-0.0,0.58,0.373,0.8,0.374,0.238,0.587,0.677,0.4,0.8,0.392,0.303,0.6,0.808,0.375,1.0,0.545,0.542,0.688
RBF,5,0.1,-1.7,1.4,0.2,0.919,0.878,0.96,0.913,0.846,0.919,0.792,0.35,0.989,0.487,0.483,0.669,0.769,0.25,1.0,0.4,0.433,0.625
RBF,5,0.01,-2.2,3.1,0.0,0.885,0.77,1.0,0.87,0.792,0.885,0.862,0.775,0.9,0.772,0.677,0.838,0.885,0.875,0.889,0.824,0.741,0.882
RBF,5,0.001,-1.9,2.9,0.2,0.865,0.73,1.0,0.842,0.759,0.865,0.846,0.675,0.922,0.729,0.63,0.799,0.808,0.625,0.889,0.667,0.535,0.757
RBF,5,0.0001,-0.9,1.1,-0.2,0.708,0.652,0.773,0.688,0.462,0.713,0.738,0.675,0.767,0.635,0.506,0.721,0.808,0.625,0.889,0.667,0.535,0.757
RBF,5,1e-05,-1.0,1.0,-0.0,0.58,0.373,0.8,0.374,0.238,0.587,0.677,0.4,0.8,0.392,0.303,0.6,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.1,-1.7,1.5,0.1,0.919,0.905,0.933,0.917,0.845,0.919,0.815,0.575,0.922,0.654,0.562,0.749,0.769,0.375,0.944,0.5,0.409,0.66
RBF,10,0.01,-2.4,3.6,0.0,0.892,0.797,0.987,0.881,0.799,0.892,0.862,0.75,0.911,0.769,0.678,0.831,0.846,0.75,0.889,0.75,0.639,0.819
RBF,10,0.001,-2.4,3.8,0.1,0.886,0.771,1.0,0.869,0.793,0.886,0.854,0.75,0.9,0.76,0.656,0.825,0.846,0.75,0.889,0.75,0.639,0.819
RBF,10,0.0001,-1.3,1.2,-0.2,0.845,0.757,0.933,0.83,0.703,0.845,0.823,0.675,0.889,0.698,0.576,0.782,0.808,0.625,0.889,0.667,0.535,0.757
RBF,10,1e-05,-1.0,1.0,-0.0,0.58,0.373,0.8,0.374,0.238,0.587,0.677,0.4,0.8,0.392,0.303,0.6,0.808,0.375,1.0,0.545,0.542,0.688
