Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-0.7,2.6,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.1,1,-0.7,2.6,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.1,2,-0.7,2.6,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.1,3,-0.7,2.5,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.1,4,-0.7,2.5,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.01,0,-0.7,2.6,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.01,1,-0.7,2.5,0.1,0.946,0.892,1.0,0.943,0.898,0.946,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.01,2,-0.6,2.4,0.1,0.946,0.892,1.0,0.943,0.898,0.946,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.01,3,-0.6,2.4,0.1,0.946,0.892,1.0,0.943,0.898,0.946,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.01,4,-0.6,2.3,0.1,0.946,0.892,1.0,0.943,0.898,0.946,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.001,0,-0.7,2.6,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.001,1,-0.7,2.1,0.1,0.946,0.892,1.0,0.943,0.898,0.946,0.638,0.15,0.856,0.203,0.008,0.503,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.001,2,-0.8,1.9,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.654,0.175,0.867,0.234,0.052,0.521,0.615,0.125,0.833,0.167,-0.053,0.479
poly,1,2,0.001,3,-0.9,1.7,0.2,0.939,0.879,1.0,0.935,0.886,0.94,0.662,0.2,0.867,0.265,0.084,0.533,0.654,0.125,0.889,0.182,0.02,0.507
poly,1,2,0.001,4,-0.9,1.6,0.1,0.946,0.906,0.987,0.944,0.895,0.946,0.638,0.25,0.811,0.296,0.071,0.531,0.654,0.125,0.889,0.182,0.02,0.507
poly,1,3,0.1,0,-0.8,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.1,1,-0.8,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.1,2,-0.8,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.1,3,-0.8,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.1,4,-0.8,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.01,0,-0.8,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.01,1,-0.7,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
poly,1,3,0.01,2,-0.7,3.0,0.4,0.933,0.879,0.987,0.929,0.871,0.933,0.623,0.3,0.767,0.325,0.068,0.533,0.615,0.25,0.778,0.286,0.03,0.514
