Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-1.5,4.8,0.1,0.913,0.907,0.92,0.913,0.829,0.913,0.754,0.225,0.989,0.351,0.371,0.607,0.731,0.125,1.0,0.222,0.3,0.562
poly,1,2,0.1,1,-2.1,3.6,0.2,0.973,0.945,1.0,0.971,0.948,0.972,0.9,0.675,1.0,0.804,0.768,0.838,0.923,0.75,1.0,0.857,0.822,0.875
poly,1,2,0.1,2,-2.2,3.3,0.2,0.966,0.945,0.987,0.964,0.934,0.966,0.908,0.7,1.0,0.822,0.786,0.85,0.923,0.75,1.0,0.857,0.822,0.875
poly,1,2,0.1,3,-2.2,3.2,0.2,0.96,0.945,0.973,0.958,0.921,0.959,0.908,0.7,1.0,0.822,0.786,0.85,0.923,0.75,1.0,0.857,0.822,0.875
poly,1,2,0.1,4,-2.2,3.0,0.3,0.953,0.918,0.987,0.95,0.908,0.952,0.908,0.7,1.0,0.822,0.786,0.85,0.885,0.625,1.0,0.769,0.732,0.812
poly,1,2,0.01,0,-1.1,2.0,-0.7,0.852,0.893,0.812,0.859,0.715,0.853,0.869,0.7,0.944,0.753,0.679,0.822,0.885,0.75,0.944,0.8,0.723,0.847
poly,1,2,0.01,1,-2.4,2.6,-0.1,0.926,0.905,0.947,0.923,0.853,0.926,0.838,0.825,0.844,0.76,0.659,0.835,0.885,0.875,0.889,0.824,0.741,0.882
poly,1,2,0.01,2,-2.7,3.4,0.1,0.933,0.905,0.96,0.93,0.868,0.932,0.838,0.75,0.878,0.744,0.639,0.814,0.885,0.75,0.944,0.8,0.723,0.847
poly,1,2,0.01,3,-3.1,4.1,0.4,0.926,0.877,0.973,0.92,0.858,0.925,0.838,0.675,0.911,0.717,0.626,0.793,0.885,0.75,0.944,0.8,0.723,0.847
poly,1,2,0.01,4,-3.4,4.6,0.6,0.919,0.864,0.973,0.911,0.847,0.919,0.838,0.65,0.922,0.712,0.622,0.786,0.885,0.75,0.944,0.8,0.723,0.847
poly,1,2,0.001,0,-1.0,1.0,-0.0,0.526,0.267,0.8,0.23,0.089,0.533,0.615,0.2,0.8,0.094,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
poly,1,2,0.001,1,-1.8,1.7,-0.2,0.831,0.756,0.906,0.815,0.671,0.831,0.8,0.775,0.811,0.704,0.562,0.793,0.769,0.75,0.778,0.667,0.501,0.764
poly,1,2,0.001,2,-2.2,2.5,-0.3,0.851,0.905,0.797,0.86,0.71,0.851,0.777,0.875,0.733,0.707,0.566,0.804,0.808,1.0,0.722,0.762,0.667,0.861
poly,1,2,0.001,3,-2.4,2.4,-0.1,0.885,0.851,0.918,0.88,0.774,0.885,0.808,0.85,0.789,0.733,0.605,0.819,0.731,0.75,0.722,0.632,0.441,0.736
poly,1,2,0.001,4,-2.6,2.7,-0.1,0.892,0.865,0.918,0.887,0.788,0.891,0.823,0.9,0.789,0.757,0.648,0.844,0.808,1.0,0.722,0.762,0.667,0.861
poly,1,3,0.1,0,-1.9,8.0,-0.2,0.946,0.932,0.96,0.946,0.894,0.946,0.854,0.55,0.989,0.693,0.654,0.769,0.885,0.625,1.0,0.769,0.732,0.812
