activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.644,0.567,0.677,0.453,0.231,0.622,0.646,0.475,0.722,0.442,0.193,0.599,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(25,)",0.01,0.721,0.733,0.715,0.609,0.427,0.724,0.646,0.375,0.767,0.392,0.151,0.571,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(25,)",0.001,0.655,0.733,0.623,0.539,0.33,0.678,0.6,0.45,0.667,0.41,0.113,0.558,0.577,0.375,0.667,0.353,0.04,0.521
relu,"(25,)",0.0001,0.575,0.567,0.577,0.445,0.143,0.572,0.415,0.275,0.478,0.224,-0.23,0.376,0.462,0.375,0.5,0.3,-0.116,0.438
relu,"(50,)",0.1,0.614,0.367,0.714,0.341,0.086,0.54,0.685,0.3,0.856,0.364,0.204,0.578,0.5,0.25,0.611,0.235,-0.135,0.431
relu,"(50,)",0.01,0.682,0.6,0.715,0.513,0.309,0.658,0.646,0.4,0.756,0.403,0.155,0.578,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(50,)",0.001,0.587,0.567,0.594,0.422,0.149,0.58,0.6,0.3,0.733,0.306,0.032,0.517,0.538,0.125,0.722,0.143,-0.167,0.424
relu,"(50,)",0.0001,0.634,0.633,0.634,0.502,0.255,0.634,0.562,0.175,0.733,0.195,-0.098,0.454,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(75,)",0.1,0.672,0.667,0.674,0.543,0.324,0.67,0.646,0.325,0.789,0.359,0.124,0.557,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(75,)",0.01,0.7,0.633,0.726,0.526,0.348,0.68,0.6,0.25,0.756,0.272,0.02,0.503,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(75,)",0.001,0.567,0.7,0.512,0.484,0.198,0.606,0.592,0.6,0.589,0.474,0.176,0.594,0.654,0.5,0.722,0.471,0.216,0.611
relu,"(75,)",0.0001,0.614,0.6,0.62,0.467,0.21,0.61,0.654,0.8,0.589,0.585,0.361,0.694,0.692,0.875,0.611,0.636,0.45,0.743
relu,"(100,)",0.1,0.673,0.433,0.772,0.413,0.205,0.603,0.608,0.325,0.733,0.333,0.062,0.529,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(100,)",0.01,0.673,0.5,0.744,0.461,0.239,0.622,0.692,0.25,0.889,0.327,0.181,0.569,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(100,)",0.001,0.625,0.7,0.595,0.521,0.269,0.648,0.662,0.35,0.8,0.388,0.171,0.575,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(100,)",0.0001,0.624,0.533,0.661,0.431,0.183,0.597,0.692,0.45,0.8,0.473,0.258,0.625,0.731,0.5,0.833,0.533,0.347,0.667
relu,"(125,)",0.1,0.655,0.533,0.704,0.451,0.245,0.619,0.654,0.3,0.811,0.354,0.16,0.556,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(125,)",0.01,0.655,0.633,0.663,0.513,0.275,0.648,0.646,0.325,0.789,0.36,0.127,0.557,0.731,0.375,0.889,0.462,0.309,0.632
relu,"(125,)",0.001,0.597,0.767,0.529,0.528,0.27,0.648,0.615,0.45,0.689,0.417,0.135,0.569,0.731,0.5,0.833,0.533,0.347,0.667
relu,"(125,)",0.0001,0.614,0.667,0.593,0.495,0.241,0.63,0.669,0.525,0.733,0.494,0.257,0.629,0.692,0.5,0.778,0.5,0.278,0.639
relu,"(150,)",0.1,0.644,0.267,0.797,0.26,0.047,0.532,0.608,0.35,0.722,0.36,0.095,0.536,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(150,)",0.01,0.662,0.3,0.809,0.303,0.127,0.554,0.631,0.325,0.767,0.352,0.117,0.546,0.462,0.25,0.556,0.222,-0.184,0.403
relu,"(150,)",0.001,0.653,0.4,0.757,0.391,0.157,0.579,0.577,0.3,0.7,0.293,-0.004,0.5,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(150,)",0.0001,0.702,0.4,0.825,0.407,0.257,0.612,0.646,0.275,0.811,0.325,0.102,0.543,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(175,)",0.1,0.67,0.567,0.712,0.498,0.269,0.64,0.592,0.375,0.689,0.359,0.064,0.532,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(175,)",0.01,0.691,0.6,0.729,0.516,0.323,0.664,0.569,0.35,0.667,0.322,0.012,0.508,0.577,0.25,0.722,0.267,-0.029,0.486
relu,"(175,)",0.001,0.595,0.667,0.566,0.488,0.215,0.616,0.6,0.375,0.7,0.361,0.073,0.538,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(175,)",0.0001,0.634,0.6,0.648,0.465,0.228,0.624,0.569,0.55,0.578,0.441,0.119,0.564,0.615,0.5,0.667,0.444,0.158,0.583
relu,"(200,)",0.1,0.537,0.5,0.552,0.383,0.053,0.526,0.646,0.425,0.744,0.419,0.176,0.585,0.654,0.375,0.778,0.4,0.159,0.576
relu,"(200,)",0.01,0.635,0.667,0.622,0.507,0.267,0.644,0.7,0.35,0.856,0.416,0.242,0.603,0.769,0.25,1.0,0.4,0.433,0.625
relu,"(200,)",0.001,0.588,0.8,0.502,0.517,0.287,0.651,0.592,0.525,0.622,0.439,0.137,0.574,0.615,0.625,0.611,0.5,0.219,0.618
relu,"(200,)",0.0001,0.519,0.7,0.444,0.449,0.137,0.572,0.477,0.675,0.389,0.443,0.061,0.532,0.462,0.625,0.389,0.417,0.013,0.507
relu,"(225,)",0.1,0.538,0.6,0.51,0.426,0.117,0.555,0.592,0.375,0.689,0.357,0.063,0.532,0.577,0.25,0.722,0.267,-0.029,0.486
relu,"(225,)",0.01,0.565,0.567,0.566,0.416,0.125,0.566,0.615,0.375,0.722,0.372,0.099,0.549,0.577,0.25,0.722,0.267,-0.029,0.486
relu,"(225,)",0.001,0.558,0.733,0.487,0.478,0.208,0.61,0.515,0.425,0.556,0.354,-0.018,0.49,0.538,0.5,0.556,0.4,0.051,0.528
relu,"(225,)",0.0001,0.538,0.667,0.484,0.432,0.14,0.575,0.423,0.425,0.422,0.311,-0.141,0.424,0.385,0.375,0.389,0.273,-0.219,0.382
relu,"(250,)",0.1,0.555,0.633,0.522,0.436,0.147,0.578,0.623,0.4,0.722,0.391,0.135,0.561,0.654,0.25,0.833,0.308,0.098,0.542
relu,"(250,)",0.01,0.596,0.6,0.596,0.433,0.188,0.598,0.623,0.275,0.778,0.31,0.064,0.526,0.731,0.25,0.944,0.364,0.281,0.597
relu,"(250,)",0.001,0.519,0.8,0.406,0.493,0.207,0.603,0.638,0.575,0.667,0.489,0.227,0.621,0.654,0.375,0.778,0.4,0.159,0.576
relu,"(250,)",0.0001,0.519,0.7,0.444,0.439,0.136,0.572,0.492,0.55,0.467,0.401,0.015,0.508,0.462,0.5,0.444,0.364,-0.051,0.472
relu,"(275,)",0.1,0.586,0.667,0.555,0.471,0.211,0.611,0.592,0.375,0.689,0.35,0.059,0.532,0.615,0.25,0.778,0.286,0.03,0.514
relu,"(275,)",0.01,0.627,0.667,0.61,0.518,0.259,0.639,0.715,0.325,0.889,0.416,0.281,0.607,0.769,0.25,1.0,0.4,0.433,0.625
relu,"(275,)",0.001,0.539,0.833,0.42,0.515,0.234,0.627,0.646,0.45,0.733,0.44,0.182,0.592,0.692,0.375,0.833,0.429,0.228,0.604
relu,"(275,)",0.0001,0.49,0.8,0.365,0.472,0.164,0.582,0.492,0.6,0.444,0.421,0.042,0.522,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(300,)",0.1,0.556,0.7,0.498,0.465,0.189,0.599,0.608,0.4,0.7,0.376,0.097,0.55,0.5,0.375,0.556,0.316,-0.065,0.465
relu,"(300,)",0.01,0.606,0.633,0.594,0.43,0.195,0.614,0.615,0.35,0.733,0.363,0.12,0.542,0.692,0.25,0.889,0.333,0.178,0.569
relu,"(300,)",0.001,0.547,0.633,0.511,0.44,0.133,0.572,0.615,0.575,0.633,0.48,0.195,0.604,0.692,0.625,0.722,0.556,0.329,0.674
relu,"(300,)",0.0001,0.528,0.667,0.47,0.44,0.131,0.569,0.385,0.625,0.278,0.385,-0.098,0.451,0.346,0.625,0.222,0.37,-0.159,0.424
relu,"(25,5)",0.1,0.701,0.033,0.971,0.044,0.006,0.502,0.723,0.15,0.978,0.217,0.198,0.564,0.692,0.0,1.0,0.0,0.0,0.5
relu,"(25,5)",0.01,0.548,0.3,0.649,0.269,-0.036,0.474,0.485,0.375,0.533,0.308,-0.086,0.454,0.5,0.5,0.5,0.381,0.0,0.5
relu,"(25,5)",0.001,0.673,0.133,0.892,0.183,0.057,0.513,0.585,0.175,0.767,0.203,-0.067,0.471,0.615,0.125,0.833,0.167,-0.053,0.479
relu,"(25,5)",0.0001,0.634,0.1,0.85,0.131,-0.047,0.475,0.546,0.025,0.778,0.031,-0.25,0.401,0.538,0.0,0.778,0.0,-0.284,0.389
relu,"(50,10)",0.1,0.519,0.7,0.447,0.455,0.136,0.573,0.562,0.45,0.611,0.375,0.06,0.531,0.538,0.25,0.667,0.25,-0.083,0.458
relu,"(50,10)",0.01,0.585,0.633,0.565,0.447,0.223,0.599,0.662,0.375,0.789,0.385,0.204,0.582,0.769,0.375,0.944,0.5,0.409,0.66
