n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.05,0.978,0.084,0.057,0.514,0.692,0.0,1.0,0.0,0.0,0.5
200,None,0.5,0.711,0.0,1.0,0.0,0.0,0.5,0.7,0.075,0.978,0.12,0.084,0.526,0.692,0.0,1.0,0.0,0.0,0.5
200,None,0.75,0.701,0.0,0.986,0.0,-0.03,0.493,0.7,0.075,0.978,0.129,0.117,0.526,0.692,0.0,1.0,0.0,0.0,0.5
200,None,None,0.711,0.0,1.0,0.0,0.0,0.5,0.7,0.05,0.989,0.089,0.093,0.519,0.692,0.0,1.0,0.0,0.0,0.5
400,None,0.25,0.711,0.0,1.0,0.0,0.0,0.5,0.685,0.025,0.978,0.044,0.007,0.501,0.692,0.0,1.0,0.0,0.0,0.5
400,None,0.5,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.05,0.978,0.08,0.033,0.514,0.692,0.0,1.0,0.0,0.0,0.5
400,None,0.75,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.05,0.978,0.084,0.057,0.514,0.692,0.0,1.0,0.0,0.0,0.5
400,None,None,0.711,0.0,1.0,0.0,0.0,0.5,0.708,0.075,0.989,0.124,0.12,0.532,0.692,0.0,1.0,0.0,0.0,0.5
600,None,0.25,0.711,0.0,1.0,0.0,0.0,0.5,0.685,0.025,0.978,0.044,0.007,0.501,0.692,0.0,1.0,0.0,0.0,0.5
600,None,0.5,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.05,0.978,0.08,0.033,0.514,0.692,0.0,1.0,0.0,0.0,0.5
600,None,0.75,0.711,0.0,1.0,0.0,0.0,0.5,0.685,0.025,0.978,0.044,0.007,0.501,0.692,0.0,1.0,0.0,0.0,0.5
600,None,None,0.711,0.0,1.0,0.0,0.0,0.5,0.7,0.05,0.989,0.08,0.06,0.519,0.692,0.0,1.0,0.0,0.0,0.5
800,None,0.25,0.711,0.0,1.0,0.0,0.0,0.5,0.685,0.025,0.978,0.044,0.007,0.501,0.692,0.0,1.0,0.0,0.0,0.5
800,None,0.5,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.05,0.978,0.08,0.033,0.514,0.692,0.0,1.0,0.0,0.0,0.5
800,None,0.75,0.711,0.0,1.0,0.0,0.0,0.5,0.7,0.05,0.989,0.08,0.06,0.519,0.692,0.0,1.0,0.0,0.0,0.5
800,None,None,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.025,0.989,0.044,0.033,0.507,0.692,0.0,1.0,0.0,0.0,0.5
1000,None,0.25,0.711,0.0,1.0,0.0,0.0,0.5,0.685,0.025,0.978,0.044,0.007,0.501,0.692,0.0,1.0,0.0,0.0,0.5
1000,None,0.5,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.05,0.978,0.08,0.033,0.514,0.692,0.0,1.0,0.0,0.0,0.5
1000,None,0.75,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.025,0.989,0.044,0.033,0.507,0.692,0.0,1.0,0.0,0.0,0.5
1000,None,None,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.025,0.989,0.044,0.033,0.507,0.692,0.0,1.0,0.0,0.0,0.5
