n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.798,0.333,0.987,0.468,0.472,0.66,0.808,0.45,0.967,0.554,0.525,0.708,0.885,0.625,1.0,0.769,0.732,0.812
200,None,0.5,0.788,0.3,0.987,0.413,0.397,0.643,0.769,0.4,0.933,0.501,0.443,0.667,0.846,0.5,1.0,0.667,0.64,0.75
200,None,0.75,0.769,0.333,0.946,0.423,0.329,0.64,0.8,0.475,0.944,0.572,0.518,0.71,0.885,0.625,1.0,0.769,0.732,0.812
200,None,None,0.73,0.3,0.906,0.383,0.252,0.603,0.754,0.425,0.9,0.501,0.387,0.662,0.846,0.625,0.944,0.714,0.624,0.785
400,None,0.25,0.798,0.3,1.0,0.424,0.431,0.65,0.8,0.425,0.967,0.55,0.512,0.696,0.885,0.625,1.0,0.769,0.732,0.812
400,None,0.5,0.779,0.3,0.973,0.404,0.374,0.637,0.792,0.425,0.956,0.541,0.493,0.69,0.885,0.625,1.0,0.769,0.732,0.812
400,None,0.75,0.759,0.333,0.932,0.416,0.312,0.633,0.777,0.475,0.911,0.551,0.452,0.693,0.885,0.625,1.0,0.769,0.732,0.812
400,None,None,0.73,0.3,0.906,0.389,0.264,0.603,0.785,0.475,0.922,0.559,0.467,0.699,0.846,0.625,0.944,0.714,0.624,0.785
600,None,0.25,0.788,0.3,0.987,0.41,0.401,0.643,0.8,0.425,0.967,0.551,0.509,0.696,0.885,0.625,1.0,0.769,0.732,0.812
600,None,0.5,0.779,0.3,0.973,0.404,0.374,0.637,0.785,0.425,0.944,0.533,0.478,0.685,0.885,0.625,1.0,0.769,0.732,0.812
600,None,0.75,0.759,0.3,0.946,0.397,0.305,0.623,0.785,0.475,0.922,0.557,0.473,0.699,0.885,0.625,1.0,0.769,0.732,0.812
600,None,None,0.73,0.3,0.906,0.389,0.264,0.603,0.777,0.475,0.911,0.551,0.452,0.693,0.846,0.625,0.944,0.714,0.624,0.785
800,None,0.25,0.798,0.3,1.0,0.424,0.431,0.65,0.8,0.425,0.967,0.545,0.513,0.696,0.885,0.625,1.0,0.769,0.732,0.812
800,None,0.5,0.779,0.3,0.973,0.404,0.374,0.637,0.8,0.45,0.956,0.56,0.515,0.703,0.885,0.625,1.0,0.769,0.732,0.812
800,None,0.75,0.759,0.3,0.946,0.397,0.305,0.623,0.785,0.475,0.922,0.557,0.473,0.699,0.885,0.625,1.0,0.769,0.732,0.812
800,None,None,0.73,0.3,0.906,0.389,0.264,0.603,0.762,0.425,0.911,0.511,0.406,0.668,0.846,0.625,0.944,0.714,0.624,0.785
1000,None,0.25,0.798,0.3,1.0,0.424,0.431,0.65,0.792,0.425,0.956,0.541,0.493,0.69,0.885,0.625,1.0,0.769,0.732,0.812
1000,None,0.5,0.779,0.3,0.973,0.404,0.374,0.637,0.785,0.425,0.944,0.533,0.478,0.685,0.885,0.625,1.0,0.769,0.732,0.812
1000,None,0.75,0.759,0.3,0.946,0.397,0.305,0.623,0.792,0.475,0.933,0.565,0.488,0.704,0.885,0.625,1.0,0.769,0.732,0.812
1000,None,None,0.74,0.3,0.919,0.397,0.282,0.61,0.777,0.45,0.922,0.54,0.445,0.686,0.846,0.625,0.944,0.714,0.624,0.785
