n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.817,0.4,0.987,0.528,0.523,0.693,0.8,0.375,0.989,0.527,0.511,0.682,0.846,0.5,1.0,0.667,0.64,0.75
200,None,0.5,0.769,0.3,0.96,0.42,0.401,0.63,0.777,0.325,0.978,0.471,0.441,0.651,0.808,0.375,1.0,0.545,0.542,0.688
200,None,0.75,0.779,0.333,0.96,0.447,0.425,0.647,0.8,0.4,0.978,0.543,0.505,0.689,0.808,0.375,1.0,0.545,0.542,0.688
200,None,None,0.759,0.267,0.96,0.363,0.331,0.613,0.823,0.475,0.978,0.613,0.569,0.726,0.808,0.375,1.0,0.545,0.542,0.688
400,None,0.25,0.798,0.333,0.987,0.468,0.472,0.66,0.785,0.325,0.989,0.475,0.466,0.657,0.846,0.5,1.0,0.667,0.64,0.75
400,None,0.5,0.788,0.333,0.973,0.441,0.443,0.653,0.785,0.35,0.978,0.487,0.457,0.664,0.769,0.25,1.0,0.4,0.433,0.625
400,None,0.75,0.76,0.3,0.947,0.397,0.385,0.623,0.808,0.425,0.978,0.56,0.517,0.701,0.885,0.625,1.0,0.769,0.732,0.812
400,None,None,0.759,0.267,0.96,0.363,0.331,0.613,0.823,0.475,0.978,0.611,0.565,0.726,0.808,0.375,1.0,0.545,0.542,0.688
600,None,0.25,0.817,0.4,0.987,0.528,0.523,0.693,0.792,0.35,0.989,0.502,0.491,0.669,0.846,0.5,1.0,0.667,0.64,0.75
600,None,0.5,0.788,0.333,0.973,0.441,0.443,0.653,0.792,0.375,0.978,0.516,0.479,0.676,0.846,0.5,1.0,0.667,0.64,0.75
600,None,0.75,0.779,0.333,0.96,0.448,0.432,0.647,0.808,0.425,0.978,0.56,0.517,0.701,0.808,0.375,1.0,0.545,0.542,0.688
600,None,None,0.75,0.233,0.96,0.33,0.304,0.597,0.815,0.45,0.978,0.588,0.543,0.714,0.808,0.375,1.0,0.545,0.542,0.688
800,None,0.25,0.817,0.4,0.987,0.528,0.523,0.693,0.785,0.325,0.989,0.467,0.453,0.657,0.846,0.5,1.0,0.667,0.64,0.75
800,None,0.5,0.798,0.367,0.973,0.483,0.475,0.67,0.792,0.375,0.978,0.516,0.479,0.676,0.846,0.5,1.0,0.667,0.64,0.75
800,None,0.75,0.779,0.333,0.96,0.448,0.432,0.647,0.808,0.425,0.978,0.567,0.524,0.701,0.846,0.5,1.0,0.667,0.64,0.75
800,None,None,0.759,0.267,0.96,0.357,0.336,0.613,0.815,0.45,0.978,0.588,0.543,0.714,0.808,0.375,1.0,0.545,0.542,0.688
1000,None,0.25,0.807,0.367,0.987,0.494,0.496,0.677,0.785,0.325,0.989,0.475,0.466,0.657,0.846,0.5,1.0,0.667,0.64,0.75
1000,None,0.5,0.798,0.367,0.973,0.483,0.475,0.67,0.8,0.4,0.978,0.54,0.499,0.689,0.846,0.5,1.0,0.667,0.64,0.75
1000,None,0.75,0.779,0.333,0.96,0.448,0.432,0.647,0.815,0.45,0.978,0.588,0.543,0.714,0.846,0.5,1.0,0.667,0.64,0.75
1000,None,None,0.769,0.3,0.96,0.39,0.362,0.63,0.823,0.475,0.978,0.611,0.565,0.726,0.808,0.375,1.0,0.545,0.542,0.688
