Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.6,-0.4,-0.4,0.79,0.8,0.785,0.644,0.576,0.792,0.823,0.775,0.844,0.644,0.578,0.81,0.846,1.0,0.778,0.8,0.72,0.889
RBF,1,0.01,-1.6,1.0,-0.2,0.933,0.8,0.987,0.848,0.833,0.893,0.923,0.875,0.944,0.875,0.819,0.91,0.923,0.875,0.944,0.875,0.819,0.91
RBF,1,0.001,-1.6,1.7,-0.3,0.875,0.667,0.96,0.753,0.697,0.813,0.885,0.875,0.889,0.824,0.741,0.882,0.885,0.875,0.889,0.824,0.741,0.882
RBF,1,0.0001,-0.3,1.0,0.4,0.798,0.533,0.907,0.518,0.484,0.72,0.754,0.6,0.822,0.588,0.506,0.711,0.731,0.125,1.0,0.222,0.3,0.562
RBF,1,1e-05,0.9,1.0,0.9,0.404,0.933,0.19,0.476,0.143,0.561,0.415,0.975,0.167,0.509,0.166,0.571,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-0.6,-0.4,-0.4,0.79,0.8,0.785,0.644,0.576,0.792,0.823,0.775,0.844,0.644,0.578,0.81,0.846,1.0,0.778,0.8,0.72,0.889
RBF,5,0.01,-1.5,1.0,-0.1,0.933,0.8,0.987,0.848,0.833,0.893,0.931,0.875,0.956,0.887,0.838,0.915,0.923,0.875,0.944,0.875,0.819,0.91
RBF,5,0.001,-1.7,2.8,-0.4,0.875,0.733,0.933,0.753,0.708,0.833,0.892,0.825,0.922,0.825,0.748,0.874,0.885,0.75,0.944,0.8,0.723,0.847
RBF,5,0.0001,-1.6,1.4,-0.2,0.856,0.6,0.96,0.693,0.646,0.78,0.862,0.775,0.9,0.77,0.676,0.838,0.885,0.875,0.889,0.824,0.741,0.882
RBF,5,1e-05,-0.2,1.0,0.7,0.778,0.467,0.907,0.445,0.382,0.687,0.754,0.5,0.867,0.495,0.427,0.683,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.1,-0.6,-0.4,-0.4,0.79,0.8,0.785,0.644,0.576,0.792,0.823,0.775,0.844,0.644,0.578,0.81,0.846,1.0,0.778,0.8,0.72,0.889
RBF,10,0.01,-1.5,1.0,-0.1,0.933,0.8,0.987,0.848,0.833,0.893,0.931,0.875,0.956,0.887,0.838,0.915,0.923,0.875,0.944,0.875,0.819,0.91
RBF,10,0.001,-1.6,3.4,-0.1,0.875,0.633,0.973,0.724,0.685,0.803,0.869,0.575,1.0,0.728,0.695,0.788,0.885,0.625,1.0,0.769,0.732,0.812
RBF,10,0.0001,-2.0,2.1,-0.1,0.875,0.6,0.987,0.721,0.688,0.793,0.846,0.675,0.922,0.724,0.636,0.799,0.846,0.75,0.889,0.75,0.639,0.819
RBF,10,1e-05,-0.4,1.0,0.3,0.75,0.567,0.827,0.483,0.43,0.697,0.715,0.675,0.733,0.602,0.468,0.704,0.769,0.375,0.944,0.5,0.409,0.66
