Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.01,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.001,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,0.0001,-0.8,0.2,-0.3,0.691,0.333,0.836,0.379,0.222,0.585,0.346,0.8,0.144,0.429,-0.068,0.472,0.346,0.875,0.111,0.452,-0.02,0.493
RBF,1,1e-05,-1.0,0.4,-0.1,0.662,0.2,0.85,0.237,0.07,0.525,0.4,0.725,0.256,0.426,-0.02,0.49,0.423,0.875,0.222,0.483,0.114,0.549
RBF,5,0.1,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.01,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.001,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.0001,-0.8,0.2,-0.3,0.701,0.333,0.85,0.388,0.24,0.591,0.331,0.75,0.144,0.407,-0.12,0.447,0.346,0.75,0.167,0.414,-0.098,0.458
RBF,5,1e-05,-1.0,0.5,-0.2,0.75,0.3,0.932,0.4,0.321,0.616,0.4,0.7,0.267,0.416,-0.031,0.483,0.423,0.75,0.278,0.444,0.029,0.514
RBF,10,0.1,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.01,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.001,-0.4,-0.4,-0.4,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,10,0.0001,-0.8,0.2,-0.3,0.701,0.333,0.85,0.388,0.24,0.591,0.331,0.75,0.144,0.407,-0.12,0.447,0.346,0.75,0.167,0.414,-0.098,0.458
RBF,10,1e-05,-0.9,0.5,-0.2,0.73,0.333,0.891,0.403,0.283,0.612,0.377,0.675,0.244,0.399,-0.08,0.46,0.385,0.625,0.278,0.385,-0.097,0.451
