Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-0.6,-0.2,-0.4,0.653,0.967,0.525,0.62,0.465,0.746,0.685,0.875,0.6,0.631,0.44,0.738,0.577,0.875,0.444,0.56,0.31,0.66
RBF,1,0.01,-1.7,0.8,0.3,0.885,0.7,0.96,0.737,0.713,0.83,0.915,0.725,1.0,0.837,0.803,0.862,0.923,0.75,1.0,0.857,0.822,0.875
RBF,1,0.001,-1.3,1.6,-0.4,0.895,0.8,0.933,0.792,0.75,0.867,0.931,0.875,0.956,0.887,0.838,0.915,0.923,0.875,0.944,0.875,0.819,0.91
RBF,1,0.0001,-0.1,0.9,0.5,0.816,0.4,0.987,0.451,0.437,0.693,0.777,0.325,0.978,0.407,0.437,0.651,0.692,0.0,1.0,0.0,0.0,0.5
RBF,1,1e-05,0.9,1.0,1.0,0.711,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5,0.692,0.0,1.0,0.0,0.0,0.5
RBF,5,0.1,-0.6,-0.2,-0.4,0.662,0.967,0.538,0.628,0.476,0.752,0.685,0.875,0.6,0.631,0.44,0.738,0.577,0.875,0.444,0.56,0.31,0.66
RBF,5,0.01,-1.7,0.8,0.2,0.885,0.7,0.96,0.737,0.713,0.83,0.908,0.7,1.0,0.817,0.785,0.85,0.885,0.625,1.0,0.769,0.732,0.812
RBF,5,0.001,-1.5,2.4,-0.1,0.885,0.7,0.96,0.736,0.707,0.83,0.908,0.725,0.989,0.829,0.782,0.857,0.923,0.75,1.0,0.857,0.822,0.875
RBF,5,0.0001,-1.3,1.3,-0.5,0.875,0.767,0.917,0.757,0.707,0.842,0.854,0.85,0.856,0.783,0.683,0.853,0.846,0.875,0.833,0.778,0.672,0.854
RBF,5,1e-05,-0.2,1.0,0.7,0.759,0.5,0.867,0.442,0.384,0.683,0.7,0.4,0.833,0.416,0.334,0.617,0.731,0.125,1.0,0.222,0.3,0.562
RBF,10,0.1,-0.6,-0.2,-0.4,0.662,0.967,0.538,0.628,0.476,0.752,0.685,0.875,0.6,0.631,0.44,0.738,0.577,0.875,0.444,0.56,0.31,0.66
RBF,10,0.01,-1.7,0.8,0.2,0.885,0.7,0.96,0.737,0.713,0.83,0.9,0.675,1.0,0.799,0.767,0.838,0.885,0.625,1.0,0.769,0.732,0.812
RBF,10,0.001,-1.6,2.8,0.3,0.875,0.633,0.973,0.702,0.685,0.803,0.8,0.35,1.0,0.516,0.52,0.675,0.808,0.375,1.0,0.545,0.542,0.688
RBF,10,0.0001,-1.5,1.6,-0.5,0.875,0.8,0.905,0.776,0.699,0.852,0.831,0.875,0.811,0.762,0.649,0.843,0.846,0.875,0.833,0.778,0.672,0.854
RBF,10,1e-05,-0.4,0.9,0.5,0.797,0.333,0.987,0.4,0.385,0.66,0.762,0.275,0.978,0.334,0.355,0.626,0.731,0.125,1.0,0.222,0.3,0.562
