Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.1,1,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.1,2,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.1,3,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.1,4,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.01,0,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.01,1,-0.8,0.4,-0.5,0.673,0.367,0.798,0.387,0.188,0.582,0.6,0.4,0.689,0.381,0.088,0.544,0.577,0.375,0.667,0.353,0.04,0.521
poly,1,2,0.01,2,-0.8,0.4,-0.3,0.721,0.1,0.973,0.171,0.17,0.537,0.638,0.4,0.744,0.404,0.146,0.572,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.01,3,-0.8,0.4,-0.3,0.721,0.1,0.973,0.171,0.17,0.537,0.638,0.4,0.744,0.404,0.146,0.572,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.01,4,-0.8,0.4,-0.5,0.653,0.4,0.757,0.399,0.178,0.579,0.577,0.4,0.656,0.369,0.055,0.528,0.577,0.375,0.667,0.353,0.04,0.521
poly,1,2,0.001,0,-0.8,0.4,-0.4,0.721,0.167,0.947,0.248,0.209,0.557,0.631,0.4,0.733,0.399,0.133,0.567,0.615,0.375,0.722,0.375,0.097,0.549
poly,1,2,0.001,1,-0.8,0.4,-0.3,0.731,0.1,0.987,0.171,0.183,0.543,0.638,0.4,0.744,0.404,0.146,0.572,0.615,0.375,0.722,0.375,0.097,0.549
