Index,position,attribute,F_val,p_val
5105,1,FHL2,16.221395,7.401258e-05
908,2,ARL11,16.116392,7.797648e-05
1836,3,C9,14.299417,0.00019347439
4345,4,EIF3C,13.982733,0.00022695241
4850,5,FAM71D,12.789079,0.00041562683
13350,6,SLC14A1,12.64775,0.00044666455
757,7,APOBEC1,12.3091545,0.0005309663
11444,8,PRDM8,12.213729,0.00055752846
12218,9,REP15,12.1173115,0.00058574026
13508,10,SLC2A9,11.861257,0.0006679211
8746,11,MRFAP1,11.614148,0.00075836026
5944,12,GPX8,11.565692,0.00077750743
5783,13,GOLGA8G,11.452236,0.0008242867
13474,14,SLC26A3,11.445596,0.00082711177
16287,15,WDR1,11.313627,0.0008853466
4461,16,ENPP1,11.112846,0.0009820645
16321,17,WDR6,11.107617,0.0009847224
957,18,ARPC1A,11.02658,0.0010268623
542,19,AMFR,11.017178,0.001031869
4561,20,ERLIN1,10.899869,0.0010964674
15179,21,TMEM52,10.628879,0.0012619146
113,22,ACADM,9.99046,0.0017598681
5081,23,FGF5,9.667468,0.0020841684
1609,24,C15orf48,9.6451435,0.0021087218
14458,25,SYPL1,9.5732765,0.0021897892
1858,26,CA2,9.380881,0.0024228506
6384,27,HOOK2,9.358808,0.0024511637
8866,28,MSMB,9.273643,0.0025636076
1928,29,CALM2,9.236506,0.0026142763
16689,30,ZKSCAN1,9.208647,0.0026529592
13682,31,SLC9B2,9.170659,0.00270665
7146,32,KCNIP3,9.151514,0.0027341289
14137,33,SRPK2,9.150353,0.0027358038
682,34,ANTXR2,9.024102,0.0029244174
8919,35,MTMR11,9.019582,0.002931412
681,36,ANTXR1,8.819406,0.003258954
12602,37,RPP21,8.808167,0.0032784168
15372,38,TP53,8.77795,0.0033313402
15305,39,TNIP2,8.6956625,0.0034799397
13033,40,SEMA7A,8.631672,0.003600176
5657,41,GLI3,8.429868,0.0040079793
9285,42,NECAB3,8.422667,0.0040233764
8007,43,LRRC66,8.341832,0.004200427
421,44,AK5,8.340993,0.0042023063
4415,45,ELP3,8.305274,0.0042831027
6884,46,INTS9,8.285216,0.0043291696
10289,47,OTUD3,8.26357,0.004379456
7543,48,KRTAP16-1,8.138453,0.004682079
7131,49,KCNF1,8.04449,0.0049233884
4230,50,ECI1,7.951956,0.005173511
13947,51,SPAG11B,7.9397907,0.0052073495
2316,52,CD320,7.9201,0.005262604
4820,53,FAM214B,7.8739777,0.005394398
16499,54,YWHAB,7.841043,0.005490577
7985,55,LRRC39,7.781145,0.005670035
10047,56,OR4K14,7.774862,0.005689206
10015,57,OR4A15,7.763564,0.005723844
7837,58,LINGO2,7.7606354,0.0057328586
6275,59,HIGD2B,7.7559285,0.0057473765
5817,60,GPBAR1,7.718791,0.005863259
3825,61,DHPS,7.708222,0.005896675
3016,62,COL17A1,7.682233,0.0059796786
6461,63,HS3ST1,7.681079,0.005983392
13222,64,SHC1,7.6706862,0.00601694
11814,65,PUM1,7.6604223,0.0060502626
14129,66,SRMS,7.5810137,0.0063145612
10280,67,OTOP1,7.550447,0.0064194347
5512,68,GCKR,7.549761,0.006421809
12166,69,RCC1,7.4803195,0.0066668587
188,70,ACTL10,7.4657946,0.0067193196
6542,71,HTR1B,7.459695,0.0067414767
7198,72,KCNT2,7.444221,0.006798023
15116,73,TMEM200A,7.4170814,0.0068983804
11675,74,PSMC2,7.412572,0.006915203
16167,75,VEGFC,7.411753,0.0069182613
1301,76,BCAM,7.336088,0.0072070356
4676,77,F2RL1,7.3269773,0.007242634
11502,78,PRKG2,7.320798,0.007266881
15862,79,UBE2E3,7.284835,0.0074096625
2417,80,CDH2,7.2732797,0.0074561494
6223,81,HEPH,7.220622,0.0076718237
3003,82,COG5,7.1769686,0.007855483
990,83,ARVCF,7.132378,0.008047761
14329,84,STX18,7.026952,0.008521889
4209,85,EARS2,6.9830537,0.008727708
685,86,ANXA10,6.9465733,0.008902644
11664,87,PSMB10,6.941858,0.008925518
6991,88,ITGAV,6.93068,0.008979984
6134,89,HAS2,6.9229007,0.009018091
2925,90,CMTM3,6.9134607,0.009064557
4188,91,DYRK2,6.900017,0.009131159
13011,92,SELL,6.8979964,0.009141211
16583,93,ZC4H2,6.8865924,0.009198167
4483,94,EPB41,6.8646264,0.009308907
6499,95,HSFX1,6.862633,0.009319023
15482,96,TRIB2,6.849604,0.009385431
13586,97,SLC3A1,6.8423004,0.00942287
10050,98,OR4K2,6.8345714,0.009462658
