CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
PTPRF,35,ISLR2,112,0.177
PTPRF,35,RTN4RL2,12,0.177
YWHAB,113,ANKK1,14,0.165
YWHAB,113,GEN1,71,0.163
YWHAB,113,HSFX1,51,0.152
YWHAB,113,ISLR2,112,0.161
YWHAB,113,LIMK1,65,0.165
YWHAB,113,RTN4RL2,12,0.161
YWHAB,113,SSH1,67,0.689
YWHAB,113,UBR5,5,0.175
SELL,63,CALM2,15,0.803
PPM1D,121,AMFR,102,0.15
PPM1D,121,ANKK1,14,0.163
PPM1D,121,LIMK1,65,0.163
PPM1D,121,SYVN1,31,0.15
PPM1D,121,PSMC2,107,0.181
RPL30,95,IPO8,78,0.232
RPL30,95,NAA60,23,0.369
RPL30,95,TBL2,100,0.158
RPL30,95,SSH1,67,0.213
RPL30,95,UBR5,5,0.286
NT5DC2,82,WDFY4,70,0.155
GLI3,53,UBR5,5,0.169
RPL7,68,IPO8,78,0.155
RPL7,68,NAA60,23,0.244
RPL7,68,SSH1,67,0.179
ACE2,73,REM2,86,0.161
ACE2,73,ARL11,83,0.161
SYK,77,LIMK1,65,0.154
XPO7,55,EIF3CL,47,0.172
XPO7,55,GIMAP8,115,0.181
XPO7,55,RAB41,98,0.151
PARD6A,94,ANKK1,14,0.179
PARD6A,94,ARL11,83,0.167
PARD6A,94,LIMK1,65,0.179
PARD6A,94,REM2,86,0.167
YWHAZ,81,ANKK1,14,0.165
YWHAZ,81,CWC27,116,0.274
YWHAZ,81,GEN1,71,0.163
YWHAZ,81,HSFX1,51,0.152
YWHAZ,81,ISLR2,112,0.161
YWHAZ,81,LIMK1,65,0.552
YWHAZ,81,REM2,86,0.181
YWHAZ,81,RTN4RL2,12,0.161
YWHAZ,81,SSH1,67,0.544
YWHAZ,81,UBR5,5,0.175
PPP1CB,106,ALG1L,30,0.167
PPP1CB,106,CALM2,15,0.173
PPP1CB,106,ISLR2,112,0.158
PPP1CB,106,RTN4RL2,12,0.158
SIRT1,114,GEN1,71,0.197
CCDC88C,97,WDFY4,70,0.185
DPY30,19,RBM6,37,0.246
DPY30,19,UBR5,5,0.27
DDX39B,69,IPO8,78,0.169
DDX39B,69,RBM6,37,0.156
DDX39B,69,RMND5A,92,0.27
DDX39B,69,EIF3CL,47,0.173
DDX39B,69,UBR5,5,0.32
