#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACADS	COX6C	9606.ENSP00000242592	9606.ENSP00000428895	0	0	0	0	0	0.174	0	0	0.173
ACE2	REM2	9606.ENSP00000389326	9606.ENSP00000267396	0	0	0	0	0	0.161	0	0	0.161
ACE2	ARL11	9606.ENSP00000389326	9606.ENSP00000282026	0	0	0	0	0	0.161	0	0	0.161
ACOX1	COX6C	9606.ENSP00000293217	9606.ENSP00000428895	0	0	0	0	0	0.174	0	0	0.173
ALG1L	PPP1CB	9606.ENSP00000482705	9606.ENSP00000378769	0	0	0	0	0	0.168	0	0	0.167
AMFR	PPM1D	9606.ENSP00000290649	9606.ENSP00000306682	0	0	0	0	0	0.151	0	0	0.150
AMFR	PSMC2	9606.ENSP00000290649	9606.ENSP00000391211	0	0	0	0	0	0.320	0	0	0.320
AMFR	SYVN1	9606.ENSP00000290649	9606.ENSP00000366395	0	0	0	0.603	0	0.675	0	0	0.675
ANKK1	PARD6A	9606.ENSP00000306678	9606.ENSP00000219255	0	0	0	0	0	0.180	0	0	0.179
ANKK1	YWHAB	9606.ENSP00000306678	9606.ENSP00000361930	0	0	0	0	0	0.165	0	0	0.165
ANKK1	YWHAZ	9606.ENSP00000306678	9606.ENSP00000379287	0	0	0	0	0	0.165	0	0	0.165
ANKK1	PPM1D	9606.ENSP00000306678	9606.ENSP00000306682	0	0	0	0	0	0.163	0	0	0.163
ARL11	PARD6A	9606.ENSP00000282026	9606.ENSP00000219255	0	0	0	0	0	0.167	0	0	0.167
ARL11	RAB41	9606.ENSP00000282026	9606.ENSP00000276066	0	0	0	0	0	0.152	0	0	0.151
ARL11	WDFY4	9606.ENSP00000282026	9606.ENSP00000320563	0	0	0	0	0	0.158	0	0	0.157
CALM2	CAMK1G	9606.ENSP00000272298	9606.ENSP00000009105	0	0	0	0	0	0.262	0	0	0.262
CALM2	SELL	9606.ENSP00000272298	9606.ENSP00000236147	0	0	0	0	0	0.803	0	0	0.803
CALM2	WDFY4	9606.ENSP00000272298	9606.ENSP00000320563	0	0	0	0	0	0.151	0	0	0.150
CALM2	PPP1CB	9606.ENSP00000272298	9606.ENSP00000378769	0	0	0	0	0	0.174	0	0	0.173
CCDC88C	WDFY4	9606.ENSP00000374507	9606.ENSP00000320563	0	0	0	0	0	0.185	0	0	0.185
CCDC88C	CTNND1	9606.ENSP00000374507	9606.ENSP00000382004	0	0	0	0	0	0.183	0	0	0.183
CRB3	PARD6A	9606.ENSP00000349204	9606.ENSP00000219255	0	0	0	0	0	0.213	0	0	0.213
CTNND1	RIPK3	9606.ENSP00000382004	9606.ENSP00000216274	0	0	0	0	0	0.172	0	0	0.172
CTNND1	YWHAZ	9606.ENSP00000382004	9606.ENSP00000379287	0	0	0	0	0	0.182	0	0	0.181
CWC27	YWHAZ	9606.ENSP00000370460	9606.ENSP00000379287	0	0	0	0	0	0.274	0	0	0.274
DDX39B	IPO8	9606.ENSP00000379475	9606.ENSP00000256079	0	0	0	0	0	0.169	0	0	0.169
DDX39B	RBM6	9606.ENSP00000379475	9606.ENSP00000266022	0	0	0	0	0	0.157	0	0	0.156
DDX39B	RMND5A	9606.ENSP00000379475	9606.ENSP00000283632	0	0	0	0	0	0.270	0	0	0.270
DDX39B	RPL7	9606.ENSP00000379475	9606.ENSP00000339795	0	0	0	0	0	0.154	0	0	0.153
DDX39B	YWHAB	9606.ENSP00000379475	9606.ENSP00000361930	0	0	0	0	0	0.161	0	0	0.161
DDX39B	EIF3CL	9606.ENSP00000379475	9606.ENSP00000370258	0	0	0	0	0	0.174	0	0	0.173
DDX39B	YWHAZ	9606.ENSP00000379475	9606.ENSP00000379287	0	0	0	0	0	0.161	0	0	0.161
DDX39B	UBR5	9606.ENSP00000379475	9606.ENSP00000429084	0	0	0	0	0	0.320	0	0	0.320
DDX39B	RPL30	9606.ENSP00000379475	9606.ENSP00000428085	0	0	0	0	0	0.183	0	0	0.183
DPY30	RBM6	9606.ENSP00000345837	9606.ENSP00000266022	0	0	0	0	0	0.247	0	0	0.246
DPY30	UBR5	9606.ENSP00000345837	9606.ENSP00000429084	0	0	0	0	0	0.270	0	0	0.270
EIF3CL	XPO7	9606.ENSP00000370258	9606.ENSP00000252512	0	0	0	0	0	0.173	0	0	0.172
FHL2	SIRT1	9606.ENSP00000386665	9606.ENSP00000212015	0	0	0	0	0	0.270	0	0	0.270
FHL2	ZNF3	9606.ENSP00000386665	9606.ENSP00000306372	0	0	0	0	0	0.207	0	0	0.207
FRYL	YWHAB	9606.ENSP00000351113	9606.ENSP00000361930	0	0	0	0	0	0.175	0	0	0.175
GEN1	SIRT1	9606.ENSP00000318977	9606.ENSP00000212015	0	0	0	0	0	0.197	0	0	0.197
GEN1	YWHAZ	9606.ENSP00000318977	9606.ENSP00000379287	0	0	0	0	0	0.164	0	0	0.163
GEN1	YWHAB	9606.ENSP00000318977	9606.ENSP00000361930	0	0	0	0	0	0.164	0	0	0.163
GGT6	GRINA	9606.ENSP00000370962	9606.ENSP00000314380	0	0	0	0	0	0.245	0	0	0.244
