attribute,position,CANCER_TYPE,MARKER_TYPE,EXPRESSION_LEVEL,CELL_LINE,PUBMED_ID
SUFU,1,Skin Cancer,HTM,Up,Primary,29959199
GGT6,7,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
SLC2A9,25,Non Small Cell Lung Cancer,"HTM, HTM","Down, Down","A549, H292","25881239, 34059086"
COL17A1,26,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM, LTM","Up, Down, Down, Down, NA","A549, A549, A549, H2170, A549","29416721, 25881239, 25881239, 25881239, 31928533"
COL17A1,26,Triple Negative Breast Cancer,HTM,Down,HCC1937,31709178
COL17A1,26,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
COL17A1,26,Breast Cancer,HTM/LTM,Up,Primary,35053617
BIRC6,28,Luminal A Breast Cancer,HTM,Up,MCF7,17911267
BIRC6,28,Colon Cancer,HTM,Up,Primary,21788403
FGF5,39,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Down, Down","A549, A549, H2170","25881239, 25881239, 25881239"
BCL10,49,Non Small Cell Lung Cancer,HTM,Down,A549,25881239
ARSB,54,Triple Negative Breast Cancer,HTM,Up,HCC1937,31709178
DPY30,71,Pancreatic Cancer,HTM,Down,PC1J,34168259
SNX15,75,Skin Cancer,HTM,Down,Primary,24098529
WDR1,76,Pancreatic Cancer,HTM,Up,PANC-1,27746256
ANTXR1,86,Non Small Cell Lung Cancer,"HTM, HTM, HTM, HTM, HTM","Up, Up, Down, Down, Down","A549, A549, H1299, H460, H460","25881239, 25881239, 23820871, 24961511, 24961511"
ANTXR1,86,Triple Negative Breast Cancer,HTM,Up,HCC1937,31709178
ISOC1,89,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
SLC22A23,91,Hepatic Cancer,"HTM, HTM, HTM, HTM, HTM","Down, Up, Down, Up, Up","Hep3B, Huh7, Huh7, KMCH-1, WRL68","26259570, 21618577, 26259570, 21618577, 21618577"
ACE2,93,Triple Negative Breast Cancer,"HTM, HTM","Down, Down","HCC1937, SUM149PT","31709178, 31709178"
SLC14A1,95,Bladder Cancer,"HTM, HTM","Up, Up","5637, T24","30592142, 30592142"
SLC14A1,95,Non Small Cell Lung Cancer,HTM,Down,EBC-1,26351321
MTDH,96,Gastric Cancer,"LTM, LTM, LTM","NA, NA, NA","MGC-803, MKN45, Primary","31632151, 31632151, 31632151"
CASP14,100,Triple Negative Breast Cancer,"HTM, HTM","Down, Down","HCC1937, SUM149PT","31709178, 31709178"
CASP14,100,Luminal A Breast Cancer,HTM,Up,MCF7,34680485
PTPRF,102,Head and Neck Cancer,HTM,Up,CAL27,23903875
TRDMT1,111,Triple Negative Breast Cancer,HTM,Up,HCC1937,31709178
PPP1CB,119,Pancreatic Cancer,"HTM, HTM","Down, Up","MIA-PaCa-2, MIA-PaCa-3","34168259, 34168259"
LINGO2,124,Gastric Cancer,"HTM/LTM, HTM/LTM","NA, NA","NCI-N87, SNU484","30696080, 30696080"
FHL2,127,Non Small Cell Lung Cancer,"HTM, HTM, HTM","Down, Up, Down","A549, H1299, H292","34059086, 23820871, 34059086"
FHL2,127,Luminal A Breast Cancer,HTM,Down,MCF7,34680485
FHL2,127,Gastric Cancer,"HTM, HTM","Down, Down","NCI-N87, SNU484","30696080, 30696080"
FHL2,127,Bladder Cancer,HTM,Up,UM-UC3,30397177
