CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
POU5F1,136,ELP3,129,0.27
POU5F1,136,LIMS3,84,0.154
POU5F1,136,PDCD7,125,0.27
POU5F1,136,UBR5,6,0.281
WDR1,76,SYVN1,69,0.27
PTPRF,102,LRRC39,64,0.177
PTPRF,102,RTN4RL2,17,0.177
PPP1CB,119,CALM2,11,0.173
PPP1CB,119,GUCA1C,19,0.173
PPP1CB,119,LRRC39,64,0.158
PPP1CB,119,NFATC2IP,120,0.175
PPP1CB,119,RTN4RL2,17,0.158
BIRC6,28,OASL,115,0.254
BIRC6,28,NFATC2IP,120,0.24
BIRC6,28,UBR5,6,0.242
DPY30,71,BANF2,132,0.224
DPY30,71,OASL,115,0.369
DPY30,71,RBM6,35,0.246
DPY30,71,UBR5,6,0.27
DPY30,71,DYDC1,59,0.172
FHL2,127,KLC4,121,0.171
CAMSAP3,137,GIPC2,53,0.327
SNX15,75,DHPS,130,0.171
SNX15,75,RBM6,35,0.161
ACE2,93,ARL11,30,0.161
