activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.931,0.982,0.879,0.935,0.867,0.931,0.808,0.709,0.833,0.606,0.493,0.771,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(25,)",0.01,0.937,0.976,0.897,0.94,0.876,0.937,0.845,0.764,0.867,0.672,0.581,0.815,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(25,)",0.001,0.934,0.976,0.891,0.937,0.871,0.934,0.842,0.855,0.838,0.693,0.616,0.846,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,)",0.0001,0.927,0.97,0.885,0.931,0.859,0.927,0.849,0.909,0.833,0.716,0.648,0.871,0.849,0.909,0.833,0.714,0.645,0.871
relu,"(50,)",0.1,0.934,0.982,0.885,0.938,0.872,0.934,0.804,0.764,0.814,0.62,0.512,0.789,0.887,0.727,0.929,0.727,0.656,0.828
relu,"(50,)",0.01,0.94,0.982,0.897,0.943,0.883,0.94,0.823,0.782,0.833,0.651,0.553,0.808,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(50,)",0.001,0.94,0.988,0.891,0.943,0.885,0.94,0.819,0.727,0.843,0.629,0.522,0.785,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(50,)",0.0001,0.937,0.97,0.903,0.939,0.876,0.937,0.826,0.782,0.838,0.653,0.556,0.81,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(75,)",0.1,0.916,0.97,0.861,0.921,0.84,0.915,0.819,0.727,0.843,0.621,0.519,0.785,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,)",0.01,0.937,0.988,0.885,0.941,0.88,0.937,0.83,0.745,0.852,0.647,0.548,0.799,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,)",0.001,0.937,0.982,0.891,0.94,0.879,0.937,0.781,0.727,0.795,0.58,0.458,0.761,0.811,0.727,0.833,0.615,0.505,0.78
