activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.897,0.94,0.855,0.902,0.799,0.898,0.774,0.582,0.824,0.516,0.375,0.703,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(25,)",0.01,0.901,0.94,0.861,0.905,0.805,0.901,0.808,0.545,0.876,0.54,0.42,0.711,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(25,)",0.001,0.889,0.94,0.837,0.894,0.782,0.889,0.804,0.509,0.881,0.518,0.395,0.695,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(25,)",0.0001,0.889,0.94,0.837,0.895,0.782,0.889,0.785,0.491,0.862,0.486,0.35,0.676,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(50,)",0.1,0.891,0.952,0.831,0.898,0.789,0.891,0.823,0.655,0.867,0.606,0.497,0.761,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(50,)",0.01,0.913,0.958,0.868,0.917,0.83,0.913,0.83,0.582,0.895,0.588,0.481,0.739,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(50,)",0.001,0.919,0.958,0.88,0.922,0.841,0.919,0.815,0.527,0.89,0.54,0.427,0.709,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,)",0.0001,0.919,0.946,0.891,0.921,0.84,0.919,0.826,0.564,0.895,0.573,0.467,0.729,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(75,)",0.1,0.91,0.964,0.855,0.915,0.824,0.91,0.785,0.655,0.819,0.554,0.428,0.737,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(75,)",0.01,0.913,0.958,0.867,0.917,0.829,0.913,0.838,0.618,0.895,0.615,0.513,0.757,0.887,0.636,0.952,0.7,0.636,0.794
relu,"(75,)",0.001,0.913,0.958,0.867,0.917,0.829,0.912,0.826,0.564,0.895,0.573,0.465,0.729,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(75,)",0.0001,0.916,0.958,0.873,0.92,0.835,0.916,0.834,0.6,0.895,0.6,0.496,0.748,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(100,)",0.1,0.91,0.97,0.849,0.916,0.828,0.91,0.815,0.636,0.862,0.59,0.478,0.749,0.792,0.727,0.81,0.593,0.474,0.768
relu,"(100,)",0.01,0.904,0.952,0.855,0.908,0.813,0.904,0.815,0.473,0.905,0.515,0.408,0.689,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(100,)",0.001,0.901,0.94,0.862,0.905,0.806,0.901,0.834,0.527,0.914,0.569,0.472,0.721,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(100,)",0.0001,0.898,0.934,0.862,0.901,0.8,0.898,0.838,0.545,0.914,0.582,0.485,0.73,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(125,)",0.1,0.889,0.934,0.844,0.893,0.781,0.889,0.762,0.509,0.829,0.465,0.319,0.669,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(125,)",0.01,0.907,0.958,0.856,0.911,0.818,0.907,0.838,0.564,0.91,0.589,0.492,0.737,0.887,0.636,0.952,0.7,0.636,0.794
relu,"(125,)",0.001,0.91,0.958,0.862,0.914,0.824,0.91,0.834,0.564,0.905,0.585,0.486,0.734,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(125,)",0.0001,0.904,0.946,0.861,0.907,0.811,0.904,0.819,0.564,0.886,0.566,0.455,0.725,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(150,)",0.1,0.885,0.952,0.819,0.893,0.778,0.886,0.789,0.564,0.848,0.515,0.386,0.706,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(150,)",0.01,0.904,0.958,0.849,0.909,0.812,0.904,0.815,0.527,0.89,0.542,0.429,0.709,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(150,)",0.001,0.922,0.964,0.88,0.925,0.847,0.922,0.808,0.527,0.881,0.531,0.412,0.704,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(150,)",0.0001,0.922,0.97,0.873,0.925,0.847,0.922,0.8,0.509,0.876,0.512,0.389,0.693,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(175,)",0.1,0.901,0.964,0.837,0.907,0.808,0.9,0.77,0.545,0.829,0.492,0.354,0.687,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(175,)",0.01,0.907,0.952,0.861,0.911,0.817,0.907,0.83,0.545,0.905,0.571,0.467,0.725,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(175,)",0.001,0.91,0.958,0.861,0.914,0.824,0.91,0.834,0.6,0.895,0.601,0.497,0.748,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(175,)",0.0001,0.91,0.946,0.873,0.913,0.822,0.91,0.834,0.6,0.895,0.601,0.497,0.748,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(200,)",0.1,0.894,0.952,0.837,0.901,0.794,0.894,0.774,0.545,0.833,0.494,0.355,0.689,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(200,)",0.01,0.916,0.964,0.867,0.92,0.835,0.916,0.83,0.545,0.905,0.571,0.468,0.725,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(200,)",0.001,0.919,0.964,0.873,0.922,0.841,0.919,0.808,0.527,0.881,0.534,0.413,0.704,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(200,)",0.0001,0.922,0.964,0.879,0.925,0.847,0.922,0.792,0.527,0.862,0.516,0.385,0.695,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(225,)",0.1,0.907,0.958,0.855,0.911,0.818,0.907,0.804,0.564,0.867,0.553,0.433,0.715,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(225,)",0.01,0.907,0.958,0.855,0.911,0.817,0.907,0.838,0.564,0.91,0.59,0.491,0.737,0.868,0.545,0.952,0.632,0.564,0.749
relu,"(225,)",0.001,0.91,0.958,0.861,0.914,0.823,0.91,0.853,0.636,0.91,0.644,0.556,0.773,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(225,)",0.0001,0.904,0.958,0.849,0.909,0.812,0.904,0.857,0.673,0.905,0.661,0.571,0.789,0.887,0.636,0.952,0.7,0.636,0.794
relu,"(250,)",0.1,0.898,0.94,0.855,0.902,0.799,0.897,0.789,0.6,0.838,0.535,0.411,0.719,0.811,0.545,0.881,0.545,0.426,0.713
