activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.88,0.934,0.826,0.886,0.767,0.88,0.796,0.8,0.795,0.618,0.516,0.798,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(25,)",0.01,0.919,0.97,0.868,0.923,0.843,0.919,0.819,0.8,0.824,0.646,0.55,0.812,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(25,)",0.001,0.901,0.946,0.856,0.905,0.806,0.901,0.826,0.818,0.829,0.662,0.571,0.823,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(25,)",0.0001,0.892,0.928,0.856,0.895,0.787,0.892,0.826,0.818,0.829,0.663,0.572,0.823,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(50,)",0.1,0.901,0.97,0.832,0.907,0.81,0.901,0.777,0.855,0.757,0.615,0.514,0.806,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(50,)",0.01,0.922,0.964,0.88,0.925,0.847,0.922,0.804,0.873,0.786,0.648,0.56,0.829,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(50,)",0.001,0.922,0.958,0.886,0.924,0.847,0.922,0.808,0.891,0.786,0.658,0.574,0.838,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(50,)",0.0001,0.907,0.94,0.874,0.91,0.816,0.907,0.804,0.909,0.776,0.658,0.577,0.843,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(75,)",0.1,0.904,0.97,0.838,0.91,0.816,0.904,0.774,0.891,0.743,0.62,0.528,0.817,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(75,)",0.01,0.931,0.97,0.892,0.934,0.866,0.931,0.785,0.873,0.762,0.627,0.533,0.817,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(75,)",0.001,0.928,0.97,0.886,0.931,0.859,0.928,0.796,0.909,0.767,0.65,0.567,0.838,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(75,)",0.0001,0.919,0.946,0.892,0.921,0.839,0.919,0.804,0.891,0.781,0.653,0.568,0.836,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(100,)",0.1,0.904,0.97,0.838,0.91,0.816,0.904,0.796,0.891,0.771,0.644,0.558,0.831,0.755,0.727,0.762,0.552,0.419,0.745
relu,"(100,)",0.01,0.919,0.964,0.874,0.922,0.841,0.919,0.774,0.818,0.762,0.601,0.492,0.79,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(100,)",0.001,0.916,0.952,0.88,0.919,0.835,0.916,0.774,0.818,0.762,0.601,0.491,0.79,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(100,)",0.0001,0.913,0.952,0.874,0.916,0.829,0.913,0.781,0.873,0.757,0.624,0.529,0.815,0.774,0.818,0.762,0.6,0.491,0.79
relu,"(125,)",0.1,0.91,0.97,0.85,0.915,0.827,0.91,0.77,0.836,0.752,0.604,0.497,0.794,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(125,)",0.01,0.928,0.964,0.892,0.93,0.858,0.928,0.785,0.818,0.776,0.613,0.507,0.797,0.755,0.818,0.738,0.581,0.465,0.778
relu,"(125,)",0.001,0.928,0.958,0.898,0.93,0.859,0.928,0.804,0.836,0.795,0.639,0.543,0.816,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(125,)",0.0001,0.922,0.946,0.898,0.924,0.847,0.922,0.804,0.855,0.79,0.644,0.551,0.823,0.792,0.818,0.786,0.621,0.517,0.802
relu,"(150,)",0.1,0.904,0.958,0.85,0.909,0.814,0.904,0.781,0.891,0.752,0.628,0.537,0.822,0.792,0.909,0.762,0.645,0.561,0.835
relu,"(150,)",0.01,0.919,0.964,0.874,0.923,0.843,0.919,0.8,0.891,0.776,0.649,0.563,0.834,0.774,0.909,0.738,0.625,0.537,0.824
relu,"(150,)",0.001,0.928,0.964,0.892,0.93,0.859,0.928,0.796,0.891,0.771,0.645,0.558,0.831,0.811,0.909,0.786,0.667,0.588,0.847
relu,"(150,)",0.0001,0.925,0.952,0.898,0.927,0.852,0.925,0.796,0.891,0.771,0.645,0.558,0.831,0.811,0.909,0.786,0.667,0.588,0.847
