n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.909,0.909,0.909,0.909,0.819,0.909,0.796,0.618,0.843,0.561,0.434,0.731,0.755,0.455,0.833,0.435,0.279,0.644
200,None,0.5,0.879,0.898,0.861,0.882,0.76,0.879,0.781,0.636,0.819,0.546,0.413,0.728,0.849,0.727,0.881,0.667,0.573,0.804
200,None,0.75,0.864,0.873,0.855,0.866,0.73,0.864,0.785,0.673,0.814,0.567,0.439,0.744,0.849,0.636,0.905,0.636,0.541,0.771
200,None,None,0.868,0.892,0.843,0.871,0.737,0.867,0.758,0.618,0.795,0.519,0.375,0.707,0.792,0.545,0.857,0.522,0.39,0.701
400,None,0.25,0.907,0.909,0.903,0.907,0.814,0.906,0.789,0.6,0.838,0.543,0.412,0.719,0.792,0.455,0.881,0.476,0.348,0.668
400,None,0.5,0.885,0.898,0.873,0.887,0.772,0.885,0.8,0.673,0.833,0.582,0.461,0.753,0.811,0.545,0.881,0.545,0.426,0.713
400,None,0.75,0.864,0.88,0.849,0.868,0.731,0.864,0.774,0.636,0.81,0.539,0.403,0.723,0.83,0.636,0.881,0.609,0.501,0.759
400,None,None,0.868,0.88,0.855,0.87,0.736,0.867,0.766,0.636,0.8,0.533,0.393,0.718,0.811,0.636,0.857,0.583,0.465,0.747
600,None,0.25,0.907,0.898,0.916,0.906,0.814,0.907,0.781,0.618,0.824,0.542,0.407,0.721,0.792,0.545,0.857,0.522,0.39,0.701
600,None,0.5,0.885,0.898,0.873,0.888,0.772,0.885,0.792,0.655,0.829,0.566,0.441,0.742,0.811,0.545,0.881,0.545,0.426,0.713
600,None,0.75,0.864,0.88,0.849,0.868,0.731,0.864,0.777,0.655,0.81,0.55,0.418,0.732,0.811,0.545,0.881,0.545,0.426,0.713
600,None,None,0.871,0.886,0.855,0.873,0.742,0.87,0.758,0.655,0.786,0.53,0.39,0.72,0.811,0.636,0.857,0.583,0.465,0.747
800,None,0.25,0.901,0.91,0.891,0.902,0.802,0.9,0.785,0.6,0.833,0.538,0.404,0.717,0.792,0.545,0.857,0.522,0.39,0.701
800,None,0.5,0.885,0.898,0.873,0.887,0.771,0.885,0.785,0.636,0.824,0.551,0.42,0.73,0.811,0.545,0.881,0.545,0.426,0.713
800,None,0.75,0.879,0.897,0.861,0.882,0.761,0.879,0.777,0.655,0.81,0.55,0.418,0.732,0.811,0.545,0.881,0.545,0.426,0.713
800,None,None,0.87,0.88,0.861,0.872,0.742,0.87,0.758,0.636,0.79,0.526,0.382,0.713,0.811,0.636,0.857,0.583,0.465,0.747
1000,None,0.25,0.901,0.91,0.891,0.902,0.802,0.9,0.785,0.6,0.833,0.537,0.403,0.717,0.792,0.545,0.857,0.522,0.39,0.701
1000,None,0.5,0.888,0.898,0.879,0.89,0.777,0.888,0.792,0.655,0.829,0.568,0.441,0.742,0.811,0.545,0.881,0.545,0.426,0.713
1000,None,0.75,0.876,0.891,0.861,0.879,0.754,0.876,0.781,0.655,0.814,0.555,0.424,0.734,0.811,0.545,0.881,0.545,0.426,0.713
1000,None,None,0.87,0.88,0.861,0.872,0.742,0.87,0.766,0.636,0.8,0.535,0.395,0.718,0.811,0.636,0.857,0.583,0.465,0.747
