n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.883,0.88,0.885,0.883,0.766,0.883,0.815,0.455,0.91,0.494,0.391,0.682,0.811,0.273,0.952,0.375,0.312,0.613
200,None,0.5,0.859,0.868,0.849,0.861,0.717,0.858,0.781,0.473,0.862,0.474,0.343,0.667,0.792,0.545,0.857,0.522,0.39,0.701
200,None,0.75,0.804,0.85,0.758,0.816,0.612,0.804,0.751,0.473,0.824,0.441,0.284,0.648,0.811,0.636,0.857,0.583,0.465,0.747
200,None,None,0.804,0.85,0.759,0.815,0.611,0.804,0.725,0.473,0.79,0.417,0.248,0.632,0.736,0.545,0.786,0.462,0.298,0.666
400,None,0.25,0.892,0.88,0.903,0.891,0.785,0.892,0.815,0.455,0.91,0.497,0.396,0.682,0.792,0.273,0.929,0.353,0.258,0.601
400,None,0.5,0.868,0.874,0.861,0.87,0.735,0.867,0.796,0.509,0.871,0.512,0.395,0.69,0.792,0.545,0.857,0.522,0.39,0.701
400,None,0.75,0.828,0.862,0.795,0.836,0.659,0.828,0.751,0.473,0.824,0.44,0.285,0.648,0.792,0.636,0.833,0.56,0.432,0.735
400,None,None,0.795,0.838,0.753,0.805,0.593,0.795,0.728,0.473,0.795,0.419,0.252,0.634,0.755,0.545,0.81,0.48,0.327,0.677
600,None,0.25,0.889,0.886,0.891,0.889,0.778,0.889,0.823,0.455,0.919,0.512,0.421,0.687,0.792,0.273,0.929,0.353,0.258,0.601
600,None,0.5,0.865,0.88,0.849,0.868,0.73,0.865,0.789,0.491,0.867,0.491,0.364,0.679,0.792,0.545,0.857,0.522,0.39,0.701
600,None,0.75,0.825,0.856,0.795,0.832,0.652,0.825,0.747,0.473,0.819,0.436,0.281,0.646,0.792,0.636,0.833,0.56,0.432,0.735
600,None,None,0.804,0.844,0.765,0.813,0.611,0.804,0.736,0.509,0.795,0.444,0.283,0.652,0.755,0.545,0.81,0.48,0.327,0.677
800,None,0.25,0.895,0.892,0.898,0.894,0.79,0.895,0.826,0.473,0.919,0.532,0.446,0.696,0.83,0.364,0.952,0.471,0.404,0.658
800,None,0.5,0.865,0.88,0.849,0.868,0.729,0.864,0.789,0.491,0.867,0.488,0.362,0.679,0.83,0.636,0.881,0.609,0.501,0.759
800,None,0.75,0.825,0.856,0.795,0.832,0.652,0.825,0.758,0.473,0.833,0.448,0.299,0.653,0.792,0.636,0.833,0.56,0.432,0.735
800,None,None,0.795,0.832,0.759,0.804,0.593,0.795,0.74,0.527,0.795,0.453,0.296,0.661,0.755,0.545,0.81,0.48,0.327,0.677
1000,None,0.25,0.889,0.886,0.891,0.889,0.778,0.889,0.819,0.455,0.914,0.51,0.424,0.684,0.83,0.364,0.952,0.471,0.404,0.658
1000,None,0.5,0.862,0.874,0.849,0.864,0.723,0.861,0.781,0.491,0.857,0.481,0.346,0.674,0.83,0.636,0.881,0.609,0.501,0.759
1000,None,0.75,0.831,0.856,0.807,0.837,0.664,0.831,0.755,0.491,0.824,0.455,0.302,0.657,0.792,0.636,0.833,0.56,0.432,0.735
1000,None,None,0.801,0.85,0.753,0.812,0.605,0.801,0.747,0.545,0.8,0.472,0.322,0.673,0.774,0.636,0.81,0.538,0.401,0.723
