Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.9,1.2,0.1,0.925,0.855,0.994,0.919,0.858,0.925,0.815,0.109,1.0,0.195,0.294,0.555,0.811,0.091,1.0,0.167,0.271,0.545
RBF,1,0.01,-2.0,1.7,-0.3,0.828,0.886,0.771,0.837,0.664,0.829,0.747,0.945,0.695,0.609,0.525,0.82,0.755,0.909,0.714,0.606,0.513,0.812
RBF,1,0.001,-1.3,1.3,-0.0,0.768,0.59,0.946,0.716,0.574,0.768,0.875,0.855,0.881,0.735,0.671,0.868,0.868,0.909,0.857,0.741,0.677,0.883
RBF,1,0.0001,-0.9,0.9,-0.0,0.655,0.533,0.77,0.55,0.33,0.652,0.706,0.745,0.695,0.491,0.383,0.72,0.925,0.909,0.929,0.833,0.79,0.919
RBF,1,1e-05,-1.0,1.0,-0.0,0.648,0.533,0.758,0.545,0.314,0.645,0.706,0.8,0.681,0.504,0.406,0.74,0.943,1.0,0.929,0.88,0.854,0.964
RBF,5,0.1,-1.9,1.2,0.0,0.94,0.909,0.97,0.937,0.883,0.94,0.789,0.164,0.952,0.243,0.187,0.558,0.811,0.091,1.0,0.167,0.271,0.545
RBF,5,0.01,-2.9,1.9,-0.1,0.88,0.904,0.856,0.882,0.762,0.88,0.796,0.891,0.771,0.645,0.558,0.831,0.811,0.909,0.786,0.667,0.588,0.847
RBF,5,0.001,-1.8,2.9,-0.1,0.801,0.783,0.819,0.794,0.605,0.801,0.811,0.891,0.79,0.662,0.58,0.841,0.83,0.909,0.81,0.69,0.615,0.859
RBF,5,0.0001,-1.1,1.0,-0.1,0.765,0.602,0.928,0.717,0.562,0.765,0.853,0.909,0.838,0.716,0.656,0.874,0.868,1.0,0.833,0.759,0.714,0.917
RBF,5,1e-05,-1.0,1.0,-0.0,0.648,0.533,0.758,0.545,0.314,0.645,0.706,0.8,0.681,0.504,0.406,0.74,0.943,1.0,0.929,0.88,0.854,0.964
RBF,10,0.1,-1.9,1.2,0.0,0.94,0.909,0.97,0.937,0.883,0.94,0.789,0.164,0.952,0.243,0.187,0.558,0.811,0.091,1.0,0.167,0.271,0.545
RBF,10,0.01,-3.2,2.1,0.0,0.913,0.934,0.892,0.914,0.827,0.913,0.826,0.873,0.814,0.677,0.594,0.844,0.83,0.909,0.81,0.69,0.615,0.859
RBF,10,0.001,-2.2,3.5,0.0,0.825,0.801,0.85,0.819,0.653,0.825,0.815,0.836,0.81,0.652,0.559,0.823,0.774,0.727,0.786,0.571,0.446,0.756
RBF,10,0.0001,-1.4,1.5,0.0,0.768,0.596,0.94,0.717,0.572,0.768,0.864,0.891,0.857,0.729,0.664,0.874,0.887,1.0,0.857,0.786,0.745,0.929
RBF,10,1e-05,-0.9,0.9,-0.0,0.648,0.533,0.758,0.545,0.314,0.645,0.709,0.818,0.681,0.538,0.46,0.75,0.943,1.0,0.929,0.88,0.854,0.964
