Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.3,1.2,-0.2,0.946,0.909,0.982,0.943,0.894,0.946,0.766,0.236,0.905,0.285,0.164,0.571,0.755,0.091,0.929,0.133,0.03,0.51
RBF,1,0.01,-2.1,1.9,0.1,0.907,0.904,0.909,0.907,0.814,0.907,0.819,0.582,0.881,0.571,0.457,0.731,0.811,0.545,0.881,0.545,0.426,0.713
RBF,1,0.001,-1.6,1.4,-0.2,0.822,0.855,0.789,0.827,0.646,0.822,0.725,0.8,0.705,0.547,0.419,0.752,0.736,0.818,0.714,0.562,0.441,0.766
RBF,1,0.0001,-0.9,1.0,-0.0,0.682,0.685,0.673,0.614,0.358,0.679,0.657,0.727,0.638,0.431,0.303,0.683,0.755,0.909,0.714,0.606,0.513,0.812
RBF,1,1e-05,-1.0,1.0,-0.0,0.679,0.685,0.667,0.611,0.352,0.676,0.653,0.727,0.633,0.427,0.298,0.68,0.755,0.909,0.714,0.606,0.513,0.812
RBF,5,0.1,-1.3,1.2,-0.1,0.937,0.88,0.994,0.933,0.879,0.937,0.789,0.091,0.971,0.152,0.129,0.531,0.792,0.091,0.976,0.154,0.143,0.534
RBF,5,0.01,-2.6,1.9,0.1,0.937,0.958,0.916,0.938,0.875,0.937,0.777,0.473,0.857,0.467,0.327,0.665,0.792,0.455,0.881,0.476,0.348,0.668
RBF,5,0.001,-3.2,3.1,0.1,0.861,0.868,0.855,0.862,0.723,0.861,0.777,0.618,0.819,0.538,0.402,0.719,0.792,0.636,0.833,0.56,0.432,0.735
RBF,5,0.0001,-1.5,1.1,-0.1,0.807,0.783,0.831,0.801,0.616,0.807,0.781,0.855,0.762,0.619,0.52,0.808,0.792,0.818,0.786,0.621,0.517,0.802
RBF,5,1e-05,-1.0,1.0,-0.0,0.679,0.685,0.667,0.611,0.352,0.676,0.653,0.727,0.633,0.427,0.298,0.68,0.755,0.909,0.714,0.606,0.513,0.812
RBF,10,0.1,-1.3,1.2,-0.1,0.937,0.88,0.994,0.933,0.879,0.937,0.789,0.091,0.971,0.152,0.129,0.531,0.792,0.091,0.976,0.154,0.143,0.534
RBF,10,0.01,-2.6,1.8,0.1,0.94,0.964,0.916,0.941,0.881,0.94,0.785,0.491,0.862,0.485,0.349,0.676,0.792,0.455,0.881,0.476,0.348,0.668
RBF,10,0.001,-4.1,3.7,0.0,0.883,0.916,0.849,0.886,0.768,0.883,0.736,0.618,0.767,0.494,0.338,0.692,0.736,0.636,0.762,0.5,0.346,0.699
RBF,10,0.0001,-2.0,1.5,-0.1,0.819,0.825,0.813,0.819,0.639,0.819,0.792,0.836,0.781,0.626,0.526,0.809,0.811,0.818,0.81,0.643,0.545,0.814
RBF,10,1e-05,-0.9,1.0,-0.0,0.679,0.685,0.667,0.611,0.352,0.676,0.653,0.727,0.633,0.427,0.298,0.68,0.755,0.909,0.714,0.606,0.513,0.812
