Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-3.3,4.7,0.2,0.964,0.952,0.976,0.963,0.93,0.964,0.755,0.255,0.886,0.301,0.164,0.57,0.736,0.182,0.881,0.222,0.075,0.531
poly,1,2,0.1,1,-4.2,3.9,0.3,0.961,0.964,0.958,0.961,0.924,0.961,0.811,0.382,0.924,0.456,0.359,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,2,0.1,2,-4.8,4.1,0.3,0.955,0.964,0.945,0.955,0.912,0.955,0.808,0.382,0.919,0.448,0.346,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,2,0.1,3,-5.1,4.2,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,2,0.1,4,-5.4,4.4,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,2,0.01,0,-1.4,5.0,-0.5,0.889,0.862,0.915,0.886,0.78,0.889,0.845,0.618,0.905,0.624,0.527,0.761,0.849,0.636,0.905,0.636,0.541,0.771
poly,1,2,0.01,1,-3.8,3.1,-0.1,0.882,0.952,0.813,0.891,0.775,0.882,0.758,0.745,0.762,0.562,0.434,0.754,0.755,0.727,0.762,0.552,0.419,0.745
poly,1,2,0.01,2,-4.9,4.4,-0.1,0.882,0.952,0.813,0.891,0.775,0.882,0.747,0.764,0.743,0.557,0.429,0.753,0.755,0.727,0.762,0.552,0.419,0.745
poly,1,2,0.01,3,-5.7,5.6,-0.2,0.891,0.976,0.807,0.901,0.798,0.891,0.717,0.727,0.714,0.519,0.372,0.721,0.755,0.727,0.762,0.552,0.419,0.745
poly,1,2,0.01,4,-6.2,6.6,-0.1,0.888,0.952,0.825,0.897,0.788,0.888,0.736,0.709,0.743,0.527,0.385,0.726,0.755,0.727,0.762,0.552,0.419,0.745
poly,1,2,0.001,0,-1.0,0.3,-0.2,0.527,0.248,0.8,0.222,0.117,0.524,0.706,0.345,0.8,0.279,0.222,0.573,0.811,0.091,1.0,0.167,0.271,0.545
poly,1,2,0.001,1,-1.8,2.4,-0.2,0.813,0.946,0.68,0.837,0.649,0.813,0.649,1.0,0.557,0.542,0.455,0.779,0.642,1.0,0.548,0.537,0.448,0.774
poly,1,2,0.001,2,-2.4,2.7,-0.1,0.837,0.928,0.746,0.852,0.687,0.837,0.725,0.909,0.676,0.579,0.478,0.793,0.717,0.909,0.667,0.571,0.469,0.788
poly,1,2,0.001,3,-2.7,3.0,-0.1,0.84,0.934,0.746,0.856,0.698,0.84,0.736,0.909,0.69,0.589,0.491,0.8,0.717,0.909,0.667,0.571,0.469,0.788
poly,1,2,0.001,4,-3.0,3.2,-0.4,0.843,0.988,0.698,0.866,0.719,0.843,0.63,0.927,0.552,0.513,0.392,0.74,0.642,0.818,0.595,0.486,0.335,0.707
poly,1,3,0.1,0,-5.3,10.7,0.1,0.949,0.976,0.922,0.951,0.9,0.949,0.83,0.745,0.852,0.645,0.545,0.799,0.811,0.636,0.857,0.583,0.465,0.747
poly,1,3,0.1,1,-3.8,7.1,0.3,0.967,0.958,0.976,0.966,0.936,0.967,0.815,0.382,0.929,0.462,0.37,0.655,0.811,0.273,0.952,0.375,0.312,0.613
poly,1,3,0.1,2,-4.0,4.9,0.2,0.961,0.964,0.958,0.961,0.924,0.961,0.796,0.436,0.89,0.465,0.344,0.663,0.792,0.364,0.905,0.421,0.304,0.634
poly,1,3,0.1,3,-4.3,4.5,0.3,0.958,0.958,0.958,0.958,0.918,0.958,0.796,0.4,0.9,0.444,0.329,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,3,0.1,4,-4.5,4.5,0.4,0.955,0.952,0.958,0.955,0.911,0.955,0.808,0.364,0.924,0.438,0.341,0.644,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,3,0.01,0,-1.4,10.7,-0.7,0.846,0.861,0.83,0.852,0.709,0.846,0.792,0.909,0.762,0.657,0.573,0.835,0.755,0.909,0.714,0.606,0.513,0.812
poly,1,3,0.01,1,-4.0,2.7,0.3,0.925,0.928,0.922,0.925,0.851,0.925,0.789,0.473,0.871,0.478,0.347,0.672,0.755,0.364,0.857,0.381,0.229,0.61
poly,1,3,0.01,2,-5.5,4.2,0.3,0.928,0.958,0.897,0.93,0.86,0.928,0.743,0.418,0.829,0.403,0.243,0.623,0.774,0.455,0.857,0.455,0.312,0.656
poly,1,3,0.01,3,-7.2,5.4,0.5,0.928,0.94,0.916,0.928,0.86,0.928,0.762,0.364,0.867,0.39,0.248,0.615,0.774,0.364,0.881,0.4,0.264,0.622
poly,1,3,0.01,4,-8.4,6.9,0.4,0.922,0.94,0.903,0.923,0.85,0.922,0.747,0.4,0.838,0.397,0.239,0.619,0.755,0.364,0.857,0.381,0.229,0.61
poly,1,3,0.001,0,-1.0,0.6,-0.1,0.509,0.212,0.8,0.158,0.05,0.506,0.679,0.218,0.8,0.102,0.054,0.509,0.792,0.0,1.0,0.0,0.0,0.5
poly,1,3,0.001,1,-2.2,2.7,0.2,0.837,0.783,0.891,0.829,0.679,0.837,0.845,0.909,0.829,0.709,0.639,0.869,0.849,0.909,0.833,0.714,0.645,0.871
poly,1,3,0.001,2,-3.5,3.5,-0.4,0.843,0.97,0.716,0.863,0.713,0.843,0.653,0.836,0.605,0.503,0.36,0.721,0.679,0.818,0.643,0.514,0.376,0.731
poly,1,3,0.001,3,-4.7,4.6,0.3,0.864,0.855,0.873,0.864,0.732,0.864,0.842,0.8,0.852,0.678,0.589,0.826,0.849,0.818,0.857,0.692,0.608,0.838
poly,1,3,0.001,4,-5.8,6.1,-0.1,0.864,0.928,0.801,0.874,0.739,0.864,0.743,0.8,0.729,0.565,0.443,0.764,0.774,0.818,0.762,0.6,0.491,0.79
poly,5,2,0.1,0,-3.3,4.7,0.2,0.964,0.952,0.976,0.963,0.93,0.964,0.755,0.255,0.886,0.301,0.164,0.57,0.736,0.182,0.881,0.222,0.075,0.531
poly,5,2,0.1,1,-4.2,3.9,0.3,0.961,0.964,0.958,0.961,0.924,0.961,0.811,0.382,0.924,0.456,0.359,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.1,2,-4.8,4.1,0.3,0.955,0.964,0.945,0.955,0.912,0.955,0.808,0.382,0.919,0.448,0.346,0.65,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.1,3,-5.1,4.2,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.1,4,-5.4,4.4,0.5,0.949,0.946,0.952,0.948,0.9,0.949,0.811,0.382,0.924,0.453,0.355,0.653,0.811,0.364,0.929,0.444,0.35,0.646
poly,5,2,0.01,0,-2.2,4.6,-0.1,0.919,0.88,0.958,0.915,0.843,0.919,0.781,0.382,0.886,0.42,0.29,0.634,0.774,0.455,0.857,0.455,0.312,0.656
poly,5,2,0.01,1,-5.4,4.0,0.5,0.928,0.934,0.921,0.928,0.859,0.928,0.789,0.436,0.881,0.46,0.333,0.659,0.755,0.364,0.857,0.381,0.229,0.61
poly,5,2,0.01,2,-7.5,6.3,-0.0,0.91,0.958,0.861,0.914,0.828,0.91,0.698,0.491,0.752,0.402,0.216,0.622,0.717,0.455,0.786,0.4,0.221,0.62
poly,5,2,0.01,3,-9.1,7.8,0.4,0.907,0.934,0.879,0.909,0.82,0.907,0.743,0.436,0.824,0.413,0.251,0.63,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.01,4,-10.4,9.2,0.4,0.907,0.934,0.879,0.909,0.821,0.907,0.728,0.4,0.814,0.375,0.205,0.607,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.001,0,-1.0,1.0,-0.9,0.678,0.988,0.367,0.76,0.452,0.677,0.472,0.909,0.357,0.424,0.236,0.633,0.396,0.909,0.262,0.385,0.166,0.585
