Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-6.3,7.3,0.1,0.952,0.952,0.952,0.952,0.904,0.952,0.834,0.6,0.895,0.596,0.493,0.748,0.811,0.545,0.881,0.545,0.426,0.713
poly,1,2,0.1,1,-3.0,3.5,0.3,0.952,0.952,0.952,0.951,0.904,0.952,0.849,0.582,0.919,0.609,0.52,0.75,0.868,0.545,0.952,0.632,0.564,0.749
poly,1,2,0.1,2,-3.4,3.5,0.2,0.952,0.964,0.94,0.952,0.904,0.952,0.819,0.582,0.881,0.566,0.455,0.731,0.83,0.545,0.905,0.571,0.467,0.725
poly,1,2,0.1,3,-3.9,3.9,0.3,0.946,0.958,0.934,0.946,0.892,0.946,0.804,0.545,0.871,0.533,0.41,0.708,0.811,0.545,0.881,0.545,0.426,0.713
poly,1,2,0.1,4,-4.3,4.4,0.2,0.94,0.964,0.916,0.942,0.881,0.94,0.777,0.545,0.838,0.501,0.364,0.692,0.811,0.545,0.881,0.545,0.426,0.713
poly,1,2,0.01,0,-1.4,3.2,-0.5,0.873,0.88,0.868,0.874,0.749,0.874,0.755,0.636,0.786,0.518,0.375,0.711,0.774,0.636,0.81,0.538,0.401,0.723
poly,1,2,0.01,1,-4.7,4.6,0.1,0.898,0.91,0.885,0.899,0.797,0.898,0.774,0.509,0.843,0.483,0.34,0.676,0.755,0.455,0.833,0.435,0.279,0.644
poly,1,2,0.01,2,-6.6,5.9,-0.1,0.898,0.952,0.843,0.904,0.8,0.898,0.687,0.527,0.729,0.411,0.222,0.628,0.679,0.545,0.714,0.414,0.222,0.63
poly,1,2,0.01,3,-7.4,6.6,0.1,0.904,0.94,0.867,0.907,0.81,0.904,0.725,0.473,0.79,0.415,0.242,0.632,0.698,0.364,0.786,0.333,0.141,0.575
poly,1,2,0.01,4,-8.8,7.5,-0.0,0.907,0.958,0.855,0.912,0.818,0.907,0.687,0.491,0.738,0.395,0.203,0.615,0.698,0.364,0.786,0.333,0.141,0.575
