activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.756,0.253,0.886,0.285,0.16,0.569,0.766,0.509,0.833,0.477,0.33,0.671,0.736,0.455,0.81,0.417,0.249,0.632
relu,"(25,)",0.01,0.756,0.258,0.886,0.293,0.16,0.572,0.781,0.527,0.848,0.502,0.364,0.687,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(25,)",0.001,0.799,0.306,0.928,0.379,0.286,0.617,0.785,0.527,0.852,0.508,0.374,0.69,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(25,)",0.0001,0.794,0.317,0.916,0.364,0.269,0.616,0.808,0.582,0.867,0.557,0.439,0.724,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,)",0.1,0.752,0.375,0.849,0.381,0.237,0.612,0.823,0.6,0.881,0.584,0.473,0.74,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,)",0.01,0.809,0.392,0.916,0.456,0.37,0.654,0.823,0.6,0.881,0.584,0.472,0.74,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(50,)",0.001,0.823,0.417,0.928,0.487,0.413,0.672,0.808,0.564,0.871,0.547,0.426,0.718,0.774,0.545,0.833,0.5,0.357,0.689
relu,"(50,)",0.0001,0.794,0.292,0.921,0.325,0.234,0.607,0.811,0.564,0.876,0.551,0.436,0.72,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(75,)",0.1,0.766,0.414,0.855,0.413,0.279,0.634,0.8,0.636,0.843,0.57,0.45,0.74,0.811,0.727,0.833,0.615,0.505,0.78
relu,"(75,)",0.01,0.799,0.322,0.922,0.383,0.315,0.622,0.792,0.545,0.857,0.521,0.389,0.701,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,)",0.001,0.809,0.347,0.927,0.43,0.361,0.637,0.811,0.545,0.881,0.544,0.426,0.713,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(75,)",0.0001,0.818,0.392,0.927,0.464,0.384,0.66,0.838,0.6,0.9,0.606,0.507,0.75,0.925,0.727,0.976,0.8,0.76,0.852
relu,"(100,)",0.1,0.799,0.417,0.898,0.462,0.36,0.657,0.777,0.509,0.848,0.486,0.346,0.678,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(100,)",0.01,0.799,0.35,0.916,0.419,0.316,0.633,0.796,0.491,0.876,0.498,0.371,0.684,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(100,)",0.001,0.804,0.35,0.921,0.425,0.335,0.636,0.792,0.545,0.857,0.52,0.39,0.701,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(100,)",0.0001,0.78,0.278,0.91,0.329,0.225,0.594,0.823,0.564,0.89,0.568,0.457,0.727,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(125,)",0.1,0.78,0.417,0.873,0.436,0.311,0.645,0.766,0.527,0.829,0.485,0.337,0.678,0.736,0.455,0.81,0.417,0.249,0.632
relu,"(125,)",0.01,0.78,0.303,0.903,0.358,0.247,0.603,0.811,0.564,0.876,0.552,0.434,0.72,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(125,)",0.001,0.79,0.278,0.921,0.332,0.245,0.6,0.83,0.564,0.9,0.577,0.473,0.732,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(125,)",0.0001,0.818,0.325,0.945,0.416,0.36,0.635,0.811,0.527,0.886,0.537,0.42,0.706,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(150,)",0.1,0.78,0.439,0.867,0.443,0.32,0.653,0.781,0.509,0.852,0.493,0.354,0.681,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(150,)",0.01,0.79,0.303,0.916,0.37,0.276,0.609,0.808,0.509,0.886,0.522,0.403,0.697,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(150,)",0.001,0.814,0.325,0.94,0.409,0.343,0.632,0.823,0.527,0.9,0.55,0.442,0.714,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(150,)",0.0001,0.823,0.394,0.934,0.47,0.39,0.664,0.823,0.545,0.895,0.562,0.453,0.72,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(175,)",0.1,0.756,0.414,0.843,0.406,0.271,0.629,0.777,0.527,0.843,0.49,0.353,0.685,0.774,0.636,0.81,0.538,0.401,0.723
relu,"(175,)",0.01,0.809,0.394,0.916,0.462,0.372,0.655,0.796,0.545,0.862,0.526,0.397,0.704,0.792,0.636,0.833,0.56,0.432,0.735
relu,"(175,)",0.001,0.785,0.372,0.891,0.417,0.301,0.632,0.808,0.491,0.89,0.516,0.397,0.691,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(175,)",0.0001,0.799,0.347,0.915,0.41,0.329,0.631,0.815,0.545,0.886,0.551,0.435,0.716,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(200,)",0.1,0.766,0.367,0.868,0.382,0.256,0.617,0.796,0.6,0.848,0.551,0.425,0.724,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(200,)",0.01,0.78,0.325,0.898,0.372,0.256,0.611,0.792,0.545,0.857,0.52,0.389,0.701,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(200,)",0.001,0.799,0.328,0.922,0.401,0.312,0.625,0.823,0.545,0.895,0.56,0.45,0.72,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(200,)",0.0001,0.814,0.372,0.927,0.439,0.359,0.65,0.834,0.545,0.91,0.575,0.475,0.727,0.811,0.545,0.881,0.545,0.426,0.713
relu,"(225,)",0.1,0.77,0.414,0.861,0.421,0.281,0.638,0.792,0.6,0.843,0.545,0.416,0.721,0.792,0.727,0.81,0.593,0.474,0.768
