activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.77,0.35,0.88,0.375,0.247,0.615,0.725,0.345,0.824,0.344,0.172,0.585,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(25,)",0.01,0.79,0.331,0.91,0.378,0.287,0.62,0.774,0.236,0.914,0.301,0.188,0.575,0.717,0.182,0.857,0.211,0.044,0.519
relu,"(25,)",0.001,0.804,0.353,0.922,0.412,0.319,0.637,0.789,0.273,0.924,0.336,0.234,0.598,0.717,0.182,0.857,0.211,0.044,0.519
relu,"(25,)",0.0001,0.818,0.306,0.952,0.393,0.332,0.629,0.785,0.255,0.924,0.32,0.222,0.589,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(50,)",0.1,0.761,0.35,0.868,0.362,0.233,0.609,0.762,0.364,0.867,0.391,0.248,0.615,0.717,0.364,0.81,0.348,0.168,0.587
relu,"(50,)",0.01,0.775,0.328,0.892,0.372,0.258,0.61,0.792,0.345,0.91,0.409,0.3,0.627,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(50,)",0.001,0.794,0.303,0.922,0.377,0.281,0.612,0.789,0.327,0.91,0.388,0.279,0.618,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(50,)",0.0001,0.813,0.353,0.934,0.423,0.343,0.643,0.819,0.364,0.938,0.447,0.369,0.651,0.849,0.364,0.976,0.5,0.471,0.67
relu,"(75,)",0.1,0.746,0.372,0.844,0.367,0.22,0.608,0.751,0.418,0.838,0.411,0.256,0.628,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(75,)",0.01,0.79,0.378,0.898,0.413,0.305,0.638,0.77,0.291,0.895,0.345,0.222,0.593,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(75,)",0.001,0.794,0.353,0.91,0.408,0.307,0.631,0.792,0.309,0.919,0.381,0.28,0.614,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(75,)",0.0001,0.808,0.4,0.916,0.453,0.353,0.658,0.792,0.327,0.914,0.4,0.298,0.621,0.849,0.364,0.976,0.5,0.471,0.67
relu,"(100,)",0.1,0.741,0.347,0.843,0.343,0.188,0.595,0.777,0.4,0.876,0.411,0.279,0.638,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(100,)",0.01,0.77,0.328,0.886,0.365,0.236,0.607,0.796,0.345,0.914,0.409,0.303,0.63,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(100,)",0.001,0.78,0.306,0.904,0.354,0.237,0.605,0.808,0.327,0.933,0.409,0.32,0.63,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(100,)",0.0001,0.789,0.308,0.916,0.355,0.256,0.612,0.8,0.291,0.933,0.371,0.287,0.612,0.849,0.364,0.976,0.5,0.471,0.67
relu,"(125,)",0.1,0.746,0.375,0.843,0.373,0.219,0.609,0.762,0.4,0.857,0.409,0.262,0.629,0.755,0.455,0.833,0.435,0.279,0.644
relu,"(125,)",0.01,0.78,0.328,0.898,0.374,0.269,0.613,0.8,0.382,0.91,0.438,0.327,0.646,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(125,)",0.001,0.79,0.353,0.904,0.402,0.303,0.629,0.804,0.345,0.924,0.416,0.32,0.635,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(125,)",0.0001,0.804,0.328,0.928,0.404,0.315,0.628,0.811,0.327,0.938,0.42,0.341,0.633,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(150,)",0.1,0.737,0.375,0.832,0.363,0.208,0.603,0.736,0.4,0.824,0.387,0.221,0.612,0.679,0.364,0.762,0.32,0.115,0.563
relu,"(150,)",0.01,0.775,0.325,0.892,0.363,0.244,0.609,0.804,0.364,0.919,0.428,0.324,0.641,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(150,)",0.001,0.79,0.303,0.916,0.356,0.266,0.609,0.815,0.364,0.933,0.446,0.358,0.648,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(150,)",0.0001,0.789,0.278,0.922,0.347,0.257,0.6,0.819,0.364,0.938,0.454,0.37,0.651,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(175,)",0.1,0.766,0.375,0.868,0.389,0.25,0.621,0.785,0.382,0.89,0.423,0.298,0.636,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(175,)",0.01,0.789,0.35,0.904,0.399,0.286,0.627,0.8,0.4,0.905,0.451,0.338,0.652,0.774,0.364,0.881,0.4,0.264,0.622
relu,"(175,)",0.001,0.794,0.306,0.922,0.37,0.278,0.614,0.792,0.309,0.919,0.38,0.275,0.614,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(175,)",0.0001,0.804,0.328,0.928,0.395,0.311,0.628,0.811,0.291,0.948,0.384,0.318,0.619,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(200,)",0.1,0.766,0.4,0.862,0.398,0.268,0.631,0.781,0.345,0.895,0.394,0.274,0.62,0.792,0.545,0.857,0.522,0.39,0.701
relu,"(200,)",0.01,0.79,0.375,0.898,0.417,0.304,0.637,0.8,0.382,0.91,0.439,0.327,0.646,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(200,)",0.001,0.799,0.278,0.934,0.362,0.292,0.606,0.804,0.327,0.929,0.412,0.319,0.628,0.83,0.364,0.952,0.471,0.404,0.658
relu,"(200,)",0.0001,0.813,0.303,0.946,0.392,0.34,0.624,0.796,0.291,0.929,0.371,0.279,0.61,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(225,)",0.1,0.751,0.325,0.862,0.312,0.168,0.593,0.781,0.418,0.876,0.447,0.316,0.647,0.774,1.0,0.714,0.647,0.584,0.857
relu,"(225,)",0.01,0.794,0.328,0.916,0.388,0.289,0.622,0.808,0.4,0.914,0.466,0.363,0.657,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(225,)",0.001,0.794,0.328,0.916,0.39,0.294,0.622,0.815,0.345,0.938,0.43,0.349,0.642,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(225,)",0.0001,0.804,0.328,0.928,0.4,0.314,0.628,0.811,0.291,0.948,0.388,0.317,0.619,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(250,)",0.1,0.756,0.422,0.843,0.409,0.262,0.633,0.766,0.4,0.862,0.416,0.272,0.631,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,)",0.01,0.77,0.3,0.892,0.34,0.216,0.596,0.8,0.364,0.914,0.43,0.322,0.639,0.792,0.455,0.881,0.476,0.348,0.668
relu,"(250,)",0.001,0.78,0.303,0.904,0.359,0.242,0.603,0.804,0.327,0.929,0.406,0.311,0.628,0.849,0.455,0.952,0.556,0.487,0.703
relu,"(250,)",0.0001,0.785,0.281,0.916,0.345,0.24,0.598,0.811,0.327,0.938,0.417,0.333,0.633,0.811,0.364,0.929,0.444,0.35,0.646
relu,"(275,)",0.1,0.741,0.325,0.85,0.317,0.166,0.587,0.785,0.418,0.881,0.444,0.313,0.65,0.717,0.545,0.762,0.444,0.272,0.654
relu,"(275,)",0.01,0.785,0.328,0.904,0.382,0.27,0.616,0.8,0.4,0.905,0.451,0.337,0.652,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(275,)",0.001,0.785,0.303,0.91,0.364,0.252,0.606,0.815,0.345,0.938,0.435,0.352,0.642,0.83,0.455,0.929,0.526,0.434,0.692
relu,"(275,)",0.0001,0.789,0.325,0.91,0.386,0.274,0.617,0.811,0.345,0.933,0.431,0.343,0.639,0.792,0.273,0.929,0.353,0.258,0.601
relu,"(300,)",0.1,0.727,0.325,0.832,0.311,0.147,0.578,0.743,0.4,0.833,0.392,0.229,0.617,0.755,0.545,0.81,0.48,0.327,0.677
relu,"(300,)",0.01,0.775,0.303,0.898,0.355,0.236,0.6,0.766,0.327,0.881,0.367,0.229,0.604,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(300,)",0.001,0.775,0.281,0.904,0.337,0.224,0.592,0.804,0.309,0.933,0.395,0.307,0.621,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(300,)",0.0001,0.789,0.281,0.922,0.352,0.25,0.601,0.804,0.291,0.938,0.379,0.296,0.615,0.811,0.273,0.952,0.375,0.312,0.613
relu,"(25,5)",0.1,0.756,0.347,0.861,0.363,0.216,0.604,0.747,0.345,0.852,0.36,0.208,0.599,0.566,0.545,0.571,0.343,0.095,0.558
relu,"(25,5)",0.01,0.761,0.325,0.874,0.346,0.214,0.599,0.747,0.4,0.838,0.395,0.236,0.619,0.774,0.273,0.905,0.333,0.213,0.589
relu,"(25,5)",0.001,0.77,0.375,0.874,0.391,0.257,0.624,0.777,0.418,0.871,0.437,0.301,0.645,0.792,0.364,0.905,0.421,0.304,0.634
relu,"(25,5)",0.0001,0.785,0.325,0.904,0.382,0.266,0.614,0.789,0.418,0.886,0.449,0.321,0.652,0.811,0.455,0.905,0.5,0.388,0.68
