activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.751,0.389,0.843,0.382,0.232,0.616,0.808,0.855,0.795,0.65,0.561,0.825,0.868,0.909,0.857,0.741,0.677,0.883
relu,"(25,)",0.01,0.775,0.372,0.879,0.397,0.27,0.626,0.853,0.8,0.867,0.69,0.614,0.833,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,)",0.001,0.771,0.328,0.885,0.348,0.218,0.607,0.838,0.745,0.862,0.653,0.561,0.804,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(25,)",0.0001,0.766,0.283,0.891,0.321,0.191,0.587,0.849,0.782,0.867,0.686,0.599,0.824,0.906,0.909,0.905,0.8,0.749,0.907
relu,"(50,)",0.1,0.78,0.483,0.855,0.466,0.336,0.669,0.838,0.836,0.838,0.671,0.596,0.837,0.811,0.818,0.81,0.643,0.545,0.814
relu,"(50,)",0.01,0.785,0.436,0.873,0.445,0.32,0.655,0.849,0.745,0.876,0.655,0.579,0.811,0.887,0.909,0.881,0.769,0.711,0.895
relu,"(50,)",0.001,0.79,0.389,0.891,0.42,0.309,0.64,0.834,0.655,0.881,0.602,0.508,0.768,0.849,0.727,0.881,0.667,0.573,0.804
relu,"(50,)",0.0001,0.804,0.389,0.909,0.436,0.344,0.649,0.838,0.6,0.9,0.595,0.509,0.75,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(75,)",0.1,0.775,0.392,0.873,0.415,0.286,0.632,0.834,0.818,0.838,0.674,0.589,0.828,0.792,0.727,0.81,0.593,0.474,0.768
relu,"(75,)",0.01,0.794,0.392,0.897,0.432,0.316,0.644,0.83,0.709,0.862,0.627,0.532,0.785,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(75,)",0.001,0.79,0.347,0.903,0.399,0.286,0.625,0.83,0.655,0.876,0.604,0.506,0.765,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(75,)",0.0001,0.789,0.347,0.903,0.397,0.284,0.625,0.842,0.691,0.881,0.635,0.545,0.786,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(100,)",0.1,0.766,0.508,0.831,0.468,0.324,0.67,0.842,0.927,0.819,0.71,0.649,0.873,0.849,0.909,0.833,0.714,0.645,0.871
relu,"(100,)",0.01,0.785,0.389,0.885,0.417,0.299,0.637,0.838,0.727,0.867,0.643,0.554,0.797,0.906,0.909,0.905,0.8,0.749,0.907
