activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.8,0.422,0.898,0.453,0.339,0.66,0.811,0.764,0.824,0.626,0.522,0.794,0.83,0.909,0.81,0.69,0.615,0.859
relu,"(25,)",0.01,0.799,0.422,0.898,0.448,0.336,0.66,0.804,0.691,0.833,0.585,0.475,0.762,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(25,)",0.001,0.78,0.4,0.88,0.417,0.287,0.64,0.83,0.709,0.862,0.628,0.53,0.785,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(25,)",0.0001,0.795,0.375,0.903,0.417,0.303,0.639,0.83,0.6,0.89,0.583,0.485,0.745,0.868,0.636,0.929,0.667,0.586,0.782
relu,"(50,)",0.1,0.785,0.4,0.885,0.442,0.324,0.643,0.819,0.709,0.848,0.619,0.512,0.778,0.906,0.727,0.952,0.762,0.704,0.84
relu,"(50,)",0.01,0.776,0.353,0.886,0.389,0.257,0.619,0.842,0.636,0.895,0.626,0.528,0.766,0.83,0.636,0.881,0.609,0.501,0.759
relu,"(50,)",0.001,0.78,0.378,0.886,0.394,0.267,0.632,0.838,0.564,0.91,0.575,0.488,0.737,0.83,0.545,0.905,0.571,0.467,0.725
relu,"(50,)",0.0001,0.785,0.375,0.891,0.421,0.294,0.633,0.823,0.527,0.9,0.541,0.443,0.714,0.811,0.455,0.905,0.5,0.388,0.68
relu,"(75,)",0.1,0.756,0.422,0.843,0.412,0.274,0.632,0.842,0.691,0.881,0.645,0.546,0.786,0.83,0.727,0.857,0.64,0.538,0.792
relu,"(75,)",0.01,0.804,0.4,0.909,0.447,0.339,0.655,0.879,0.764,0.91,0.725,0.652,0.837,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(75,)",0.001,0.79,0.331,0.909,0.38,0.269,0.62,0.872,0.709,0.914,0.692,0.614,0.812,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(75,)",0.0001,0.799,0.331,0.922,0.394,0.293,0.626,0.857,0.709,0.895,0.664,0.579,0.802,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(100,)",0.1,0.776,0.422,0.867,0.431,0.294,0.645,0.83,0.818,0.833,0.664,0.577,0.826,0.736,0.364,0.833,0.364,0.197,0.598
relu,"(100,)",0.01,0.804,0.4,0.909,0.452,0.343,0.655,0.86,0.818,0.871,0.706,0.629,0.845,0.83,0.818,0.833,0.667,0.576,0.826
relu,"(100,)",0.001,0.8,0.375,0.91,0.433,0.321,0.642,0.853,0.764,0.876,0.681,0.594,0.82,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(100,)",0.0001,0.799,0.325,0.922,0.4,0.302,0.623,0.864,0.782,0.886,0.701,0.623,0.834,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(125,)",0.1,0.785,0.4,0.885,0.433,0.308,0.643,0.823,0.782,0.833,0.646,0.551,0.808,0.849,0.636,0.905,0.636,0.541,0.771
relu,"(125,)",0.01,0.785,0.422,0.88,0.442,0.311,0.651,0.868,0.818,0.881,0.719,0.644,0.85,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(125,)",0.001,0.804,0.4,0.91,0.445,0.337,0.655,0.86,0.782,0.881,0.697,0.616,0.831,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(125,)",0.0001,0.804,0.4,0.909,0.449,0.344,0.655,0.857,0.745,0.886,0.679,0.595,0.816,0.868,0.818,0.881,0.72,0.643,0.85
relu,"(150,)",0.1,0.785,0.422,0.879,0.438,0.309,0.651,0.845,0.782,0.862,0.676,0.588,0.822,0.792,1.0,0.738,0.667,0.607,0.869
relu,"(150,)",0.01,0.776,0.4,0.873,0.412,0.278,0.637,0.864,0.818,0.876,0.711,0.636,0.847,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(150,)",0.001,0.795,0.375,0.903,0.424,0.315,0.639,0.868,0.764,0.895,0.704,0.625,0.829,0.887,0.818,0.905,0.75,0.681,0.861
relu,"(150,)",0.0001,0.804,0.35,0.921,0.424,0.329,0.636,0.857,0.764,0.881,0.687,0.602,0.822,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(175,)",0.1,0.771,0.422,0.861,0.427,0.287,0.642,0.864,0.818,0.876,0.712,0.636,0.847,0.849,0.818,0.857,0.692,0.608,0.838
relu,"(175,)",0.01,0.78,0.378,0.885,0.403,0.278,0.631,0.872,0.782,0.895,0.715,0.64,0.839,0.811,0.636,0.857,0.583,0.465,0.747
relu,"(175,)",0.001,0.799,0.378,0.909,0.42,0.314,0.644,0.872,0.764,0.9,0.709,0.633,0.832,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(175,)",0.0001,0.804,0.306,0.934,0.383,0.297,0.62,0.849,0.673,0.895,0.646,0.553,0.784,0.868,0.727,0.905,0.696,0.612,0.816
relu,"(200,)",0.1,0.761,0.4,0.855,0.404,0.258,0.628,0.83,0.727,0.857,0.641,0.542,0.792,0.849,0.909,0.833,0.714,0.645,0.871
