n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.785,0.0,0.988,0.0,-0.033,0.494,0.819,0.127,1.0,0.218,0.286,0.564,0.811,0.091,1.0,0.167,0.271,0.545
200,None,0.5,0.79,0.044,0.982,0.07,0.047,0.513,0.826,0.164,1.0,0.266,0.323,0.582,0.792,0.0,1.0,0.0,0.0,0.5
200,None,0.75,0.789,0.044,0.982,0.073,0.047,0.513,0.811,0.127,0.99,0.211,0.268,0.559,0.83,0.182,1.0,0.308,0.387,0.591
200,None,None,0.785,0.044,0.976,0.07,0.032,0.51,0.823,0.145,1.0,0.24,0.328,0.573,0.811,0.091,1.0,0.167,0.271,0.545
400,None,0.25,0.785,0.022,0.982,0.036,-0.001,0.502,0.815,0.109,1.0,0.19,0.263,0.555,0.811,0.091,1.0,0.167,0.271,0.545
400,None,0.5,0.785,0.022,0.982,0.033,-0.0,0.502,0.823,0.145,1.0,0.251,0.341,0.573,0.83,0.182,1.0,0.308,0.387,0.591
400,None,0.75,0.785,0.044,0.976,0.07,0.032,0.51,0.819,0.127,1.0,0.219,0.313,0.564,0.811,0.091,1.0,0.167,0.271,0.545
400,None,None,0.785,0.044,0.976,0.07,0.032,0.51,0.826,0.164,1.0,0.268,0.352,0.582,0.811,0.091,1.0,0.167,0.271,0.545
600,None,0.25,0.78,0.0,0.982,0.0,-0.048,0.491,0.811,0.091,1.0,0.162,0.24,0.545,0.811,0.091,1.0,0.167,0.271,0.545
600,None,0.5,0.785,0.022,0.982,0.033,-0.0,0.502,0.819,0.127,1.0,0.214,0.282,0.564,0.811,0.091,1.0,0.167,0.271,0.545
600,None,0.75,0.785,0.044,0.976,0.07,0.032,0.51,0.815,0.109,1.0,0.195,0.294,0.555,0.811,0.091,1.0,0.167,0.271,0.545
600,None,None,0.785,0.044,0.976,0.07,0.032,0.51,0.819,0.127,1.0,0.214,0.282,0.564,0.811,0.091,1.0,0.167,0.271,0.545
800,None,0.25,0.794,0.022,0.994,0.036,0.031,0.508,0.815,0.109,1.0,0.19,0.263,0.555,0.811,0.091,1.0,0.167,0.271,0.545
800,None,0.5,0.785,0.022,0.982,0.033,-0.0,0.502,0.823,0.145,1.0,0.247,0.336,0.573,0.83,0.182,1.0,0.308,0.387,0.591
800,None,0.75,0.785,0.044,0.976,0.07,0.032,0.51,0.815,0.109,1.0,0.19,0.263,0.555,0.849,0.273,1.0,0.429,0.479,0.636
800,None,None,0.79,0.044,0.982,0.07,0.047,0.513,0.823,0.145,1.0,0.235,0.297,0.573,0.849,0.273,1.0,0.429,0.479,0.636
1000,None,0.25,0.789,0.022,0.988,0.036,0.016,0.505,0.815,0.109,1.0,0.19,0.263,0.555,0.811,0.091,1.0,0.167,0.271,0.545
1000,None,0.5,0.785,0.022,0.982,0.033,-0.0,0.502,0.823,0.145,1.0,0.247,0.336,0.573,0.849,0.273,1.0,0.429,0.479,0.636
1000,None,0.75,0.785,0.044,0.976,0.07,0.032,0.51,0.819,0.127,1.0,0.223,0.317,0.564,0.849,0.273,1.0,0.429,0.479,0.636
1000,None,None,0.79,0.044,0.982,0.07,0.047,0.513,0.819,0.127,1.0,0.214,0.282,0.564,0.849,0.273,1.0,0.429,0.479,0.636
