Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-1.2,-0.2,-0.5,0.636,0.747,0.608,0.471,0.297,0.678,0.679,0.891,0.624,0.536,0.419,0.757,0.66,0.909,0.595,0.526,0.409,0.752
RBF,1,0.01,-1.7,1.6,0.7,0.837,0.256,0.988,0.392,0.412,0.622,0.819,0.273,0.962,0.379,0.345,0.617,0.83,0.364,0.952,0.471,0.404,0.658
RBF,1,0.001,-1.1,0.5,-0.0,0.852,0.303,0.994,0.444,0.472,0.648,0.872,0.418,0.99,0.571,0.574,0.704,0.887,0.545,0.976,0.667,0.625,0.761
RBF,1,0.0001,-1.0,0.9,-0.9,0.591,0.614,0.591,0.418,0.229,0.603,0.675,0.818,0.638,0.563,0.437,0.728,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,1.0,-1.0,0.21,1.0,0.006,0.342,0.016,0.503,0.219,1.0,0.014,0.347,0.043,0.507,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-1.2,-0.2,-0.5,0.636,0.747,0.608,0.471,0.297,0.678,0.683,0.891,0.629,0.539,0.422,0.76,0.66,0.909,0.595,0.526,0.409,0.752
RBF,5,0.01,-2.4,1.9,0.2,0.794,0.417,0.892,0.447,0.332,0.654,0.785,0.491,0.862,0.488,0.353,0.676,0.792,0.545,0.857,0.522,0.39,0.701
RBF,5,0.001,-1.7,1.9,0.5,0.847,0.303,0.988,0.442,0.455,0.645,0.853,0.4,0.971,0.522,0.487,0.686,0.849,0.455,0.952,0.556,0.487,0.703
RBF,5,0.0001,-0.9,0.8,0.3,0.78,0.289,0.903,0.27,0.259,0.596,0.777,0.327,0.895,0.302,0.323,0.611,0.868,0.545,0.952,0.632,0.564,0.749
RBF,5,1e-05,-1.0,1.0,-0.0,0.456,0.625,0.4,0.256,0.064,0.512,0.46,0.709,0.395,0.34,0.125,0.552,0.208,1.0,0.0,0.344,0.0,0.5
RBF,10,0.1,-1.2,-0.2,-0.5,0.636,0.747,0.608,0.471,0.297,0.678,0.683,0.891,0.629,0.539,0.422,0.76,0.66,0.909,0.595,0.526,0.409,0.752
RBF,10,0.01,-3.0,2.1,0.0,0.766,0.464,0.844,0.442,0.305,0.654,0.74,0.527,0.795,0.457,0.295,0.661,0.792,0.727,0.81,0.593,0.474,0.768
RBF,10,0.001,-2.3,2.1,0.8,0.833,0.256,0.982,0.386,0.396,0.619,0.826,0.327,0.957,0.433,0.38,0.642,0.792,0.364,0.905,0.421,0.304,0.634
RBF,10,0.0001,-1.0,0.5,0.1,0.852,0.278,1.0,0.422,0.474,0.639,0.864,0.418,0.981,0.558,0.54,0.7,0.887,0.545,0.976,0.667,0.625,0.761
RBF,10,1e-05,-1.0,1.0,0.9,0.809,0.089,0.994,0.114,0.105,0.541,0.819,0.164,0.99,0.221,0.244,0.577,0.868,0.364,1.0,0.533,0.558,0.682
