Kernel,C,gamma,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
RBF,1,0.1,-2.1,0.9,-0.1,0.775,0.578,0.825,0.495,0.362,0.702,0.743,0.582,0.786,0.481,0.327,0.684,0.774,0.636,0.81,0.538,0.401,0.723
RBF,1,0.01,-1.5,1.8,0.9,0.828,0.158,1.0,0.257,0.316,0.579,0.777,0.0,0.981,0.0,-0.057,0.49,0.774,0.0,0.976,0.0,-0.071,0.488
RBF,1,0.001,-1.0,0.4,-0.1,0.828,0.203,0.988,0.298,0.316,0.595,0.774,0.091,0.952,0.143,0.084,0.522,0.774,0.091,0.952,0.143,0.076,0.522
RBF,1,0.0001,-1.0,-0.0,-0.9,0.663,0.494,0.709,0.387,0.23,0.602,0.679,0.509,0.724,0.401,0.258,0.616,0.208,1.0,0.0,0.344,0.0,0.5
RBF,1,1e-05,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
RBF,5,0.1,-2.5,1.5,-0.4,0.712,0.675,0.723,0.487,0.334,0.699,0.664,0.527,0.7,0.391,0.194,0.614,0.679,0.545,0.714,0.414,0.222,0.63
RBF,5,0.01,-2.6,2.2,0.5,0.837,0.322,0.97,0.44,0.425,0.646,0.755,0.236,0.89,0.279,0.144,0.563,0.774,0.273,0.905,0.333,0.213,0.589
RBF,5,0.001,-1.5,2.0,0.2,0.823,0.228,0.976,0.324,0.316,0.602,0.781,0.2,0.933,0.27,0.18,0.567,0.774,0.182,0.929,0.25,0.153,0.555
RBF,5,0.0001,-0.8,0.7,0.5,0.818,0.111,1.0,0.185,0.231,0.556,0.789,0.018,0.99,0.031,0.014,0.504,0.792,0.091,0.976,0.154,0.143,0.534
RBF,5,1e-05,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
RBF,10,0.1,-2.7,1.5,0.2,0.808,0.211,0.964,0.302,0.305,0.588,0.789,0.145,0.957,0.211,0.16,0.551,0.792,0.182,0.952,0.267,0.206,0.567
RBF,10,0.01,-3.1,2.5,0.7,0.837,0.322,0.97,0.44,0.425,0.646,0.766,0.255,0.9,0.315,0.191,0.577,0.792,0.364,0.905,0.421,0.304,0.634
RBF,10,0.001,-2.0,3.2,0.4,0.828,0.25,0.976,0.347,0.34,0.613,0.762,0.145,0.924,0.198,0.094,0.535,0.736,0.182,0.881,0.222,0.075,0.531
RBF,10,0.0001,-1.1,0.5,-0.0,0.828,0.181,0.994,0.282,0.32,0.587,0.789,0.091,0.971,0.152,0.129,0.531,0.774,0.091,0.952,0.143,0.076,0.522
RBF,10,1e-05,-1.0,0.9,0.9,0.818,0.111,1.0,0.185,0.231,0.556,0.789,0.018,0.99,0.031,0.014,0.504,0.792,0.091,0.976,0.154,0.143,0.534
