Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-6.8,9.4,-0.8,0.636,0.858,0.579,0.502,0.36,0.719,0.494,0.8,0.414,0.397,0.18,0.607,0.509,0.818,0.429,0.409,0.206,0.623
poly,1,2,0.1,1,-8.7,6.0,-0.0,0.818,0.533,0.892,0.508,0.411,0.712,0.762,0.455,0.843,0.434,0.286,0.649,0.792,0.545,0.857,0.522,0.39,0.701
poly,1,2,0.1,2,-9.6,6.2,0.2,0.822,0.508,0.904,0.506,0.418,0.706,0.755,0.345,0.862,0.359,0.21,0.604,0.792,0.545,0.857,0.522,0.39,0.701
poly,1,2,0.1,3,-10.6,6.1,0.3,0.823,0.461,0.916,0.483,0.399,0.688,0.751,0.309,0.867,0.323,0.174,0.588,0.811,0.545,0.881,0.545,0.426,0.713
poly,1,2,0.1,4,-11.3,6.1,0.2,0.808,0.508,0.886,0.486,0.389,0.697,0.762,0.4,0.857,0.396,0.251,0.629,0.792,0.545,0.857,0.522,0.39,0.701
poly,1,2,0.01,0,-1.1,1.5,-0.5,0.833,0.206,0.994,0.328,0.382,0.6,0.789,0.073,0.976,0.123,0.1,0.524,0.792,0.091,0.976,0.154,0.143,0.534
poly,1,2,0.01,1,-2.3,3.0,0.4,0.828,0.25,0.976,0.347,0.34,0.613,0.762,0.127,0.929,0.173,0.07,0.528,0.755,0.182,0.905,0.235,0.111,0.543
poly,1,2,0.01,2,-3.1,4.3,0.8,0.823,0.225,0.976,0.311,0.3,0.6,0.766,0.109,0.938,0.161,0.082,0.524,0.755,0.091,0.929,0.133,0.03,0.51
poly,1,2,0.01,3,-4.0,5.3,0.5,0.809,0.25,0.952,0.333,0.309,0.601,0.762,0.291,0.886,0.332,0.202,0.588,0.755,0.273,0.881,0.316,0.174,0.577
poly,1,2,0.01,4,-4.5,6.6,0.9,0.828,0.25,0.976,0.356,0.364,0.613,0.755,0.145,0.914,0.186,0.069,0.53,0.774,0.273,0.905,0.333,0.213,0.589
poly,1,2,0.001,0,-1.0,0.9,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
poly,1,2,0.001,1,-1.2,0.4,-0.4,0.752,0.486,0.819,0.446,0.308,0.653,0.747,0.564,0.795,0.464,0.331,0.679,0.792,0.636,0.833,0.56,0.432,0.735
poly,1,2,0.001,2,-1.6,0.9,-0.1,0.828,0.25,0.976,0.346,0.328,0.613,0.777,0.164,0.938,0.229,0.145,0.551,0.792,0.273,0.929,0.353,0.258,0.601
poly,1,2,0.001,3,-1.8,1.5,0.1,0.832,0.228,0.988,0.334,0.344,0.608,0.781,0.164,0.943,0.231,0.154,0.553,0.792,0.273,0.929,0.353,0.258,0.601
poly,1,2,0.001,4,-1.9,1.8,0.6,0.828,0.158,1.0,0.263,0.321,0.579,0.777,0.055,0.967,0.088,0.039,0.511,0.774,0.091,0.952,0.143,0.076,0.522
poly,1,3,0.1,0,-11.0,15.3,0.4,0.823,0.231,0.976,0.301,0.277,0.603,0.77,0.109,0.943,0.153,0.061,0.526,0.736,0.0,0.929,0.0,-0.125,0.464
poly,1,3,0.1,1,-8.9,5.3,0.8,0.842,0.347,0.97,0.442,0.418,0.659,0.774,0.127,0.943,0.17,0.08,0.535,0.792,0.182,0.952,0.267,0.206,0.567
poly,1,3,0.1,2,-11.5,6.5,1.3,0.837,0.306,0.976,0.404,0.394,0.641,0.77,0.109,0.943,0.15,0.06,0.526,0.774,0.182,0.929,0.25,0.153,0.555
poly,1,3,0.1,3,-14.2,7.2,2.2,0.847,0.283,0.994,0.403,0.446,0.639,0.785,0.073,0.971,0.115,0.076,0.522,0.792,0.091,0.976,0.154,0.143,0.534
poly,1,3,0.1,4,-15.0,8.2,1.7,0.842,0.306,0.982,0.417,0.422,0.644,0.774,0.109,0.948,0.153,0.068,0.528,0.792,0.273,0.929,0.353,0.258,0.601
poly,1,3,0.01,0,-1.1,1.9,-0.9,0.828,0.228,0.982,0.346,0.374,0.605,0.789,0.145,0.957,0.217,0.159,0.551,0.792,0.182,0.952,0.267,0.206,0.567
poly,1,3,0.01,1,-3.1,3.2,0.3,0.823,0.25,0.97,0.342,0.311,0.61,0.777,0.255,0.914,0.321,0.215,0.584,0.792,0.273,0.929,0.353,0.258,0.601
poly,1,3,0.01,2,-5.5,5.1,0.7,0.823,0.256,0.97,0.365,0.35,0.613,0.766,0.236,0.905,0.294,0.173,0.571,0.774,0.273,0.905,0.333,0.213,0.589
poly,1,3,0.01,3,-7.3,4.6,0.7,0.833,0.3,0.97,0.414,0.402,0.635,0.77,0.273,0.9,0.327,0.204,0.586,0.792,0.364,0.905,0.421,0.304,0.634
poly,1,3,0.01,4,-10.2,4.4,0.8,0.837,0.3,0.976,0.42,0.414,0.638,0.777,0.273,0.91,0.34,0.226,0.591,0.811,0.364,0.929,0.444,0.35,0.646
poly,1,3,0.001,0,-1.0,1.0,-1.0,0.206,1.0,0.0,0.341,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5,0.208,1.0,0.0,0.344,0.0,0.5
poly,1,3,0.001,1,-1.4,0.6,0.1,0.828,0.158,1.0,0.263,0.321,0.579,0.781,0.055,0.971,0.09,0.044,0.513,0.774,0.091,0.952,0.143,0.076,0.522
poly,1,3,0.001,2,-2.1,2.4,0.3,0.823,0.228,0.976,0.324,0.316,0.602,0.774,0.164,0.933,0.226,0.134,0.548,0.755,0.091,0.929,0.133,0.03,0.51
poly,1,3,0.001,3,-3.0,4.1,0.7,0.818,0.203,0.976,0.289,0.292,0.589,0.758,0.109,0.929,0.157,0.059,0.519,0.755,0.091,0.929,0.133,0.03,0.51
poly,1,3,0.001,4,-3.3,5.1,0.9,0.818,0.225,0.97,0.305,0.287,0.597,0.762,0.127,0.929,0.181,0.093,0.528,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,2,0.1,0,-14.9,12.6,0.2,0.822,0.483,0.91,0.514,0.411,0.696,0.725,0.327,0.829,0.322,0.151,0.578,0.736,0.364,0.833,0.364,0.197,0.598
poly,5,2,0.1,1,-13.2,7.3,1.6,0.852,0.328,0.988,0.438,0.46,0.658,0.755,0.109,0.924,0.142,0.031,0.516,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,2,0.1,2,-14.6,6.9,1.5,0.852,0.328,0.988,0.441,0.456,0.658,0.751,0.091,0.924,0.117,0.005,0.507,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,2,0.1,3,-15.6,6.5,1.7,0.847,0.306,0.988,0.422,0.438,0.647,0.743,0.055,0.924,0.076,-0.04,0.489,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,2,0.1,4,-16.0,6.3,1.5,0.842,0.306,0.982,0.419,0.422,0.644,0.751,0.091,0.924,0.117,0.005,0.507,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,2,0.01,0,-1.4,2.8,-0.5,0.832,0.411,0.939,0.49,0.419,0.675,0.762,0.291,0.886,0.328,0.192,0.588,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,2,0.01,1,-5.2,5.4,0.7,0.823,0.231,0.976,0.339,0.339,0.603,0.766,0.218,0.91,0.276,0.163,0.564,0.774,0.273,0.905,0.333,0.213,0.589
poly,5,2,0.01,2,-6.4,5.9,0.7,0.823,0.256,0.97,0.365,0.35,0.613,0.762,0.273,0.89,0.321,0.19,0.582,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,2,0.01,3,-7.7,6.1,0.7,0.813,0.278,0.952,0.374,0.335,0.615,0.766,0.309,0.886,0.353,0.218,0.597,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,2,0.01,4,-9.9,6.3,0.9,0.818,0.253,0.964,0.357,0.34,0.608,0.77,0.273,0.9,0.329,0.203,0.586,0.792,0.364,0.905,0.421,0.304,0.634
poly,5,2,0.001,0,-0.1,0.8,0.7,0.813,0.089,1.0,0.153,0.205,0.544,0.77,0.0,0.971,0.0,-0.069,0.486,0.774,0.0,0.976,0.0,-0.071,0.488
poly,5,2,0.001,1,-2.0,2.1,0.3,0.823,0.228,0.976,0.324,0.316,0.602,0.77,0.127,0.938,0.185,0.099,0.533,0.755,0.091,0.929,0.133,0.03,0.51
poly,5,2,0.001,2,-2.7,3.4,0.5,0.823,0.225,0.976,0.311,0.312,0.6,0.766,0.145,0.929,0.201,0.1,0.537,0.736,0.091,0.905,0.125,-0.006,0.498
poly,5,2,0.001,3,-3.1,4.3,0.8,0.818,0.203,0.976,0.289,0.292,0.589,0.751,0.073,0.929,0.111,0.011,0.501,0.755,0.091,0.929,0.133,0.03,0.51
