Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-1.4,1.6,-0.7,0.723,0.697,0.729,0.504,0.361,0.713,0.653,0.655,0.652,0.44,0.254,0.653,0.623,0.636,0.619,0.412,0.209,0.628
poly,1,2,0.1,1,-1.5,1.6,-0.6,0.77,0.653,0.801,0.528,0.401,0.727,0.736,0.691,0.748,0.522,0.376,0.719,0.698,0.727,0.69,0.5,0.346,0.709
poly,1,2,0.1,2,-1.7,1.6,-0.1,0.837,0.342,0.964,0.446,0.406,0.653,0.894,0.545,0.986,0.68,0.654,0.766,0.925,0.636,1.0,0.778,0.762,0.818
poly,1,2,0.1,3,-1.8,1.7,-0.5,0.799,0.558,0.862,0.526,0.403,0.71,0.811,0.8,0.814,0.641,0.541,0.807,0.774,0.818,0.762,0.6,0.491,0.79
poly,1,2,0.1,4,-1.9,1.7,-0.5,0.799,0.583,0.856,0.537,0.415,0.719,0.792,0.8,0.79,0.617,0.51,0.795,0.792,0.818,0.786,0.621,0.517,0.802
poly,1,2,0.01,0,-1.2,1.8,-0.3,0.823,0.297,0.958,0.395,0.355,0.628,0.86,0.455,0.967,0.57,0.524,0.711,0.868,0.545,0.952,0.632,0.564,0.749
poly,1,2,0.01,1,-2.3,1.5,-0.9,0.665,0.842,0.62,0.508,0.378,0.731,0.577,0.873,0.5,0.462,0.307,0.686,0.66,0.909,0.595,0.526,0.409,0.752
poly,1,2,0.01,2,-2.7,1.9,-0.9,0.669,0.772,0.644,0.488,0.343,0.708,0.634,0.873,0.571,0.497,0.361,0.722,0.717,0.909,0.667,0.571,0.469,0.788
poly,1,2,0.01,3,-3.0,2.0,-0.9,0.684,0.725,0.675,0.485,0.334,0.7,0.668,0.873,0.614,0.522,0.396,0.744,0.698,0.909,0.643,0.556,0.448,0.776
poly,1,2,0.01,4,-3.2,2.3,-1.0,0.674,0.747,0.657,0.485,0.337,0.702,0.634,0.891,0.567,0.502,0.374,0.729,0.698,0.909,0.643,0.556,0.448,0.776
poly,1,2,0.001,0,-0.9,-0.4,-0.6,0.701,0.422,0.776,0.358,0.269,0.599,0.747,0.564,0.795,0.525,0.469,0.679,0.226,1.0,0.024,0.349,0.071,0.512
poly,1,2,0.001,1,-1.4,1.4,-0.2,0.79,0.606,0.837,0.548,0.425,0.721,0.811,0.945,0.776,0.677,0.608,0.861,0.792,1.0,0.738,0.667,0.607,0.869
poly,1,2,0.001,2,-1.7,1.8,-0.4,0.727,0.742,0.722,0.528,0.394,0.732,0.713,0.945,0.652,0.579,0.486,0.799,0.679,0.909,0.619,0.541,0.428,0.764
poly,1,2,0.001,3,-2.0,2.1,-0.5,0.684,0.789,0.656,0.508,0.366,0.723,0.664,0.891,0.605,0.524,0.402,0.748,0.642,0.818,0.595,0.486,0.335,0.707
poly,1,2,0.001,4,-2.2,2.1,-0.5,0.703,0.786,0.68,0.519,0.386,0.733,0.664,0.836,0.619,0.507,0.37,0.728,0.66,0.818,0.619,0.5,0.355,0.719
poly,1,3,0.1,0,-1.4,1.7,-0.7,0.813,0.297,0.946,0.382,0.323,0.622,0.834,0.509,0.919,0.559,0.463,0.714,0.83,0.545,0.905,0.571,0.467,0.725
poly,1,3,0.1,1,-1.2,1.7,-0.5,0.823,0.275,0.964,0.379,0.361,0.62,0.883,0.473,0.99,0.609,0.606,0.732,0.906,0.545,1.0,0.706,0.698,0.773
poly,1,3,0.1,2,-1.2,1.7,-0.5,0.828,0.342,0.952,0.433,0.373,0.647,0.868,0.527,0.957,0.623,0.568,0.742,0.868,0.545,0.952,0.632,0.564,0.749
poly,1,3,0.1,3,-1.3,1.7,-0.8,0.703,0.744,0.692,0.502,0.365,0.718,0.596,0.764,0.552,0.44,0.257,0.658,0.585,0.818,0.524,0.45,0.279,0.671
poly,1,3,0.1,4,-1.4,1.7,-0.8,0.689,0.769,0.668,0.5,0.362,0.719,0.596,0.764,0.552,0.441,0.257,0.658,0.604,0.818,0.548,0.462,0.297,0.683
poly,1,3,0.01,0,-1.2,1.9,-0.8,0.813,0.414,0.916,0.468,0.385,0.665,0.842,0.618,0.9,0.619,0.519,0.759,0.849,0.727,0.881,0.667,0.573,0.804
poly,1,3,0.01,1,-1.9,1.8,-0.7,0.737,0.725,0.74,0.527,0.399,0.733,0.691,0.855,0.648,0.534,0.409,0.751,0.717,0.818,0.69,0.545,0.419,0.754
poly,1,3,0.01,2,-2.4,1.7,-0.7,0.722,0.725,0.723,0.516,0.377,0.724,0.709,0.873,0.667,0.555,0.441,0.77,0.736,0.909,0.69,0.588,0.491,0.8
poly,1,3,0.01,3,-2.6,1.7,-0.8,0.708,0.772,0.693,0.516,0.385,0.733,0.672,0.873,0.619,0.525,0.4,0.746,0.698,0.909,0.643,0.556,0.448,0.776
poly,1,3,0.01,4,-2.8,1.9,-0.9,0.689,0.819,0.657,0.518,0.392,0.738,0.626,0.855,0.567,0.487,0.343,0.711,0.698,0.909,0.643,0.556,0.448,0.776
poly,1,3,0.001,0,-0.9,-0.7,-0.9,0.33,0.8,0.2,0.277,0.0,0.5,0.328,0.818,0.2,0.308,0.054,0.509,0.208,1.0,0.0,0.344,0.0,0.5
poly,1,3,0.001,1,-1.6,1.4,-0.3,0.785,0.631,0.825,0.543,0.422,0.728,0.785,0.945,0.743,0.647,0.571,0.844,0.774,0.909,0.738,0.625,0.537,0.824
poly,1,3,0.001,2,-2.4,1.9,-0.7,0.665,0.814,0.626,0.497,0.36,0.72,0.626,0.855,0.567,0.488,0.342,0.711,0.642,0.818,0.595,0.486,0.335,0.707
