activation,layers,learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
relu,"(25,)",0.1,0.91,0.967,0.854,0.915,0.827,0.91,0.638,0.337,0.733,0.308,0.067,0.535,0.608,0.316,0.7,0.279,0.015,0.508
relu,"(25,)",0.01,0.906,0.967,0.846,0.912,0.819,0.906,0.656,0.432,0.727,0.376,0.146,0.579,0.633,0.368,0.717,0.326,0.079,0.543
relu,"(25,)",0.001,0.919,0.979,0.858,0.924,0.844,0.919,0.668,0.421,0.747,0.379,0.157,0.584,0.658,0.368,0.75,0.341,0.113,0.559
relu,"(25,)",0.0001,0.917,0.967,0.867,0.921,0.838,0.917,0.666,0.358,0.763,0.338,0.116,0.561,0.658,0.316,0.767,0.308,0.081,0.541
relu,"(50,)",0.1,0.917,0.967,0.867,0.921,0.838,0.917,0.673,0.453,0.743,0.4,0.182,0.598,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(50,)",0.01,0.898,0.971,0.825,0.905,0.805,0.898,0.658,0.432,0.73,0.378,0.15,0.581,0.633,0.368,0.717,0.326,0.079,0.543
relu,"(50,)",0.001,0.906,0.971,0.842,0.912,0.82,0.906,0.646,0.411,0.72,0.358,0.121,0.565,0.633,0.368,0.717,0.326,0.079,0.543
relu,"(50,)",0.0001,0.915,0.967,0.862,0.919,0.834,0.915,0.641,0.411,0.713,0.355,0.114,0.562,0.646,0.368,0.733,0.333,0.096,0.551
relu,"(75,)",0.1,0.9,0.958,0.842,0.905,0.807,0.9,0.666,0.4,0.75,0.366,0.142,0.575,0.684,0.316,0.8,0.324,0.118,0.558
relu,"(75,)",0.01,0.91,0.967,0.854,0.915,0.827,0.91,0.689,0.432,0.77,0.4,0.193,0.601,0.671,0.368,0.767,0.35,0.131,0.568
relu,"(75,)",0.001,0.902,0.975,0.829,0.909,0.813,0.902,0.691,0.463,0.763,0.42,0.214,0.613,0.684,0.474,0.75,0.419,0.208,0.612
relu,"(75,)",0.0001,0.896,0.971,0.821,0.903,0.801,0.896,0.706,0.463,0.783,0.432,0.236,0.623,0.709,0.474,0.783,0.439,0.245,0.629
relu,"(100,)",0.1,0.912,0.971,0.854,0.917,0.831,0.912,0.694,0.432,0.777,0.403,0.201,0.604,0.671,0.474,0.733,0.409,0.19,0.604
relu,"(100,)",0.01,0.921,0.971,0.871,0.925,0.846,0.921,0.681,0.453,0.753,0.406,0.194,0.603,0.671,0.421,0.75,0.381,0.161,0.586
relu,"(100,)",0.001,0.923,0.975,0.871,0.927,0.851,0.923,0.694,0.453,0.77,0.417,0.215,0.611,0.658,0.368,0.75,0.341,0.113,0.559
relu,"(100,)",0.0001,0.921,0.975,0.867,0.925,0.847,0.921,0.704,0.453,0.783,0.423,0.227,0.618,0.684,0.368,0.783,0.359,0.149,0.576
relu,"(125,)",0.1,0.902,0.954,0.85,0.907,0.809,0.902,0.689,0.463,0.76,0.417,0.21,0.612,0.671,0.263,0.8,0.278,0.066,0.532
relu,"(125,)",0.01,0.923,0.971,0.875,0.926,0.85,0.923,0.673,0.432,0.75,0.387,0.17,0.591,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(125,)",0.001,0.91,0.971,0.85,0.916,0.827,0.91,0.663,0.379,0.753,0.352,0.127,0.566,0.658,0.421,0.733,0.372,0.143,0.577
relu,"(125,)",0.0001,0.906,0.962,0.85,0.911,0.818,0.906,0.676,0.411,0.76,0.378,0.162,0.585,0.696,0.421,0.783,0.4,0.198,0.602
relu,"(150,)",0.1,0.896,0.954,0.838,0.902,0.799,0.896,0.676,0.421,0.757,0.382,0.168,0.589,0.709,0.474,0.783,0.439,0.245,0.629
relu,"(150,)",0.01,0.915,0.967,0.862,0.919,0.834,0.915,0.676,0.463,0.743,0.408,0.192,0.603,0.671,0.474,0.733,0.409,0.19,0.604
relu,"(150,)",0.001,0.919,0.975,0.862,0.923,0.843,0.919,0.666,0.432,0.74,0.383,0.16,0.586,0.671,0.474,0.733,0.409,0.19,0.604
