n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.898,0.883,0.912,0.896,0.797,0.898,0.818,0.589,0.89,0.608,0.49,0.74,0.848,0.632,0.917,0.667,0.57,0.774
200,None,0.5,0.875,0.888,0.862,0.876,0.751,0.875,0.823,0.621,0.887,0.626,0.511,0.754,0.861,0.737,0.9,0.718,0.626,0.818
200,None,0.75,0.871,0.888,0.854,0.873,0.742,0.871,0.82,0.642,0.877,0.632,0.514,0.759,0.823,0.579,0.9,0.611,0.498,0.739
200,None,None,0.873,0.896,0.85,0.876,0.747,0.873,0.82,0.632,0.88,0.628,0.51,0.756,0.835,0.632,0.9,0.649,0.542,0.766
400,None,0.25,0.892,0.883,0.9,0.891,0.784,0.892,0.828,0.642,0.887,0.641,0.529,0.764,0.861,0.684,0.917,0.703,0.612,0.8
400,None,0.5,0.881,0.896,0.867,0.883,0.763,0.881,0.825,0.653,0.88,0.642,0.528,0.766,0.848,0.684,0.9,0.684,0.584,0.792
400,None,0.75,0.879,0.9,0.858,0.882,0.759,0.879,0.828,0.663,0.88,0.649,0.535,0.772,0.835,0.684,0.883,0.667,0.558,0.784
400,None,None,0.873,0.892,0.854,0.875,0.746,0.873,0.828,0.653,0.883,0.646,0.532,0.768,0.823,0.632,0.883,0.632,0.515,0.757
600,None,0.25,0.892,0.896,0.888,0.892,0.784,0.892,0.82,0.621,0.883,0.624,0.507,0.752,0.861,0.684,0.917,0.703,0.612,0.8
600,None,0.5,0.881,0.896,0.867,0.883,0.763,0.881,0.823,0.642,0.88,0.635,0.518,0.761,0.848,0.684,0.9,0.684,0.584,0.792
600,None,0.75,0.873,0.896,0.85,0.876,0.747,0.873,0.825,0.642,0.883,0.639,0.524,0.763,0.835,0.632,0.9,0.649,0.542,0.766
600,None,None,0.869,0.896,0.842,0.872,0.739,0.869,0.825,0.642,0.883,0.638,0.523,0.763,0.835,0.632,0.9,0.649,0.542,0.766
800,None,0.25,0.894,0.896,0.892,0.894,0.788,0.894,0.823,0.642,0.88,0.634,0.52,0.761,0.861,0.684,0.917,0.703,0.612,0.8
800,None,0.5,0.883,0.9,0.867,0.885,0.767,0.883,0.823,0.642,0.88,0.635,0.519,0.761,0.848,0.684,0.9,0.684,0.584,0.792
800,None,0.75,0.873,0.896,0.85,0.876,0.747,0.873,0.825,0.642,0.883,0.639,0.524,0.763,0.848,0.684,0.9,0.684,0.584,0.792
800,None,None,0.869,0.892,0.846,0.872,0.739,0.869,0.823,0.632,0.883,0.63,0.514,0.757,0.823,0.632,0.883,0.632,0.515,0.757
1000,None,0.25,0.9,0.908,0.892,0.901,0.801,0.9,0.825,0.632,0.887,0.633,0.52,0.759,0.848,0.684,0.9,0.684,0.584,0.792
1000,None,0.5,0.879,0.896,0.862,0.881,0.759,0.879,0.818,0.642,0.873,0.628,0.508,0.758,0.835,0.632,0.9,0.649,0.542,0.766
1000,None,0.75,0.875,0.896,0.854,0.878,0.751,0.875,0.825,0.653,0.88,0.641,0.527,0.766,0.848,0.684,0.9,0.684,0.584,0.792
1000,None,None,0.867,0.888,0.846,0.869,0.734,0.867,0.825,0.653,0.88,0.642,0.527,0.766,0.823,0.632,0.883,0.632,0.515,0.757
