Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-3.3,3.9,0.1,0.95,0.983,0.917,0.952,0.902,0.95,0.676,0.221,0.82,0.246,0.044,0.521,0.671,0.211,0.817,0.235,0.03,0.514
poly,1,2,0.1,1,-3.3,3.9,0.4,0.96,0.967,0.954,0.961,0.921,0.96,0.699,0.137,0.877,0.18,0.019,0.507,0.722,0.158,0.9,0.214,0.078,0.529
poly,1,2,0.1,2,-3.4,4.4,0.3,0.952,0.971,0.933,0.953,0.905,0.952,0.694,0.168,0.86,0.209,0.035,0.514,0.709,0.158,0.883,0.207,0.053,0.521
poly,1,2,0.1,3,-3.8,4.6,0.2,0.95,0.979,0.921,0.951,0.902,0.95,0.689,0.2,0.843,0.236,0.049,0.522,0.696,0.211,0.85,0.25,0.07,0.53
poly,1,2,0.1,4,-4.2,4.8,0.3,0.948,0.971,0.925,0.949,0.897,0.948,0.701,0.221,0.853,0.26,0.083,0.537,0.709,0.263,0.85,0.303,0.127,0.557
poly,1,2,0.01,0,-2.0,3.8,-0.2,0.908,0.925,0.892,0.909,0.818,0.908,0.711,0.347,0.827,0.367,0.182,0.587,0.709,0.316,0.833,0.343,0.159,0.575
poly,1,2,0.01,1,-3.8,4.0,0.1,0.917,0.938,0.896,0.918,0.834,0.917,0.727,0.379,0.837,0.402,0.229,0.608,0.696,0.316,0.817,0.333,0.138,0.566
poly,1,2,0.01,2,-4.7,4.6,0.2,0.908,0.929,0.888,0.91,0.818,0.908,0.711,0.358,0.823,0.373,0.19,0.591,0.722,0.368,0.833,0.389,0.21,0.601
poly,1,2,0.01,3,-5.6,4.9,0.4,0.912,0.912,0.912,0.912,0.825,0.912,0.719,0.326,0.843,0.358,0.188,0.585,0.722,0.316,0.85,0.353,0.181,0.583
poly,1,2,0.01,4,-6.3,5.2,0.5,0.906,0.9,0.912,0.906,0.813,0.906,0.722,0.337,0.843,0.367,0.198,0.59,0.722,0.316,0.85,0.353,0.181,0.583
poly,1,2,0.001,0,-0.5,0.9,-0.2,0.692,0.421,0.962,0.56,0.457,0.692,0.709,0.253,0.853,0.28,0.117,0.553,0.734,0.053,0.95,0.087,0.005,0.501
poly,1,2,0.001,1,-2.0,2.6,-0.2,0.821,0.825,0.817,0.821,0.644,0.821,0.689,0.558,0.73,0.462,0.26,0.644,0.684,0.579,0.717,0.468,0.264,0.648
poly,1,2,0.001,2,-2.6,2.7,-0.1,0.846,0.862,0.829,0.848,0.694,0.846,0.676,0.526,0.723,0.438,0.226,0.625,0.671,0.526,0.717,0.435,0.219,0.621
poly,1,2,0.001,3,-3.0,2.9,0.0,0.852,0.862,0.842,0.853,0.706,0.852,0.673,0.484,0.733,0.417,0.2,0.609,0.684,0.474,0.75,0.419,0.208,0.612
poly,1,2,0.001,4,-3.2,3.1,-0.1,0.858,0.896,0.821,0.863,0.721,0.858,0.658,0.558,0.69,0.44,0.22,0.624,0.658,0.526,0.7,0.426,0.202,0.613
poly,1,3,0.1,0,-3.8,9.0,0.0,0.956,0.967,0.946,0.957,0.913,0.956,0.729,0.421,0.827,0.427,0.25,0.624,0.747,0.421,0.85,0.444,0.282,0.636
poly,1,3,0.1,1,-3.8,5.0,0.1,0.965,0.975,0.954,0.965,0.93,0.965,0.719,0.263,0.863,0.309,0.144,0.563,0.709,0.211,0.867,0.258,0.092,0.539
poly,1,3,0.1,2,-3.7,4.1,0.2,0.958,0.971,0.946,0.959,0.917,0.958,0.711,0.2,0.873,0.247,0.088,0.537,0.722,0.158,0.9,0.214,0.078,0.529
poly,1,3,0.1,3,-3.7,3.9,0.3,0.956,0.962,0.95,0.957,0.913,0.956,0.714,0.168,0.887,0.219,0.071,0.528,0.709,0.105,0.9,0.148,0.007,0.503
poly,1,3,0.1,4,-3.6,4.1,0.3,0.956,0.971,0.942,0.957,0.913,0.956,0.714,0.179,0.883,0.231,0.08,0.531,0.696,0.105,0.883,0.143,-0.015,0.494
poly,1,3,0.01,0,-1.7,5.5,-0.6,0.894,0.962,0.825,0.901,0.796,0.894,0.668,0.547,0.707,0.442,0.227,0.627,0.684,0.579,0.717,0.468,0.264,0.648
poly,1,3,0.01,1,-3.3,4.3,0.1,0.94,0.971,0.908,0.941,0.881,0.94,0.694,0.274,0.827,0.299,0.108,0.55,0.709,0.263,0.85,0.303,0.127,0.557
poly,1,3,0.01,2,-5.5,5.2,0.4,0.94,0.967,0.912,0.941,0.881,0.94,0.711,0.274,0.85,0.312,0.137,0.562,0.747,0.316,0.883,0.375,0.23,0.6
