n_estimators,max_depth,max_features,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
200,None,0.25,0.783,0.096,0.992,0.164,0.197,0.544,0.782,0.137,0.987,0.23,0.262,0.562,0.797,0.158,1.0,0.273,0.353,0.579
200,None,0.5,0.786,0.123,0.988,0.209,0.249,0.555,0.777,0.158,0.973,0.251,0.239,0.566,0.797,0.211,0.983,0.333,0.34,0.597
200,None,0.75,0.786,0.15,0.979,0.238,0.253,0.565,0.795,0.221,0.977,0.342,0.336,0.599,0.797,0.158,1.0,0.273,0.353,0.579
200,None,None,0.786,0.151,0.979,0.236,0.253,0.565,0.787,0.2,0.973,0.313,0.302,0.587,0.797,0.211,0.983,0.333,0.34,0.597
400,None,0.25,0.789,0.11,0.996,0.194,0.267,0.553,0.792,0.168,0.99,0.279,0.31,0.579,0.81,0.211,1.0,0.348,0.41,0.605
400,None,0.5,0.786,0.124,0.988,0.205,0.227,0.556,0.787,0.189,0.977,0.301,0.297,0.583,0.797,0.211,0.983,0.333,0.34,0.597
400,None,0.75,0.795,0.178,0.983,0.278,0.301,0.581,0.782,0.179,0.973,0.283,0.267,0.576,0.81,0.211,1.0,0.348,0.41,0.605
400,None,None,0.783,0.137,0.979,0.209,0.205,0.558,0.785,0.2,0.97,0.309,0.289,0.585,0.797,0.211,0.983,0.333,0.34,0.597
600,None,0.25,0.786,0.095,0.996,0.168,0.242,0.546,0.787,0.158,0.987,0.262,0.287,0.572,0.81,0.211,1.0,0.348,0.41,0.605
600,None,0.5,0.786,0.124,0.988,0.205,0.227,0.556,0.78,0.168,0.973,0.269,0.261,0.571,0.772,0.158,0.967,0.25,0.219,0.562
600,None,0.75,0.789,0.15,0.983,0.244,0.27,0.567,0.777,0.179,0.967,0.277,0.244,0.573,0.797,0.158,1.0,0.273,0.353,0.579
600,None,None,0.779,0.123,0.979,0.19,0.187,0.551,0.782,0.189,0.97,0.295,0.275,0.58,0.797,0.211,0.983,0.333,0.34,0.597
800,None,0.25,0.783,0.082,0.996,0.149,0.227,0.539,0.785,0.126,0.993,0.217,0.272,0.56,0.81,0.211,1.0,0.348,0.41,0.605
800,None,0.5,0.783,0.11,0.988,0.183,0.207,0.549,0.775,0.147,0.973,0.238,0.232,0.56,0.785,0.158,0.983,0.261,0.275,0.571
800,None,0.75,0.789,0.137,0.988,0.226,0.266,0.562,0.772,0.168,0.963,0.262,0.223,0.566,0.797,0.158,1.0,0.273,0.353,0.579
800,None,None,0.786,0.151,0.979,0.227,0.221,0.565,0.78,0.189,0.967,0.292,0.259,0.578,0.797,0.263,0.967,0.385,0.346,0.615
1000,None,0.25,0.783,0.082,0.996,0.149,0.227,0.539,0.782,0.137,0.987,0.227,0.257,0.562,0.81,0.211,1.0,0.348,0.41,0.605
1000,None,0.5,0.783,0.11,0.988,0.183,0.207,0.549,0.78,0.158,0.977,0.256,0.254,0.567,0.797,0.158,1.0,0.273,0.353,0.579
1000,None,0.75,0.786,0.137,0.983,0.222,0.25,0.56,0.775,0.168,0.967,0.265,0.234,0.568,0.785,0.158,0.983,0.261,0.275,0.571
1000,None,None,0.786,0.137,0.983,0.21,0.214,0.56,0.772,0.158,0.967,0.25,0.219,0.562,0.81,0.263,0.983,0.4,0.398,0.623
