Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-34.6,19.8,0.4,0.748,0.164,0.925,0.22,0.113,0.544,0.825,0.474,0.937,0.563,0.49,0.705,0.861,0.579,0.95,0.667,0.592,0.764
poly,1,2,0.1,1,-13.1,11.8,0.2,0.687,0.19,0.838,0.215,0.04,0.514,0.785,0.442,0.893,0.492,0.367,0.668,0.835,0.579,0.917,0.629,0.527,0.748
poly,1,2,0.1,2,-15.0,12.1,0.8,0.729,0.136,0.908,0.185,0.068,0.522,0.787,0.316,0.937,0.404,0.324,0.626,0.797,0.316,0.95,0.429,0.358,0.633
poly,1,2,0.1,3,-17.0,11.3,1.0,0.735,0.136,0.917,0.188,0.081,0.526,0.777,0.253,0.943,0.345,0.268,0.598,0.81,0.368,0.95,0.483,0.409,0.659
poly,1,2,0.1,4,-17.8,10.4,1.1,0.748,0.163,0.925,0.227,0.133,0.544,0.775,0.253,0.94,0.346,0.265,0.596,0.797,0.316,0.95,0.429,0.358,0.633
poly,1,2,0.01,0,-5.1,1.2,-0.3,0.796,0.136,0.996,0.234,0.297,0.566,0.795,0.168,0.993,0.277,0.333,0.581,0.797,0.158,1.0,0.273,0.353,0.579
poly,1,2,0.01,1,-3.6,3.5,0.6,0.792,0.135,0.992,0.227,0.274,0.563,0.777,0.137,0.98,0.216,0.204,0.558,0.772,0.158,0.967,0.25,0.219,0.562
poly,1,2,0.01,2,-3.9,5.7,0.8,0.789,0.176,0.975,0.271,0.276,0.576,0.757,0.147,0.95,0.218,0.146,0.549,0.759,0.158,0.95,0.24,0.174,0.554
poly,1,2,0.01,3,-4.3,7.3,1.1,0.786,0.15,0.979,0.242,0.257,0.564,0.759,0.116,0.963,0.181,0.137,0.54,0.734,0.053,0.95,0.087,0.005,0.501
poly,1,2,0.01,4,-4.5,8.7,1.2,0.786,0.163,0.975,0.257,0.257,0.569,0.757,0.116,0.96,0.182,0.128,0.538,0.747,0.105,0.95,0.167,0.097,0.528
poly,1,2,0.001,0,-1.0,0.7,-0.7,0.793,0.166,0.983,0.27,0.292,0.575,0.81,0.211,1.0,0.347,0.409,0.605,0.81,0.211,1.0,0.348,0.41,0.605
poly,1,2,0.001,1,-1.3,2.3,0.1,0.792,0.232,0.962,0.34,0.31,0.597,0.759,0.253,0.92,0.335,0.227,0.586,0.772,0.316,0.917,0.4,0.287,0.616
poly,1,2,0.001,2,-1.5,3.2,0.2,0.792,0.19,0.975,0.287,0.297,0.583,0.762,0.253,0.923,0.332,0.228,0.588,0.747,0.211,0.917,0.286,0.171,0.564
poly,1,2,0.001,3,-1.7,3.6,0.1,0.792,0.231,0.962,0.326,0.31,0.597,0.762,0.284,0.913,0.359,0.247,0.599,0.772,0.316,0.917,0.4,0.287,0.616
poly,1,2,0.001,4,-2.0,3.9,0.2,0.799,0.217,0.975,0.32,0.325,0.596,0.767,0.284,0.92,0.367,0.262,0.602,0.772,0.316,0.917,0.4,0.287,0.616
poly,1,3,0.1,0,-37.0,225.8,7.9,0.799,0.15,0.996,0.248,0.318,0.573,0.79,0.211,0.973,0.324,0.309,0.592,0.785,0.158,0.983,0.261,0.275,0.571
poly,1,3,0.1,1,-78.4,28.5,2.5,0.783,0.069,1.0,0.125,0.205,0.534,0.77,0.095,0.983,0.163,0.173,0.539,0.759,0.053,0.983,0.095,0.098,0.518
poly,1,3,0.1,2,-69.1,10.5,1.6,0.773,0.041,0.996,0.074,0.098,0.518,0.765,0.042,0.993,0.076,0.107,0.518,0.747,0.0,0.983,0.0,-0.064,0.492
poly,1,3,0.1,3,-59.0,2.3,1.6,0.767,0.028,0.992,0.052,0.065,0.51,0.787,0.116,1.0,0.202,0.29,0.558,0.785,0.105,1.0,0.19,0.286,0.553
poly,1,3,0.1,4,-54.1,2.6,0.9,0.738,0.07,0.942,0.111,0.049,0.506,0.805,0.284,0.97,0.407,0.372,0.627,0.81,0.368,0.95,0.483,0.409,0.659
poly,1,3,0.01,0,-2.2,5.5,-0.1,0.795,0.122,1.0,0.21,0.298,0.561,0.78,0.137,0.983,0.225,0.247,0.56,0.772,0.105,0.983,0.182,0.198,0.544
poly,1,3,0.01,1,-5.1,3.0,0.7,0.789,0.122,0.992,0.204,0.23,0.557,0.777,0.116,0.987,0.198,0.234,0.551,0.772,0.105,0.983,0.182,0.198,0.544
poly,1,3,0.01,2,-8.1,5.1,1.5,0.78,0.081,0.992,0.143,0.176,0.536,0.772,0.095,0.987,0.156,0.16,0.541,0.785,0.105,1.0,0.19,0.286,0.553
poly,1,3,0.01,3,-10.5,8.7,2.1,0.78,0.094,0.988,0.161,0.186,0.541,0.772,0.074,0.993,0.128,0.171,0.534,0.785,0.105,1.0,0.19,0.286,0.553
poly,1,3,0.01,4,-10.9,11.6,2.9,0.78,0.068,0.996,0.122,0.18,0.532,0.767,0.042,0.997,0.074,0.09,0.519,0.785,0.105,1.0,0.19,0.286,0.553
poly,1,3,0.001,0,-1.0,0.4,-0.9,0.792,0.138,0.992,0.236,0.283,0.565,0.81,0.211,1.0,0.348,0.41,0.605,0.81,0.211,1.0,0.348,0.41,0.605
poly,1,3,0.001,1,-1.4,2.9,0.1,0.796,0.177,0.983,0.28,0.306,0.58,0.757,0.232,0.923,0.314,0.209,0.577,0.759,0.263,0.917,0.345,0.231,0.59
poly,1,3,0.001,2,-2.2,4.1,0.3,0.792,0.203,0.971,0.298,0.294,0.587,0.775,0.221,0.95,0.31,0.244,0.586,0.772,0.211,0.95,0.308,0.241,0.58
poly,1,3,0.001,3,-3.6,5.7,1.4,0.795,0.122,1.0,0.21,0.298,0.561,0.762,0.063,0.983,0.106,0.097,0.523,0.747,0.053,0.967,0.091,0.043,0.51
poly,1,3,0.001,4,-5.1,7.1,1.7,0.789,0.122,0.992,0.209,0.272,0.557,0.765,0.095,0.977,0.16,0.157,0.536,0.747,0.053,0.967,0.091,0.043,0.51
poly,5,2,0.1,0,-34.4,22.2,13.0,0.776,0.041,1.0,0.077,0.138,0.52,0.777,0.074,1.0,0.134,0.212,0.537,0.772,0.053,1.0,0.1,0.201,0.526
poly,5,2,0.1,1,-17.4,16.7,2.2,0.773,0.082,0.983,0.138,0.147,0.533,0.785,0.168,0.98,0.268,0.278,0.574,0.772,0.158,0.967,0.25,0.219,0.562
poly,5,2,0.1,2,-13.1,16.1,2.5,0.776,0.095,0.983,0.161,0.174,0.539,0.78,0.147,0.98,0.234,0.243,0.564,0.772,0.158,0.967,0.25,0.219,0.562
poly,5,2,0.1,3,-12.0,14.3,2.5,0.776,0.11,0.979,0.185,0.202,0.544,0.787,0.158,0.987,0.255,0.285,0.572,0.759,0.105,0.967,0.174,0.14,0.536
poly,5,2,0.1,4,-13.2,15.9,2.7,0.776,0.123,0.975,0.201,0.207,0.549,0.787,0.158,0.987,0.255,0.285,0.572,0.759,0.105,0.967,0.174,0.14,0.536
poly,5,2,0.01,0,-9.3,2.4,-0.0,0.773,0.108,0.975,0.172,0.156,0.541,0.808,0.232,0.99,0.36,0.382,0.611,0.81,0.263,0.983,0.4,0.398,0.623
poly,5,2,0.01,1,-7.6,4.7,1.7,0.783,0.081,0.996,0.144,0.199,0.538,0.775,0.074,0.997,0.122,0.152,0.535,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,2,0.01,2,-8.5,9.2,2.0,0.783,0.094,0.992,0.16,0.205,0.543,0.775,0.095,0.99,0.161,0.201,0.542,0.797,0.158,1.0,0.273,0.353,0.579
poly,5,2,0.01,3,-9.4,12.8,2.3,0.783,0.121,0.983,0.194,0.215,0.552,0.78,0.116,0.99,0.195,0.238,0.553,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,2,0.01,4,-9.6,15.2,2.7,0.789,0.121,0.992,0.202,0.239,0.556,0.782,0.116,0.993,0.197,0.249,0.555,0.785,0.105,1.0,0.19,0.286,0.553
poly,5,2,0.001,0,-1.0,1.6,-0.7,0.796,0.248,0.962,0.361,0.32,0.605,0.797,0.316,0.95,0.428,0.358,0.633,0.797,0.316,0.95,0.429,0.358,0.633
