Kernel,C,degree,gamma,coef0,Min_Dec_Score,Max_Dec_Score,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC,BA,Accuracy_bcv,Sensitivity_bcv,Specificity_bcv,F1-score_bcv,MCC_bcv,BA_bcv,Accuracy_blind,Sensitivity_blind,Specificity_blind,F1-score_blind,MCC_blind,BA_blind
poly,1,2,0.1,0,-9.4,8.6,-0.4,0.7,0.415,0.788,0.382,0.193,0.601,0.671,0.495,0.727,0.414,0.2,0.611,0.696,0.579,0.733,0.478,0.281,0.656
poly,1,2,0.1,1,-8.7,6.4,1.5,0.796,0.153,0.992,0.246,0.275,0.572,0.782,0.211,0.963,0.317,0.277,0.587,0.759,0.158,0.95,0.24,0.174,0.554
poly,1,2,0.1,2,-9.9,7.1,0.7,0.802,0.277,0.962,0.369,0.309,0.62,0.757,0.316,0.897,0.382,0.25,0.606,0.759,0.421,0.867,0.457,0.306,0.644
poly,1,2,0.1,3,-10.6,7.5,0.9,0.805,0.249,0.975,0.352,0.315,0.612,0.752,0.263,0.907,0.334,0.21,0.585,0.747,0.368,0.867,0.412,0.256,0.618
poly,1,2,0.1,4,-11.0,7.7,0.9,0.808,0.263,0.975,0.367,0.328,0.619,0.742,0.242,0.9,0.305,0.173,0.571,0.747,0.368,0.867,0.412,0.256,0.618
poly,1,2,0.01,0,-1.4,1.8,-0.2,0.796,0.205,0.975,0.319,0.315,0.59,0.805,0.263,0.977,0.389,0.371,0.62,0.823,0.316,0.983,0.462,0.45,0.65
poly,1,2,0.01,1,-3.6,2.9,-0.1,0.754,0.467,0.842,0.465,0.309,0.654,0.689,0.379,0.787,0.364,0.16,0.583,0.696,0.421,0.783,0.4,0.198,0.602
poly,1,2,0.01,2,-4.4,4.0,1.3,0.799,0.165,0.992,0.258,0.286,0.578,0.765,0.053,0.99,0.095,0.127,0.521,0.759,0.053,0.983,0.095,0.098,0.518
poly,1,2,0.01,3,-5.4,4.9,1.5,0.799,0.165,0.992,0.258,0.286,0.578,0.762,0.053,0.987,0.094,0.115,0.52,0.759,0.053,0.983,0.095,0.098,0.518
poly,1,2,0.01,4,-6.0,6.4,1.5,0.799,0.179,0.988,0.277,0.294,0.583,0.765,0.063,0.987,0.109,0.131,0.525,0.759,0.053,0.983,0.095,0.098,0.518
poly,1,2,0.001,0,-0.1,0.9,0.0,0.678,0.283,0.796,0.211,0.146,0.539,0.673,0.274,0.8,0.21,0.208,0.537,0.759,0.0,1.0,0.0,0.0,0.5
poly,1,2,0.001,1,-1.7,1.6,0.3,0.812,0.219,0.992,0.343,0.384,0.605,0.782,0.095,1.0,0.172,0.269,0.547,0.785,0.105,1.0,0.19,0.286,0.553
poly,1,2,0.001,2,-2.0,1.8,0.8,0.802,0.151,1.0,0.254,0.335,0.576,0.777,0.074,1.0,0.136,0.235,0.537,0.772,0.053,1.0,0.1,0.201,0.526
poly,1,2,0.001,3,-2.1,2.2,1.2,0.799,0.138,1.0,0.235,0.32,0.569,0.765,0.021,1.0,0.04,0.08,0.511,0.772,0.053,1.0,0.1,0.201,0.526
poly,1,2,0.001,4,-2.3,2.4,1.3,0.799,0.138,1.0,0.235,0.32,0.569,0.765,0.021,1.0,0.04,0.08,0.511,0.759,0.0,1.0,0.0,0.0,0.5
poly,1,3,0.1,0,-13.9,9.1,-0.4,0.78,0.386,0.9,0.446,0.333,0.643,0.737,0.505,0.81,0.479,0.305,0.658,0.81,0.684,0.85,0.634,0.509,0.767
poly,1,3,0.1,1,-5.6,3.7,0.5,0.799,0.195,0.983,0.3,0.315,0.589,0.759,0.2,0.937,0.287,0.204,0.568,0.747,0.211,0.917,0.286,0.171,0.564
poly,1,3,0.1,2,-7.1,4.3,1.1,0.802,0.154,1.0,0.25,0.305,0.577,0.772,0.147,0.97,0.237,0.221,0.559,0.747,0.105,0.95,0.167,0.097,0.528
poly,1,3,0.1,3,-8.2,5.2,0.7,0.802,0.264,0.967,0.361,0.31,0.615,0.757,0.284,0.907,0.357,0.234,0.595,0.747,0.211,0.917,0.286,0.171,0.564
poly,1,3,0.1,4,-9.0,5.8,0.7,0.802,0.277,0.962,0.371,0.312,0.62,0.752,0.284,0.9,0.352,0.221,0.592,0.722,0.211,0.883,0.267,0.116,0.547
poly,1,3,0.01,0,-1.3,2.2,-0.7,0.805,0.246,0.975,0.369,0.35,0.61,0.808,0.274,0.977,0.404,0.387,0.625,0.81,0.263,0.983,0.4,0.398,0.623
poly,1,3,0.01,1,-3.8,3.2,-0.5,0.677,0.588,0.704,0.458,0.26,0.646,0.648,0.6,0.663,0.45,0.23,0.632,0.684,0.684,0.683,0.51,0.32,0.684
poly,1,3,0.01,2,-5.7,5.7,0.4,0.776,0.315,0.917,0.387,0.289,0.616,0.739,0.295,0.88,0.35,0.204,0.587,0.722,0.316,0.85,0.353,0.181,0.583
poly,1,3,0.01,3,-7.1,9.4,0.4,0.776,0.342,0.908,0.41,0.298,0.625,0.724,0.326,0.85,0.36,0.191,0.588,0.734,0.368,0.85,0.4,0.232,0.609
poly,1,3,0.01,4,-9.9,11.0,0.8,0.786,0.276,0.942,0.361,0.298,0.609,0.729,0.253,0.88,0.31,0.164,0.566,0.734,0.316,0.867,0.364,0.204,0.591
poly,1,3,0.001,0,0.3,0.9,0.3,0.233,1.0,0.0,0.378,0.0,0.5,0.241,1.0,0.0,0.388,0.0,0.5,0.759,0.0,1.0,0.0,0.0,0.5
poly,1,3,0.001,1,-1.9,1.7,0.4,0.802,0.179,0.992,0.291,0.341,0.585,0.777,0.095,0.993,0.169,0.24,0.544,0.785,0.105,1.0,0.19,0.286,0.553
poly,1,3,0.001,2,-2.7,2.7,1.4,0.799,0.151,0.996,0.25,0.319,0.574,0.765,0.021,1.0,0.04,0.08,0.511,0.772,0.053,1.0,0.1,0.201,0.526
poly,1,3,0.001,3,-3.7,3.8,1.3,0.796,0.165,0.988,0.259,0.304,0.576,0.762,0.042,0.99,0.077,0.092,0.516,0.772,0.105,0.983,0.182,0.198,0.544
poly,1,3,0.001,4,-5.3,4.5,0.5,0.767,0.33,0.9,0.383,0.265,0.615,0.737,0.253,0.89,0.314,0.172,0.571,0.722,0.211,0.883,0.267,0.116,0.547
poly,5,2,0.1,0,-10.5,11.7,1.5,0.773,0.139,0.967,0.218,0.185,0.553,0.777,0.168,0.97,0.264,0.249,0.569,0.747,0.105,0.95,0.167,0.097,0.528
poly,5,2,0.1,1,-9.5,6.8,0.9,0.799,0.263,0.962,0.36,0.299,0.613,0.777,0.295,0.93,0.388,0.295,0.612,0.747,0.316,0.883,0.375,0.23,0.6
poly,5,2,0.1,2,-10.6,7.3,0.8,0.802,0.29,0.958,0.381,0.314,0.624,0.752,0.295,0.897,0.362,0.228,0.596,0.734,0.263,0.883,0.323,0.174,0.573
poly,5,2,0.1,3,-11.2,7.6,0.5,0.792,0.347,0.929,0.407,0.309,0.638,0.749,0.358,0.873,0.407,0.257,0.616,0.747,0.421,0.85,0.444,0.282,0.636
poly,5,2,0.1,4,-11.5,7.7,0.6,0.796,0.347,0.933,0.412,0.317,0.64,0.749,0.316,0.887,0.373,0.231,0.601,0.747,0.368,0.867,0.412,0.256,0.618
poly,5,2,0.01,0,-2.4,3.2,-0.3,0.754,0.262,0.904,0.336,0.219,0.583,0.752,0.4,0.863,0.436,0.282,0.632,0.709,0.368,0.817,0.378,0.189,0.593
poly,5,2,0.01,1,-5.8,5.5,0.4,0.786,0.316,0.929,0.394,0.308,0.623,0.732,0.284,0.873,0.338,0.186,0.579,0.722,0.316,0.85,0.353,0.181,0.583
poly,5,2,0.01,2,-6.7,8.8,0.8,0.799,0.288,0.954,0.37,0.346,0.621,0.742,0.189,0.917,0.26,0.152,0.553,0.747,0.211,0.917,0.286,0.171,0.564
poly,5,2,0.01,3,-7.6,11.7,1.1,0.808,0.26,0.975,0.364,0.362,0.617,0.742,0.126,0.937,0.186,0.099,0.531,0.759,0.158,0.95,0.24,0.174,0.554
poly,5,2,0.01,4,-8.6,13.0,1.1,0.808,0.288,0.967,0.383,0.37,0.627,0.742,0.147,0.93,0.212,0.118,0.539,0.747,0.105,0.95,0.167,0.097,0.528
poly,5,2,0.001,0,-1.0,0.4,-0.9,0.691,0.446,0.762,0.41,0.282,0.604,0.676,0.442,0.75,0.4,0.255,0.596,0.747,0.316,0.883,0.375,0.23,0.6
poly,5,2,0.001,1,-2.5,2.5,1.4,0.799,0.138,1.0,0.235,0.32,0.569,0.765,0.021,1.0,0.04,0.08,0.511,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,2,0.001,2,-3.2,3.6,1.4,0.799,0.165,0.992,0.263,0.316,0.578,0.759,0.021,0.993,0.039,0.047,0.507,0.772,0.053,1.0,0.1,0.201,0.526
poly,5,2,0.001,3,-3.9,3.9,1.8,0.796,0.137,0.996,0.232,0.303,0.566,0.759,0.011,0.997,0.019,0.02,0.504,0.759,0.0,1.0,0.0,0.0,0.5
poly,5,2,0.001,4,-4.7,4.4,0.7,0.786,0.261,0.946,0.343,0.279,0.603,0.765,0.232,0.933,0.32,0.228,0.582,0.722,0.158,0.9,0.214,0.078,0.529
poly,5,3,0.1,0,-14.1,9.5,-0.0,0.805,0.318,0.954,0.422,0.365,0.636,0.762,0.337,0.897,0.401,0.271,0.617,0.797,0.421,0.917,0.5,0.389,0.669
poly,5,3,0.1,1,-5.6,3.7,0.5,0.799,0.195,0.983,0.3,0.315,0.589,0.759,0.2,0.937,0.287,0.204,0.568,0.747,0.211,0.917,0.286,0.171,0.564
poly,5,3,0.1,2,-7.1,4.3,1.1,0.802,0.154,1.0,0.25,0.305,0.577,0.772,0.147,0.97,0.237,0.221,0.559,0.747,0.105,0.95,0.167,0.097,0.528
poly,5,3,0.1,3,-8.2,5.2,0.7,0.802,0.264,0.967,0.361,0.31,0.615,0.757,0.284,0.907,0.357,0.234,0.595,0.747,0.211,0.917,0.286,0.171,0.564
poly,5,3,0.1,4,-9.0,5.8,0.7,0.802,0.277,0.962,0.371,0.312,0.62,0.752,0.284,0.9,0.352,0.221,0.592,0.722,0.211,0.883,0.267,0.116,0.547
