#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL3	NFATC2IP	9606.ENSP00000352268	9606.ENSP00000324792	0	0	0	0	0	0.169	0	0	0.169
ACADS	PLEC	9606.ENSP00000242592	9606.ENSP00000323856	0	0	0	0	0	0.185	0	0	0.185
ACADS	LIMS3	9606.ENSP00000242592	9606.ENSP00000405165	0	0	0	0	0	0.343	0	0	0.343
ACE2	ARL11	9606.ENSP00000389326	9606.ENSP00000282026	0	0	0	0	0	0.161	0	0	0.161
AMFR	PSMC2	9606.ENSP00000290649	9606.ENSP00000391211	0	0	0	0	0	0.320	0	0	0.320
AMFR	SYVN1	9606.ENSP00000290649	9606.ENSP00000366395	0	0	0	0.603	0	0.675	0	0	0.675
ARL11	NFATC2IP	9606.ENSP00000282026	9606.ENSP00000324792	0	0	0	0	0	0.170	0	0	0.169
BANF2	DPY30	9606.ENSP00000439128	9606.ENSP00000345837	0	0	0	0	0	0.225	0	0	0.224
BIRC6	OASL	9606.ENSP00000393596	9606.ENSP00000257570	0	0	0	0	0	0.254	0	0	0.254
BIRC6	TP53	9606.ENSP00000393596	9606.ENSP00000269305	0	0	0	0	0	0.320	0	0	0.320
BIRC6	NFATC2IP	9606.ENSP00000393596	9606.ENSP00000324792	0	0	0	0	0	0.241	0	0	0.240
BIRC6	CASP14	9606.ENSP00000393596	9606.ENSP00000393417	0	0	0	0	0	0.214	0	0	0.214
BIRC6	UBR5	9606.ENSP00000393596	9606.ENSP00000429084	0	0	0	0	0	0.243	0	0	0.242
CALM2	PLEC	9606.ENSP00000272298	9606.ENSP00000323856	0	0	0	0	0	0.344	0	0	0.343
CALM2	PPP1CB	9606.ENSP00000272298	9606.ENSP00000378769	0	0	0	0	0	0.174	0	0	0.173
COL17A1	PLEC	9606.ENSP00000340937	9606.ENSP00000323856	0	0	0	0	0	0.213	0	0	0.213
DHPS	WDR6	9606.ENSP00000210060	9606.ENSP00000378857	0	0	0	0	0	0.163	0	0	0.163
DHPS	SNX15	9606.ENSP00000210060	9606.ENSP00000366452	0	0	0	0	0	0.172	0	0	0.171
DPY30	OASL	9606.ENSP00000345837	9606.ENSP00000257570	0	0	0	0	0	0.369	0	0	0.369
DPY30	POU5F1	9606.ENSP00000345837	9606.ENSP00000259915	0	0	0	0	0	0.296	0	0	0.296
DPY30	RBM6	9606.ENSP00000345837	9606.ENSP00000266022	0	0	0	0	0	0.247	0	0	0.246
DPY30	UBR5	9606.ENSP00000345837	9606.ENSP00000429084	0	0	0	0	0	0.270	0	0	0.270
DPY30	DYDC1	9606.ENSP00000345837	9606.ENSP00000361278	0	0	0	0	0	0.173	0	0	0.172
EIF3C	OASL	9606.ENSP00000332604	9606.ENSP00000257570	0	0	0	0	0	0.237	0	0	0.237
EIF3C	PLEC	9606.ENSP00000332604	9606.ENSP00000323856	0	0	0	0	0	0.260	0	0	0.260
EIF3C	NFATC2IP	9606.ENSP00000332604	9606.ENSP00000324792	0	0	0	0	0	0.171	0	0	0.171
EIF3C	EIF3CL	9606.ENSP00000332604	9606.ENSP00000370258	0	0	0	0.988	0	0.800	0	0	0.800
EIF3CL	OASL	9606.ENSP00000370258	9606.ENSP00000257570	0	0	0	0	0	0.237	0	0	0.237
EIF3CL	PLEC	9606.ENSP00000370258	9606.ENSP00000323856	0	0	0	0	0	0.260	0	0	0.260
EIF3CL	NFATC2IP	9606.ENSP00000370258	9606.ENSP00000324792	0	0	0	0	0	0.171	0	0	0.171
ELP3	POU5F1	9606.ENSP00000256398	9606.ENSP00000259915	0	0	0	0	0	0.270	0	0	0.270
GKN1	UBR5	9606.ENSP00000367172	9606.ENSP00000429084	0	0	0	0	0	0.270	0	0	0.270
GOLGA8G	MRFAP1	9606.ENSP00000458130	9606.ENSP00000318352	0	0	0	0	0	0.272	0	0	0.272
GRHL2	POU5F1	9606.ENSP00000251808	9606.ENSP00000259915	0	0	0	0	0	0.151	0	0	0.150
GUCA1C	PPP1CB	9606.ENSP00000261047	9606.ENSP00000378769	0	0	0	0	0	0.174	0	0	0.173
GUCA1C	PLEC	9606.ENSP00000261047	9606.ENSP00000323856	0	0	0	0	0	0.245	0	0	0.244
HSFX1	NFATC2IP	9606.ENSP00000359444	9606.ENSP00000324792	0	0	0	0	0	0.243	0	0	0.242
HSPB9	UBR5	9606.ENSP00000458018	9606.ENSP00000429084	0	0	0	0	0	0.162	0	0	0.161
LIMS3	POU5F1	9606.ENSP00000405165	9606.ENSP00000259915	0	0	0	0	0	0.155	0	0	0.154
LINGO2	PTPRF	9606.ENSP00000369328	9606.ENSP00000353030	0	0	0	0.550	0	0.178	0	0	0.177
LINGO2	PPP1CB	9606.ENSP00000369328	9606.ENSP00000378769	0	0	0	0	0	0.159	0	0	0.158
LRRC39	PTPRF	9606.ENSP00000480740	9606.ENSP00000353030	0	0	0	0	0	0.178	0	0	0.177
LRRC39	PPP1CB	9606.ENSP00000480740	9606.ENSP00000378769	0	0	0	0	0	0.159	0	0	0.158
MTDH	PLEC	9606.ENSP00000338235	9606.ENSP00000323856	0	0	0	0	0	0.271	0	0	0.271
NFATC2IP	PLEC	9606.ENSP00000324792	9606.ENSP00000323856	0	0	0	0	0	0.247	0	0	0.246
NFATC2IP	PPP1CB	9606.ENSP00000324792	9606.ENSP00000378769	0	0	0	0	0	0.175	0	0	0.175
OASL	TBL2	9606.ENSP00000257570	9606.ENSP00000307260	0	0	0	0	0	0.163	0	0	0.163
OASL	UBR5	9606.ENSP00000257570	9606.ENSP00000429084	0	0	0	0	0	0.167	0	0	0.167
OASL	PSMC2	9606.ENSP00000257570	9606.ENSP00000391211	0	0	0	0	0	0.252	0	0	0.252
OASL	PLEC	9606.ENSP00000257570	9606.ENSP00000323856	0	0	0	0	0	0.369	0	0	0.369
PDCD7	POU5F1	9606.ENSP00000204549	9606.ENSP00000259915	0	0	0	0	0	0.270	0	0	0.270
PLEC	REN	9606.ENSP00000323856	9606.ENSP00000272190	0	0	0	0	0	0.152	0	0	0.151
POU5F1	UBR5	9606.ENSP00000259915	9606.ENSP00000429084	0	0	0	0	0	0.281	0	0	0.281
POU5F1	PPP1CB	9606.ENSP00000259915	9606.ENSP00000378769	0	0	0	0	0	0.173	0	0	0.172
PPP1CB	RTN4RL2	9606.ENSP00000378769	9606.ENSP00000335397	0	0	0	0	0	0.159	0	0	0.158
PPP1CB	WDR1	9606.ENSP00000378769	9606.ENSP00000427687	0	0	0	0	0	0.245	0	0	0.244
PSMC2	UBR5	9606.ENSP00000391211	9606.ENSP00000429084	0	0	0	0	0	0.332	0	0	0.332
PTPRF	RTN4RL2	9606.ENSP00000353030	9606.ENSP00000335397	0	0	0	0	0	0.178	0	0	0.177
RBM6	SNX15	9606.ENSP00000266022	9606.ENSP00000366452	0	0	0	0	0	0.161	0	0	0.161
SSX2B	SSX3	9606.ENSP00000477922	9606.ENSP00000298396	0	0	0	0.973	0	0.733	0	0	0.733
SYVN1	TP53	9606.ENSP00000366395	9606.ENSP00000269305	0	0	0	0	0	0.675	0	0	0.675
SYVN1	WDR1	9606.ENSP00000366395	9606.ENSP00000427687	0	0	0	0	0	0.270	0	0	0.270
TP53	UBR5	9606.ENSP00000269305	9606.ENSP00000429084	0	0	0	0	0	0.667	0	0	0.667
UBR5	UGT2A2	9606.ENSP00000429084	9606.ENSP00000475028	0	0	0	0	0	0.153	0	0	0.152
