#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACIN1	DHX15	9606.ENSP00000262710	9606.ENSP00000336741	0	0	0	0	0	0.189	0	0	0.189
ARL11	GNAI1	9606.ENSP00000282026	9606.ENSP00000343027	0	0	0	0	0	0.167	0	0	0.167
BCL10	RASA1	9606.ENSP00000359612	9606.ENSP00000274376	0	0	0	0	0	0.182	0	0	0.181
BCL10	RNF168	9606.ENSP00000359612	9606.ENSP00000320898	0	0	0	0	0	0.270	0	0	0.270
CABP2	KCNF1	9606.ENSP00000294288	9606.ENSP00000295082	0	0	0	0	0	0.153	0	0	0.152
CABP2	PLEC	9606.ENSP00000294288	9606.ENSP00000323856	0	0	0	0	0	0.310	0	0	0.309
CD2AP	CDHR2	9606.ENSP00000352264	9606.ENSP00000424565	0	0	0	0	0	0.174	0	0	0.173
CD2AP	MICAL3	9606.ENSP00000352264	9606.ENSP00000416015	0	0	0	0	0	0.281	0	0	0.281
CDHR2	PKP4	9606.ENSP00000424565	9606.ENSP00000374409	0	0	0	0	0	0.163	0	0	0.163
CDHR2	CTNND1	9606.ENSP00000424565	9606.ENSP00000382004	0	0	0	0	0	0.163	0	0	0.163
CHD7	JARID2	9606.ENSP00000392028	9606.ENSP00000341280	0	0	0	0	0	0.156	0	0	0.155
CLIC2	MTHFD1L	9606.ENSP00000358460	9606.ENSP00000478253	0	0	0	0	0	0.343	0	0	0.343
CNOT6	PABPC1	9606.ENSP00000377024	9606.ENSP00000313007	0	0	0	0	0	0.496	0	0	0.496
CNOT6	NANOS2	9606.ENSP00000377024	9606.ENSP00000341021	0	0	0	0	0	0.554	0	0	0.554
COL17A1	PLEC	9606.ENSP00000340937	9606.ENSP00000323856	0	0	0	0	0	0.213	0	0	0.213
COL17A1	CTNND1	9606.ENSP00000340937	9606.ENSP00000382004	0	0	0	0	0	0.270	0	0	0.270
CTNND1	PABPC1	9606.ENSP00000382004	9606.ENSP00000313007	0	0	0	0	0	0.321	0	0	0.321
DHX15	PABPC1	9606.ENSP00000336741	9606.ENSP00000313007	0	0	0	0	0	0.564	0	0	0.564
DHX15	RNF168	9606.ENSP00000336741	9606.ENSP00000320898	0	0	0	0	0	0.270	0	0	0.270
DHX15	NAA38	9606.ENSP00000336741	9606.ENSP00000332103	0	0	0	0	0	0.369	0	0	0.369
DLG3	SYNPO2	9606.ENSP00000363480	9606.ENSP00000306015	0	0	0	0	0	0.151	0	0	0.150
DNAJC25	NAA38	9606.ENSP00000320650	9606.ENSP00000332103	0	0	0	0	0	0.162	0	0	0.161
DRD5	GNAI1	9606.ENSP00000306129	9606.ENSP00000343027	0	0	0	0	0	0.151	0	0	0.150
EDNRB	GNAI1	9606.ENSP00000366416	9606.ENSP00000343027	0	0	0	0	0	0.151	0	0	0.150
GNAI1	STRN	9606.ENSP00000343027	9606.ENSP00000263918	0	0	0	0	0	0.213	0	0	0.213
GNAI1	TAAR1	9606.ENSP00000343027	9606.ENSP00000275216	0	0	0	0	0	0.151	0	0	0.150
GNAI1	OR5K4	9606.ENSP00000343027	9606.ENSP00000347003	0	0	0	0	0	0.151	0	0	0.150
GUCA1C	KCNF1	9606.ENSP00000261047	9606.ENSP00000295082	0	0	0	0	0	0.153	0	0	0.152
GUCA1C	PLEC	9606.ENSP00000261047	9606.ENSP00000323856	0	0	0	0	0	0.245	0	0	0.244
KCNF1	PLEC	9606.ENSP00000295082	9606.ENSP00000323856	0	0	0	0	0	0.245	0	0	0.244
MFNG	UNCX	9606.ENSP00000349490	9606.ENSP00000314480	0	0	0	0	0	0.160	0	0	0.159
MICAL3	PLEC	9606.ENSP00000416015	9606.ENSP00000323856	0	0	0	0.539	0	0.212	0	0	0.212
NAA38	PABPC1	9606.ENSP00000332103	9606.ENSP00000313007	0	0	0	0	0	0.171	0	0	0.171
PLEC	SYNPO2	9606.ENSP00000323856	9606.ENSP00000306015	0	0	0	0	0	0.216	0	0	0.216
RNF168	TACC3	9606.ENSP00000320898	9606.ENSP00000326550	0	0	0	0	0	0.211	0	0	0.211
STRN	ZFAND3	9606.ENSP00000263918	9606.ENSP00000287218	0	0	0	0	0	0.163	0	0	0.163
STRN	TXNDC11	9606.ENSP00000263918	9606.ENSP00000283033	0	0	0	0	0	0.251	0	0	0.250
TACC3	TBC1D22B	9606.ENSP00000326550	9606.ENSP00000362590	0	0	0	0	0	0.272	0	0	0.272
